,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6222222447395325,0.4456566415257859,[0.76600411 0.2945591  0.27640671],0.4572844032082424,[0.72817305 0.34130435 0.30237581],0.44053428477607737,[0.80798149 0.25907591 0.25454545],,0.6454720497131348,0.4829644351591175,[0.78469688 0.37518797 0.28900846],0.5022253639040034,[0.73641184 0.44159292 0.32867133],0.4745964778229535,[0.83975813 0.32614379 0.25788752],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6440613269805908,0.5047811238182526,[0.77420294 0.43825364 0.30188679],0.5023315274052313,[0.77953679 0.4417435  0.28571429],0.5079200221930812,[0.76894158 0.43481848 0.32      ],,0.6584778428077698,0.5269259732601849,[0.79185801 0.45377004 0.33514986],0.529291970273213,[0.78033268 0.47466096 0.33288227],0.525272660504531,[0.8037289  0.43464052 0.33744856],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6471264362335205,0.5019764894960757,[0.77967549 0.39700704 0.32924694],0.5035654054511403,[0.76765695 0.4254717  0.31756757],0.5020022459157425,[0.79207634 0.37211221 0.34181818],,0.6586384177207947,0.5226294340474177,[0.79254477 0.42862332 0.34672021],0.5293997835467499,[0.76721698 0.48242028 0.33856209],0.5201680123352497,[0.81960191 0.38562092 0.35528121],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6473180055618286,0.3674548763734666,[0.78581173 0.20174927 0.11480363],0.4570566595772041,[0.68794788 0.34393638 0.33928571],0.3759888927007218,[0.9161365  0.14273927 0.06909091],,0.6469171643257141,0.39567876955265097,[0.78271028 0.26034403 0.143982  ],0.5091349510497931,[0.67651918 0.45088567 0.4       ],0.39974782780053036,[0.92844545 0.18300654 0.0877915 ],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6432949900627136,0.4666362366339083,[0.77046943 0.38440617 0.24503311],0.4892714910956317,[0.72945736 0.42655936 0.31179775],0.45600700266672134,[0.81636784 0.34983498 0.20181818],,0.652536928653717,0.49073454430021535,[0.78302661 0.40795287 0.28122415],0.5178060175557188,[0.73213503 0.46711636 0.35416667],0.47893648543093503,[0.84152179 0.3620915  0.23319616],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6057471036911011,0.3704190775125702,[0.75127168 0.24341412 0.11657143],0.3926352702383657,[0.68424804 0.33673469 0.15692308],0.37205756376678734,[0.83285136 0.19059406 0.09272727],,0.6175337433815002,0.40934925270344547,[0.75809524 0.31122236 0.15873016],0.44501610326195395,[0.68260694 0.43021915 0.22222222],0.4065344656381071,[0.85235576 0.24379085 0.12345679],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.5963601469993591,0.3470862907072098,[0.74282051 0.18878401 0.10965435],0.3716661304601667,[0.66720405 0.28862479 0.15916955],0.3538892952337455,[0.8377675  0.14026403 0.08363636],,0.6011560559272766,0.38217820564043564,[0.74432577 0.28016878 0.12204007],0.4144257782486173,[0.66646742 0.3952381  0.18157182],0.38389391421863667,[0.84278156 0.21699346 0.09190672],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.636781632900238,0.2909499069390125,[0.77654365 0.09630607 0.        ],0.3005253788081597,[0.66144456 0.24013158 0.        ],0.3334566105540571,[0.94013881 0.06023102 0.        ],,0.6319845914840698,0.30833493326245726,[0.77244472 0.15256008 0.        ],0.3429122461784166,[0.64852841 0.38020833 0.        ],0.3501084384371032,[0.95490048 0.09542484 0.        ],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6358237266540527,0.4778387916408575,[0.77738516 0.35844851 0.29768271],0.4807231126867733,[0.76029859 0.38991271 0.29195804],0.4768589687193127,[0.79525737 0.33168317 0.30363636],,0.6480411291122437,0.49470392436061744,[0.79207921 0.39552508 0.29650748],0.5035587499779949,[0.76049154 0.44157937 0.30860534],0.48996564332180065,[0.82640464 0.35816993 0.28532236],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6475095748901367,0.47388135923299557,[0.78787047 0.34021137 0.29356223],0.48792872261241776,[0.74960836 0.43612903 0.27804878],0.473345225789207,[0.8302487  0.27887789 0.31090909],,0.6642581820487976,0.5167034910132405,[0.80052182 0.3907496  0.35883905],0.5342855166353482,[0.75621779 0.50102249 0.34561626],0.5145718095194182,[0.85034014 0.32026144 0.37311385],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,6
