,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6515325903892517,0.5266405487517859,[0.77537923 0.44955752 0.35498489],0.5235250778756649,[0.78222484 0.48473282 0.30361757],0.5383556805651647,[0.7686524  0.41914191 0.42727273],,0.6726076006889343,0.5625957684954886,[0.79398119 0.48722562 0.40658049],0.5626497961360949,[0.79031453 0.54203363 0.35560123],0.57159615560902,[0.79768204 0.44248366 0.47462277],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)",400,"(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6298850774765015,0.5209572916041479,[0.75680608 0.4473029  0.35876289],0.5121725727689884,[0.7982034  0.44991653 0.28839779],0.5462519872577194,[0.71949104 0.44471947 0.47454545],,0.6596018075942993,0.562238193403977,[0.77955106 0.50119007 0.40597345],0.5553642171707294,[0.80363831 0.52232459 0.34012975],0.5806648036443658,[0.75686571 0.48169935 0.50342936],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)",400,"(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6517241597175598,0.5263997858469703,[0.7752907  0.44084137 0.36306729],0.5227145222688081,[0.77936879 0.47009346 0.31868132],0.5360299147323639,[0.77125506 0.4150165  0.42181818],,0.671162486076355,0.5609432763158544,[0.79094774 0.48427006 0.40761203],0.5604253101376325,[0.78505833 0.52732871 0.36888889],0.5666856591745065,[0.79692618 0.44771242 0.45541838],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)",400,"(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64
