,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6335248947143555,0.5189856192660293,[0.75894988 0.43343133 0.36457565],0.5106563442843708,[0.78373383 0.44140291 0.3068323 ],0.5368396168708832,[0.73568537 0.42574257 0.44909091],,0.65815669298172,0.5561629215243301,[0.77880184 0.48671039 0.40297653],0.5510243297787177,[0.79156909 0.51572787 0.34577603],0.5700258155388355,[0.76643991 0.46078431 0.48285322],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6431034207344055,0.5340109722958494,[0.76168861 0.47153846 0.36880585],0.5245900060900924,[0.79879403 0.44164265 0.33333333],0.5487934120190503,[0.72787739 0.50577558 0.41272727],,0.6602440476417542,0.5584141309202524,[0.77904564 0.50668364 0.38951311],0.5512498766031066,[0.80256479 0.49379653 0.35738832],0.5683702287499363,[0.75686571 0.52026144 0.42798354],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6304597854614258,0.5129179384932298,[0.75958084 0.42939719 0.34977578],0.5047018372703549,[0.78739913 0.42975207 0.29695431],0.5293861751704377,[0.73366108 0.4290429  0.42545455],,0.6624919772148132,0.5578964664758811,[0.7832758  0.49827942 0.39213418],0.5534447100871791,[0.79517134 0.52616279 0.339     ],0.5699847016996099,[0.77173091 0.47320261 0.46502058],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6337164640426636,0.514130217664152,[0.75812918 0.43592814 0.34833333],0.5076261541812839,[0.77906622 0.42227378 0.32153846],0.5229276924222209,[0.73828803 0.45049505 0.38      ],,0.668432891368866,0.5592213466789652,[0.78588715 0.51287064 0.37890625],0.5555530908876404,[0.79469346 0.51137102 0.3605948 ],0.563609970737266,[0.77727387 0.51437908 0.39917695],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6400383114814758,0.5262002255620262,[0.7640585  0.4602477  0.35429448],0.516880682313423,[0.79811024 0.44616576 0.30636605],0.5426803490065605,[0.73279352 0.47524752 0.42      ],,0.6623314023017883,0.5589581442767234,[0.78313408 0.49734396 0.3963964 ],0.5524790929473897,[0.79947507 0.50539811 0.3525641 ],0.5698883668693815,[0.76744772 0.48954248 0.4526749 ],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6417624354362488,0.5190022850395422,[0.7697114  0.43954313 0.34775233],0.5129990987430091,[0.79258578 0.42049736 0.32591415],0.5270812043610377,[0.7481203  0.46039604 0.37272727],,0.6621708273887634,0.5523450840579958,[0.78474253 0.48614776 0.38614496],0.5484747176008024,[0.79209446 0.49067909 0.3626506 ],0.5573731824691468,[0.77752583 0.48169935 0.41289438],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6450191736221313,0.5111892923594733,[0.7708184  0.41292012 0.34982935],0.5106961308994464,[0.76413754 0.43836886 0.32958199],0.5135361396174319,[0.77761712 0.39026403 0.37272727],,0.6718047261238098,0.5530543785832889,[0.79602484 0.47699333 0.38614496],0.5544393242488326,[0.78510169 0.51556568 0.3626506 ],0.5546471537860687,[0.80725624 0.44379085 0.41289438],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6375479102134705,0.5186190819023434,[0.76244751 0.45322896 0.34018077],0.511123162528751,[0.79190031 0.43112435 0.31034483],0.5297311356352523,[0.735107   0.47772277 0.37636364],,0.6631342172622681,0.5530654195767359,[0.78520041 0.50677857 0.36721728],0.5478993607377265,[0.80104849 0.50063776 0.34201183],0.5598242040300345,[0.76996725 0.5130719  0.39643347],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6482758522033691,0.5210746487270397,[0.77542741 0.42023701 0.36755952],0.5191789031930814,[0.77700348 0.4694501  0.31108312],0.5344372222068939,[0.77385772 0.38036304 0.44909091],,0.6708413362503052,0.5583189302492114,[0.79457171 0.46818013 0.41220495],0.5613954516405935,[0.78538026 0.54364736 0.35515873],0.5687252129932906,[0.80398085 0.41111111 0.49108368],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6195402145385742,0.5167000349920967,[0.74656795 0.44289808 0.36063408],0.50755837274287,[0.8        0.4394801  0.28319502],0.5475199208758353,[0.69982649 0.44636964 0.49636364],,0.6536608934402466,0.5623542792141816,[0.77179622 0.50151057 0.41375605],0.5538339313185687,[0.80586784 0.51552795 0.34010601],0.5856149318437938,[0.74048879 0.48823529 0.52812071],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6335248947143555,0.5155736060405044,[0.76012461 0.42924327 0.35735294],0.5086047137868775,[0.7803838  0.44543035 0.3       ],0.5323000964064019,[0.74089069 0.41419142 0.44181818],,0.665542721748352,0.5635643161299582,[0.78510394 0.49099723 0.41459178],0.5585822540499232,[0.79493802 0.52209131 0.35871743],0.5766641910536506,[0.7755102  0.46339869 0.49108368],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6275861859321594,0.5127260118125053,[0.75124604 0.44899536 0.33793664],0.5046501359257606,[0.78627885 0.42223837 0.30543319],0.5255855354187818,[0.71920185 0.47937294 0.37818182],,0.663294792175293,0.5602281680511516,[0.78184176 0.51461245 0.38423029],0.5531882042356958,[0.80566693 0.50061805 0.35327963],0.5699739429379433,[0.75938524 0.52941176 0.42112483],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(512, 512)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
