,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.816813588142395,0.5490060989740294,[0.8940792  0.46296296 0.28997613],0.5468583772120656,[0.89972917 0.43402778 0.30681818],0.5531394563825417,[0.88849975 0.49603175 0.27488688],,0.8121795654296875,0.5470673886875548,[0.89078746 0.47932203 0.27109267],0.5442371251763752,[0.90128777 0.42926533 0.30215827],0.5563141375828974,[0.880529   0.54259401 0.2458194 ],20,3,5,6,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,5,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.8099871277809143,0.5487146493877707,[0.88984143 0.45236463 0.30393788],0.5394461528663214,[0.90087445 0.41931385 0.29815016],0.5600338581688407,[0.87907539 0.49107143 0.30995475],,0.8065107464790344,0.5508439495090365,[0.88666382 0.47448802 0.29138001],0.5388054686133786,[0.90092025 0.43314322 0.28235294],0.5661378693250305,[0.87285155 0.52455871 0.30100334],20,3,5,6,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,5,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.8118146657943726,0.5587195087747999,[0.89018163 0.47357584 0.31240106],0.5453543402925453,[0.90379315 0.43949045 0.29277943],0.5750695018200861,[0.87697402 0.51339286 0.33484163],,0.8054270148277283,0.5544159801941154,[0.88596469 0.48357696 0.29370629],0.5387797051327183,[0.9038858  0.43814272 0.2743106 ],0.5747726966254517,[0.8687404  0.53952417 0.31605351],20,3,5,6,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,5,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64
