,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.8049344420433044,0.5476059621469386,[0.88602834 0.4598978  0.29689175],0.5337330331992568,[0.90262271 0.41649899 0.28207739],0.5655914620050772,[0.87003311 0.51339286 0.31334842],,0.7999666333198547,0.5442991729700875,[0.88220704 0.47322913 0.27746135],0.5299255584403325,[0.9020237  0.41754695 0.27020602],0.5648023330196444,[0.86324236 0.54604758 0.28511706],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.8195011615753174,0.5542520947716548,[0.89607435 0.48049773 0.28618421],0.5479238395823084,[0.90194181 0.46417013 0.27765957],0.5611824907695574,[0.89028273 0.49801587 0.29524887],,0.8121795654296875,0.5486269137666887,[0.89052337 0.48939993 0.26595745],0.5400710423940597,[0.89966133 0.46013514 0.26041667],0.5586494543874941,[0.88156917 0.52264006 0.27173913],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.8041818737983704,0.547742941095798,[0.88511274 0.46840149 0.28971459],0.5329745402300746,[0.90360886 0.41885022 0.27646454],0.5676357590922257,[0.86735863 0.53125    0.30429864],,0.7969238758087158,0.5402585677635624,[0.8802251  0.46936416 0.27118644],0.5251825843758451,[0.90145379 0.41200348 0.26209048],0.5620632768014854,[0.85997325 0.54528012 0.28093645],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.8073532581329346,0.5489636883730004,[0.88787614 0.45675057 0.30226435],0.5360867799539587,[0.9015425  0.42395922 0.28275862],0.5647727492536608,[0.87461793 0.49503968 0.32466063],,0.8033429384231567,0.5464013323372282,[0.88467455 0.4754042  0.27912525],0.5326865124951033,[0.90115084 0.430798   0.26611069],0.5641942848210585,[0.86878994 0.53031466 0.29347826],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.8129434585571289,0.5508590422506153,[0.89163608 0.47053299 0.29040806],0.5405278345051693,[0.90167991 0.44672314 0.27318046],0.562930703780918,[0.88181355 0.49702381 0.30995475],,0.8029261231422424,0.5414310378542466,[0.88425774 0.48052396 0.25951141],0.5284099775049872,[0.90002052 0.43617021 0.2490392 ],0.5582866738312899,[0.86903759 0.53491942 0.27090301],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.8052031993865967,0.5022166781987761,[0.88723827 0.43721135 0.18220042],0.5081164853493175,[0.89220863 0.39273015 0.23941068],0.5074791180410579,[0.88232298 0.49305556 0.14705882],,0.7989662885665894,0.4976123198724796,[0.883063   0.44151999 0.16825397],0.5022361888244288,[0.89119249 0.38640944 0.22910663],0.5076630325004117,[0.87508049 0.51496546 0.13294314],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.792087733745575,0.5020309684104967,[0.87886063 0.42865992 0.19857236],0.49862790933696005,[0.89583333 0.36717368 0.23287671],0.5168256596236729,[0.8625191  0.51488095 0.17307692],,0.7907965779304504,0.5127882956660801,[0.87718587 0.44914463 0.21203438],0.5076525409552017,[0.89812652 0.37761506 0.24721604],0.5323080345306576,[0.85719947 0.55410591 0.18561873],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.8201462030410767,0.5249639604796258,[0.89674673 0.45243514 0.22571001],0.5484703435224393,[0.89481359 0.41799832 0.33259912],0.5208527558303562,[0.89868823 0.49305556 0.17081448],,0.8111792206764221,0.5139421284144613,[0.89072749 0.45902743 0.19207147],0.5304799480048298,[0.89361384 0.40875037 0.28907563],0.5183599852427957,[0.88785973 0.52340752 0.14381271],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.8083208203315735,0.5410159127391734,[0.88850174 0.45836109 0.2761849 ],0.5338297403140725,[0.90047083 0.41495778 0.28606061],0.5519065836557071,[0.87684666 0.51190476 0.26696833],,0.8040098547935486,0.5394540280348258,[0.88545546 0.46588629 0.26702034],0.5320226508664844,[0.89990282 0.41286307 0.28330206],0.5528362356843867,[0.87146466 0.53453569 0.25250836],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7889163494110107,0.5364514442525461,[0.87562777 0.44496687 0.28875969],0.5156840649434128,[0.90359732 0.3909125  0.25254237],0.5676036227872029,[0.84933775 0.51636905 0.33710407],,0.7853361964225769,0.5364743997682195,[0.87283533 0.46279108 0.27379679],0.514849395322719,[0.90391044 0.4019802  0.23865755],0.5700587342216188,[0.84382585 0.54528012 0.32107023],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.8038594126701355,0.5442812683428184,[0.88550804 0.44528135 0.30205441],0.5331537939496871,[0.90052011 0.40232186 0.29661941],0.5590641652313838,[0.87098828 0.4985119  0.30769231],,0.7977575063705444,0.5393672324344099,[0.88142023 0.45957304 0.27710843],0.5253211048690015,[0.90043402 0.40891415 0.26661515],0.5587376923022437,[0.86319283 0.52455871 0.28846154],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,6
