,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.8006342649459839,0.5391701198859065,[0.88267066 0.46179823 0.27304147],0.5275137057647344,[0.90246174 0.40191036 0.27816901],0.5581624213051949,[0.86372899 0.54265873 0.26809955],,0.7976324558258057,0.5417780204060624,[0.88046455 0.46478198 0.28008753],0.5313143616210042,[0.9020107  0.39808482 0.29384757],0.5619363957006458,[0.85992372 0.55832694 0.26755853],11,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(128, 128)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.8115459084510803,0.5561405699279562,[0.89014467 0.46704417 0.31123288],0.5448477694646953,[0.90297432 0.4297624  0.30180659],0.5701167254415209,[0.87767448 0.51140873 0.32126697],,0.8061356544494629,0.5499367604784734,[0.88662652 0.47434166 0.28884211],0.538934629948415,[0.90243152 0.42344786 0.29092451],0.5657651126371841,[0.8713656  0.53914045 0.2867893 ],11,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(128, 128)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.8102021217346191,0.5549646142147466,[0.88910537 0.48440525 0.29138322],0.5422859113027015,[0.90716321 0.42764907 0.29204545],0.5736693825659545,[0.87175242 0.55853175 0.29072398],,0.8044266700744629,0.5514247469722121,[0.88498581 0.49010062 0.27918782],0.5377764867795397,[0.90616079 0.42463442 0.28253425],0.5733765538603901,[0.86477785 0.57943208 0.27591973],11,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(128, 128)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64
