,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.7916576862335205,0.5431123900976914,[0.87710543 0.45257337 0.29965837],0.5216741875721302,[0.90537518 0.39612807 0.26351931],0.5752034922759504,[0.85054763 0.52777778 0.34728507],,0.7901296615600586,0.5439227428824988,[0.8756945  0.47445608 0.28161765],0.5222214037517147,[0.90634937 0.4090025  0.25131234],0.5773766266143107,[0.84704542 0.56485035 0.32023411],35,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.7929477691650391,0.5405688991682972,[0.87785859 0.45055637 0.29329173],0.5220419585679831,[0.90410312 0.39060794 0.27141482],0.5681137804360438,[0.85309475 0.53224206 0.31900452],,0.7961735725402832,0.5478523522685007,[0.87936532 0.48288    0.28131173],0.5291191199698577,[0.90658531 0.41410538 0.26666667],0.5768131477534628,[0.85373223 0.57904835 0.29765886],35,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.786175012588501,0.534256803391583,[0.87289788 0.45331267 0.27655987],0.5179514934420496,[0.90709332 0.37190083 0.27486034],0.5666082148600653,[0.84118696 0.58035714 0.27828054],,0.7843357920646667,0.5344420820525734,[0.87159213 0.45298251 0.2787516 ],0.5203093275134171,[0.90466294 0.3710507  0.28521435],0.5649266367603197,[0.84085393 0.58135073 0.27257525],35,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64
