,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size
0,0.8312728404998779,0.5215575760343731,[0.90417966 0.43011889 0.23037417],0.5580237133568534,[0.88615798 0.46014698 0.32776618],0.5014404060712981,[0.92294957 0.40376984 0.17760181],0.8282689452171326,0.5221523490311738,[0.90215041 0.44328238 0.22102426],0.5540919844356823,[0.88543356 0.465765   0.31107739],0.5045952020603622,[0.91951062 0.4228703  0.17140468],1e-06,1,cross_entropy,,True,5,8
0,0.8235325813293457,0.5221036865059648,[0.89927605 0.43395755 0.23307746],0.5434123931477722,[0.88914478 0.43690297 0.30418944],0.509868823427939,[0.90964086 0.43105159 0.18891403],0.8248509764671326,0.5331554523328951,[0.89959328 0.45525366 0.24461942],0.556533726839976,[0.89008485 0.45088446 0.32863188],0.5212771557384053,[0.90930705 0.45970837 0.19481605],1e-06,12,cross_entropy,,True,5,8
0,0.8343904614448547,0.5199148891145754,[0.90625971 0.42891826 0.22456669],0.5638881048340414,[0.88518519 0.47013601 0.33634312],0.49708649166917573,[0.9283622  0.39434524 0.16855204],0.8304364085197449,0.5194577472719756,[0.90340248 0.44444444 0.21052632],0.5580840213504116,[0.88441281 0.47119518 0.31864407],0.5003280248275308,[0.92322552 0.42056792 0.15719064],1e-06,123,cross_entropy,,True,5,8
