,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6318007707595825,0.504343627526139,[0.76008304 0.43492063 0.31802721],0.4992193145558946,[0.77997565 0.41896024 0.29872204],0.5111083624267575,[0.74117987 0.45214521 0.34      ],,0.6764611601829529,0.5787070585976837,[0.78767736 0.51765468 0.43078913],0.5733947497769282,[0.79942916 0.51316635 0.40758874],0.58509280255312,[0.77626606 0.52222222 0.45679012],20,15,3,umap,17,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)","(128, 128)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6296935081481934,0.5112009521864858,[0.75572862 0.43620757 0.34166667],0.5043119929130292,[0.78378378 0.41376758 0.31538462],0.5211869625366238,[0.72961249 0.46122112 0.37272727],,0.6742132306098938,0.5726331966205737,[0.79027903 0.51775339 0.40986717],0.566248858698409,[0.80698529 0.51147959 0.38028169],0.5809592972991665,[0.77425044 0.52418301 0.44444444],20,15,3,umap,17,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)","(128, 128)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6363984942436218,0.5208299837604765,[0.76002394 0.44747394 0.35499208],0.5124056369013051,[0.78735276 0.43525741 0.31460674],0.534065798714053,[0.73452863 0.46039604 0.40727273],,0.6650609970092773,0.5576273240047336,[0.78446849 0.50083584 0.38757764],0.5532172311476816,[0.79284611 0.51266256 0.35414302],0.5645973615783763,[0.77626606 0.48954248 0.42798354],20,15,3,umap,17,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)","(128, 128)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64
