,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6206896305084229,0.5096884060677062,[0.74619598 0.44330304 0.33956619],0.500390335288872,[0.78741169 0.42532221 0.2884371 ],0.5282263177156351,[0.70908039 0.46287129 0.41272727],,0.6642581820487976,0.5704131539431496,[0.77637795 0.53486151 0.4       ],0.5608453121184168,[0.81018899 0.52141527 0.35093168],0.5864386907026186,[0.74527589 0.54901961 0.46502058],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.617241382598877,0.5036950914387784,[0.74572682 0.4263754  0.33898305],0.49501842660119966,[0.78179512 0.41825397 0.2850062 ],0.5219466972723877,[0.71283979 0.43481848 0.41818182],,0.665703296661377,0.5697452445325838,[0.78279959 0.50219372 0.42424242],0.5619433023005475,[0.80291391 0.51919051 0.36372549],0.5862864212900524,[0.76366843 0.48627451 0.50891632],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6145594120025635,0.48456330779621615,[0.74815034 0.40260799 0.3029316 ],0.4793808203016873,[0.76606061 0.39774557 0.27433628],0.49227699750888915,[0.73105842 0.40759076 0.33818182],,0.6870584487915039,0.5944640571697244,[0.7956044  0.54415584 0.44363193],0.5856050777701739,[0.81704727 0.54064516 0.39912281],0.6074282662310466,[0.77525825 0.54771242 0.49931413],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6159003973007202,0.49227050307082937,[0.7478106  0.40540541 0.32359551],0.4862020560239344,[0.76822202 0.41522491 0.27515924],0.5057408771530709,[0.72845575 0.3960396  0.39272727],,0.6822414994239807,0.5873962412616393,[0.79182204 0.53977845 0.43058824],0.5801191159235078,[0.80856092 0.55486542 0.376931  ],0.6011033219872312,[0.77576216 0.5254902  0.50205761],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6101532578468323,0.4864071187451502,[0.74404673 0.40385387 0.31132075],0.479727481321151,[0.77166822 0.393276   0.27423823],0.49778359964394364,[0.7183343 0.4150165 0.36     ],,0.6775851249694824,0.581900626978728,[0.79000258 0.52729694 0.42840237],0.5741118386899396,[0.80833114 0.53731343 0.37669095],0.5955681586763649,[0.77248677 0.51764706 0.49657064],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6216475367546082,0.4931407900139568,[0.7556608  0.41261722 0.31114435],0.48832447348158753,[0.77387087 0.42680776 0.26429479],0.5052699266456432,[0.73828803 0.39933993 0.37818182],,0.6843288540840149,0.5855703423796249,[0.79653238 0.53127148 0.42890717],0.580488981525659,[0.80619355 0.56014493 0.37512847],0.5976715514738131,[0.78710003 0.50522876 0.50068587],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6109195351600647,0.4919815327723414,[0.74308063 0.41133005 0.32153392],0.48469328678548074,[0.77429467 0.40931373 0.27047146],0.508005229094338,[0.71428571 0.41336634 0.39636364],,0.6791907548904419,0.5879910865996053,[0.78603867 0.54801704 0.42991755],0.5788805867061525,[0.81032638 0.5496384  0.37667699],0.6034185416278994,[0.76316453 0.54640523 0.50068587],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6034482717514038,0.49247659151748663,[0.73476315 0.42272727 0.31993935],0.4842556003795573,[0.78762818 0.3907563  0.27438231],0.5108602323505919,[0.68854829 0.46039604 0.38363636],,0.6650609970092773,0.5782843177373618,[0.77680467 0.53261215 0.42543613],0.5667244681629414,[0.82057752 0.51890887 0.36068702],0.6010142328536353,[0.73746536 0.54705882 0.51851852],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6174329519271851,0.5011604986979012,[0.74943294 0.42309278 0.33095578],0.4935462739864409,[0.78541997 0.42291838 0.27230047],0.5205615662780853,[0.71659919 0.42326733 0.42181818],,0.6649004220962524,0.565526472148009,[0.78340185 0.50017129 0.41300627],0.5594290702566206,[0.79921363 0.52555796 0.35351562],0.580632801817572,[0.76820358 0.47712418 0.49657064],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6116858124732971,0.5093004315500576,[0.73715262 0.44063927 0.35010941],0.49902261574278345,[0.79584311 0.40889831 0.29232643],0.5335368036514466,[0.686524   0.47772277 0.43636364],,0.6536608934402466,0.561428295869739,[0.76765799 0.52334152 0.39328537],0.5514431830464295,[0.81139489 0.49362688 0.34930777],0.5783964065736034,[0.72839506 0.55686275 0.44993141],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6314176321029663,0.5027515325360418,[0.76061269 0.40983607 0.33780584],0.4984610926717117,[0.76744186 0.42947559 0.29846583],0.511636363752049,[0.75390399 0.39191419 0.38909091],,0.6718047261238098,0.5654431898483936,[0.78939432 0.49380092 0.41313433],0.5640741262400306,[0.78741539 0.53905646 0.36575053],0.5738538488097572,[0.79138322 0.45555556 0.47462277],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6124520897865295,0.48611424686792315,[0.74703088 0.39552239 0.31578947],0.4799912660679408,[0.76754118 0.3975     0.27493261],0.497353882872382,[0.7275882  0.39356436 0.37090909],,0.6865767240524292,0.593046862916318,[0.79621096 0.53143051 0.45149912],0.5859192459496428,[0.8092636  0.55343241 0.39506173],0.6071442568797066,[0.78357269 0.51111111 0.52674897],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6214559674263,0.4955755789990852,[0.75014802 0.42279108 0.31378764],0.48985827823025097,[0.76834445 0.4231405  0.27808989],0.505078588830543,[0.73279352 0.42244224 0.36      ],,0.6848105192184448,0.5840350266590263,[0.79467343 0.53715065 0.420281  ],0.5800530864424016,[0.80005107 0.56125356 0.37885463],0.5920931884413573,[0.7893676  0.51503268 0.47187929],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6159003973007202,0.49146499020080353,[0.74914396 0.40342997 0.32182104],0.48483946704516895,[0.77201596 0.39935327 0.28314917],0.5026354110251974,[0.7275882  0.40759076 0.37272727],,0.6689145565032959,0.5722183507065591,[0.78405573 0.51229236 0.42030697],0.5643961843243399,[0.80333069 0.52094595 0.36891192],0.5859819373565612,[0.76568405 0.50392157 0.48834019],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6197317838668823,0.5004906166675257,[0.75003749 0.42088091 0.33055345],0.4928330534335086,[0.77888508 0.41612903 0.28348505],0.5151188814659372,[0.72325043 0.42574257 0.39636364],,0.6693962812423706,0.5708513713686361,[0.78478427 0.5017135  0.42605634],0.5650093447008793,[0.79534282 0.52737752 0.37230769],0.5836253843101027,[0.77450239 0.47843137 0.49794239],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6021072864532471,0.4886108271772318,[0.73442023 0.41067098 0.32074127],0.4808260138602958,[0.77616747 0.40253566 0.26377491],0.5083891558617979,[0.69693464 0.41914191 0.40909091],,0.6719653010368347,0.5851082797341465,[0.78066038 0.53583169 0.43883277],0.5745363384252274,[0.81326781 0.53902116 0.37132004],0.6065325993223077,[0.75056689 0.53267974 0.53635117],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.632758617401123,0.5054120741136161,[0.76101547 0.41476274 0.34045802],0.5016641279287737,[0.76796231 0.44360902 0.29342105],0.5163622215315806,[0.75419318 0.38943894 0.40545455],,0.6729286909103394,0.5666652492442362,[0.79112337 0.48579545 0.42307692],0.5652414970352976,[0.7873721  0.5318818  0.37647059],0.5749408679795649,[0.79491056 0.44705882 0.48285322],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
