,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6107279658317566,0.4757533407526666,[0.74512123 0.40207006 0.28006873],0.4720614349618765,[0.76225045 0.38846154 0.26547231],0.48059174743385275,[0.72874494 0.41666667 0.29636364],,0.6873795986175537,0.5970399654429831,[0.79334187 0.53493815 0.46283988],0.5892459534446872,[0.80656079 0.54757016 0.41360691],0.6096007676047099,[0.78054926 0.52287582 0.52537723],110,15,4,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.609578549861908,0.4867770374835187,[0.74394828 0.40973631 0.30664653],0.480042180616379,[0.77481992 0.40303272 0.2622739 ],0.5004000093473778,[0.71544245 0.41666667 0.36909091],,0.689306378364563,0.5969199715206072,[0.79664948 0.5511022  0.44300823],0.5887793997987937,[0.81535215 0.56352459 0.38746146],0.6117160169966477,[0.77878559 0.53921569 0.51714678],110,15,4,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6059386730194092,0.48006688347768084,[0.74015276 0.40238095 0.29766693],0.47406654817284366,[0.7676297  0.38761468 0.26695527],0.4897517889440766,[0.7145749  0.41831683 0.33636364],,0.6894669532775879,0.5957091733850319,[0.79564103 0.54772877 0.44375773],0.5885066489120204,[0.80997129 0.55172414 0.40382452],0.6060184293196017,[0.78180902 0.54379085 0.49245542],110,15,4,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64
