,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6438697576522827,0.5089551101242616,[0.76725383 0.43703086 0.32258065],0.5086633616101,[0.76614764 0.44182125 0.3180212 ],0.5093263924425987,[0.76836322 0.43234323 0.32727273],,0.6642581820487976,0.54128367556495,[0.78682365 0.49087353 0.34615385],0.5439710642956275,[0.78231631 0.48959688 0.36      ],0.5389578053443599,[0.79138322 0.49215686 0.33333333],20,3,5,6,15,3,umap,17,10,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,5,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6402298808097839,0.48896901422097655,[0.77592068 0.38018742 0.31079895],0.4916381299332853,[0.76041088 0.41399417 0.30050934],0.48845989168031895,[0.79207634 0.35148515 0.32181818],,0.6766217350959778,0.5450365558317172,[0.80063446 0.47497411 0.3595011 ],0.5553092754509973,[0.77620062 0.50329188 0.38643533],0.5374688695780095,[0.82665659 0.4496732  0.33607682],20,3,5,6,15,3,umap,17,10,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,5,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6636015176773071,0.5320274600469176,[0.78373702 0.46199324 0.35035211],0.5314191486534375,[0.78148361 0.47318339 0.33959044],0.5330472613484599,[0.78600347 0.45132013 0.36181818],,0.676300585269928,0.5541907511217272,[0.79732076 0.49394347 0.37130802],0.5584035785042002,[0.7852431  0.50901526 0.38095238],0.5505514139812303,[0.80977576 0.47973856 0.36213992],20,3,5,6,15,3,umap,17,10,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,5,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64
