,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6300766468048096,0.5018793095748123,[0.75871314 0.43706564 0.30985915],0.4977765524565061,[0.78224816 0.4107402  0.3003413 ],0.5078498734778046,[0.73655292 0.4669967  0.32      ],,0.6592806577682495,0.5428212201149164,[0.78146032 0.49283668 0.35416667],0.5422863777328375,[0.78776242 0.48044693 0.35864979],0.5436449476910106,[0.77525825 0.50588235 0.34979424],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(10,)","(128, 128)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6478927135467529,0.5174117981599082,[0.7741173  0.45741325 0.32070485],0.5134930993007295,[0.79130172 0.43806647 0.31111111],0.5223734449789688,[0.75766339 0.47854785 0.33090909],,0.6650609970092773,0.5532327515515265,[0.7856598  0.497266   0.37677245],0.5511595385216458,[0.79291763 0.48955035 0.37101064],0.5554928144097144,[0.77853364 0.50522876 0.38271605],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(10,)","(128, 128)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6423371434211731,0.507208909546059,[0.76809282 0.4314845  0.32204941],0.5070591566863891,[0.77043934 0.4266129  0.32412523],0.5074097340329754,[0.76576056 0.43646865 0.32      ],,0.6692357063293457,0.550628240911573,[0.78970607 0.50418006 0.35799859],0.5517073032511276,[0.79080344 0.49620253 0.36811594],0.5498175127389776,[0.78861174 0.5124183  0.3484225 ],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(10,)","(128, 128)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64
