,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6143678426742554,0.4815418404923188,[0.75421972 0.38433293 0.30607287],0.4762708471928064,[0.77275485 0.38014528 0.27591241],0.48960104859531645,[0.73655292 0.38861386 0.34363636],,0.6764611601829529,0.5702872126567264,[0.79740722 0.49949239 0.41396203],0.5654512717662669,[0.80456527 0.51789474 0.37389381],0.5787923948729011,[0.79037541 0.48235294 0.46364883],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(10,)","(128, 128)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6074712872505188,0.48143675262784474,[0.74       0.40188753 0.30242272],0.47610867259148143,[0.76465145 0.38392186 0.2797527 ],0.4891988151967308,[0.71688837 0.42161716 0.32909091],,0.6546242833137512,0.5590153724095123,[0.77051315 0.50191571 0.40461725],0.5504323090951158,[0.79751955 0.4906367  0.36314068],0.5719305005952998,[0.74527589 0.51372549 0.45679012],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(10,)","(128, 128)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6216475367546082,0.4832909556605702,[0.75365314 0.41679389 0.27942584],0.4841349918895517,[0.76967139 0.38778409 0.29494949],0.48474587424040266,[0.73828803 0.45049505 0.26545455],,0.6719653010368347,0.566236968861045,[0.78882938 0.50345695 0.40642458],0.5658042720411304,[0.79860573 0.48486683 0.41394026],0.5673319533574747,[0.77928949 0.52352941 0.39917695],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(10,)","(128, 128)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64
