,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6386973261833191,0.4019014189355754,[0.77217165 0.31364956 0.11988304],0.4623069320900357,[0.70155955 0.3793911  0.30597015],0.4001536556200444,[0.85858878 0.26732673 0.07454545],,0.6472382545471191,0.4186091169286919,[0.78064304 0.33632653 0.13885778],0.5057866976499232,[0.69148523 0.44782609 0.37804878],0.4168415239895684,[0.89619552 0.26928105 0.08504801],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6522988677024841,0.4744667594983154,[0.78373939 0.38402179 0.2556391 ],0.49440013373187536,[0.74402287 0.42684157 0.31233596],0.46443625334193334,[0.82793522 0.3490099  0.21636364],,0.6578356027603149,0.4953425946005429,[0.78859021 0.41484716 0.28259041],0.5238131483708695,[0.73824176 0.4679803  0.36521739],0.4831035294776347,[0.84630889 0.37254902 0.23045267],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6559386849403381,0.4832032235241173,[0.7824748  0.43013366 0.23700121],0.5114998445401533,[0.75827455 0.42243437 0.35379061],0.47485710225157857,[0.80827068 0.43811881 0.17818182],,0.6477199792861938,0.47500968459946447,[0.77940828 0.42105263 0.22456814],0.5146096558183054,[0.73488061 0.43514644 0.37380192],0.4660056615238688,[0.82968002 0.40784314 0.16049383],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6526820063591003,0.42295735564959513,[0.78427788 0.33991334 0.14468085],0.4840415812045497,[0.715      0.40809249 0.32903226],0.41746748359046437,[0.86842105 0.29125413 0.09272727],,0.6546242833137512,0.4481227428107326,[0.78567444 0.3625731  0.19612069],0.537202616581988,[0.70504606 0.44927536 0.45728643],0.43862510710731484,[0.88712522 0.30392157 0.12482853],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6392720341682434,0.4749699571581498,[0.77376773 0.38461538 0.26652676],0.4871776637025142,[0.75211575 0.39428076 0.31513648],0.4676749762888377,[0.7967033  0.37541254 0.23090909],,0.6543031334877014,0.49717927446646765,[0.78593863 0.4496124  0.25598679],0.513556583195173,[0.75493154 0.46416145 0.32157676],0.4893898848977177,[0.81960191 0.43594771 0.21262003],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6388888955116272,0.3392424977724433,[0.77929088 0.16625616 0.07218045],0.4043727217857167,[0.67675261 0.3276699  0.20869565],0.35782415777725834,[0.91844997 0.11138614 0.04363636],,0.6396917104721069,0.3719628762411839,[0.7740511  0.25812712 0.08371041],0.4679506488633432,[0.66420065 0.50094162 0.23870968],0.3840161030118494,[0.92743764 0.17385621 0.05075446],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6578543782234192,0.3287693470178144,[0.78921392 0.19709413 0.        ],0.3655002828456215,[0.67601567 0.42048518 0.        ],0.3588865537797273,[0.94794679 0.12871287 0.        ],,0.6409762501716614,0.320380277849937,[0.77644426 0.18469657 0.        ],0.3768279832429515,[0.65103189 0.47945205 0.        ],0.35869409492191934,[0.9617032  0.11437908 0.        ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6400383114814758,0.3224047064107219,[0.78232446 0.11582492 0.06906475],0.3844600681536441,[0.67284465 0.31501832 0.16551724],0.3496495259705265,[0.93435512 0.0709571  0.04363636],,0.6417790651321411,0.3471281489329307,[0.77911647 0.19661734 0.06565064],0.4661494274600304,[0.65882968 0.51381215 0.22580645],0.3710380722933892,[0.95313681 0.12156863 0.03840878],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6417624354362488,0.4773922734112082,[0.775585   0.39798911 0.25860271],0.4880114877741741,[0.75660066 0.40425532 0.30317848],0.47097176519271367,[0.79554656 0.39191419 0.22545455],,0.65815669298172,0.5040647795608356,[0.79513429 0.42529534 0.29176471],0.5187724429692225,[0.76165205 0.45400593 0.34065934],0.49561322471375374,[0.83169564 0.4        0.25514403],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6287356615066528,0.4686187259755384,[0.76541819 0.37056738 0.26987061],0.47356762544496256,[0.74588364 0.40038314 0.27443609],0.4654475013724623,[0.78600347 0.34488449 0.26545455],,0.6485227942466736,0.5011324531658656,[0.78571429 0.41696365 0.30071942],0.5102951741635503,[0.75623398 0.45846395 0.31618759],0.49554444548738563,[0.81758629 0.38235294 0.2866941 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,6
