,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6319923400878906,0.5085175823119873,[0.76191886 0.42144638 0.3421875 ],0.5017554398204616,[0.7806432  0.42462312 0.3       ],0.5201901225403049,[0.74407172 0.41831683 0.39818182],,0.6642581820487976,0.5572309077343868,[0.78519278 0.50164582 0.38485413],0.5517906599622497,[0.79859302 0.50530504 0.35147392],0.5651713634699421,[0.77223482 0.49803922 0.42524005],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6187739372253418,0.48997924891015415,[0.75003735 0.42622951 0.29367089],0.48478296987734854,[0.77588872 0.40444444 0.27401575],0.4975705933809113,[0.72585309 0.45049505 0.31636364],,0.6613680124282837,0.5558173194445247,[0.78263124 0.50581944 0.37900128],0.5496122271432667,[0.80592632 0.48756822 0.35534214],0.5640569533711975,[0.760645   0.5254902  0.40603567],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6306513547897339,0.4920199461170213,[0.76531055 0.39547038 0.3152789 ],0.48965701934864586,[0.76630908 0.41881919 0.28384279],0.49781584867567147,[0.76431463 0.37458746 0.35454545],,0.6555876731872559,0.5436682589920963,[0.77895004 0.48498999 0.36706474],0.540007610863272,[0.78604413 0.49523161 0.3387471 ],0.549231654252922,[0.77198287 0.4751634  0.4005487 ],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64
