,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.642145574092865,0.5293006500468421,[0.76768886 0.44821584 0.37199725],0.5227234368254754,[0.79516579 0.47421731 0.29878721],0.5532307302448001,[0.74204743 0.42491749 0.49272727],,0.6547848582267761,0.5498747297277439,[0.7770425  0.47886323 0.39371845],0.5475218032566034,[0.78503471 0.52451362 0.33301708],0.563738581852494,[0.76921139 0.44052288 0.48148148],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6168582439422607,0.5104895804424213,[0.74408015 0.41594022 0.37144837],0.500575146883137,[0.78306709 0.41854637 0.30011198],0.5364767575658665,[0.70879121 0.41336634 0.48727273],,0.6547848582267761,0.5593525944362064,[0.77607282 0.48476642 0.41721854],0.5512581411325342,[0.80193496 0.50280899 0.34903047],0.5794396771054101,[0.75182666 0.46797386 0.51851852],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6350574493408203,0.4871230294054934,[0.77264859 0.3966457  0.2920748 ],0.4867739286960579,[0.77086931 0.40323956 0.28621291],0.4876273116033408,[0.77443609 0.39026403 0.29818182],,0.6753371953964233,0.5582696017074406,[0.79715391 0.49051491 0.38713999],0.5591232574483511,[0.78995547 0.50914205 0.37827225],0.5580402805841129,[0.80448476 0.47320261 0.39643347],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6436781883239746,0.4941206797739414,[0.77337559 0.42327216 0.28571429],0.5059133259301403,[0.77060006 0.4017791  0.34536082],0.4890007601107132,[0.7761712  0.44719472 0.24363636],,0.6796724200248718,0.5674440430656728,[0.79666372 0.51037084 0.39529758],0.5721156586982832,[0.79918864 0.49152542 0.42563291],0.5646240938076191,[0.7941547  0.53071895 0.36899863],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6103448271751404,0.4852264482682182,[0.74192584 0.40119537 0.31255814],0.48488811871074994,[0.76811146 0.3665529  0.32      ],0.4886635320559239,[0.71746674 0.44306931 0.30545455],,0.6761400103569031,0.5721528391158256,[0.7908589  0.51761103 0.40798859],0.5727590918995825,[0.80628272 0.4870317  0.42496285],0.5735399784056284,[0.77601411 0.55228758 0.39231824],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6488505601882935,0.5189941035933008,[0.7745866  0.43247863 0.34991708],0.5157647526584249,[0.77706636 0.44858156 0.32164634],0.5244169090130528,[0.77212261 0.41749175 0.38363636],,0.6860950589179993,0.578324745993763,[0.79974937 0.51801496 0.41720991],0.5775792628489005,[0.7955622  0.53966006 0.39751553],0.5803258477602289,[0.80398085 0.49803922 0.43895748],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6227969527244568,0.50225956579847,[0.75614479 0.41123996 0.33939394],0.4989383448052227,[0.7797235  0.44757282 0.26951872],0.5241650382504994,[0.73395026 0.38036304 0.45818182],,0.6689145565032959,0.5677462732130978,[0.79102384 0.48326055 0.42895442],0.5659971455513045,[0.80072277 0.54515599 0.35211268],0.5880802801230232,[0.78155707 0.43398693 0.54869684],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6365900635719299,0.5235944089716285,[0.76009501 0.43311547 0.37757275],0.5165122781858559,[0.780964   0.45891043 0.3096624 ],0.5446715631655704,[0.74031232 0.41006601 0.48363636],,0.6626525521278381,0.5638120526474442,[0.77947154 0.48387097 0.42809365],0.5607798898609867,[0.786062   0.53571429 0.36056338],0.5803053731780778,[0.77299068 0.44117647 0.52674897],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6432949900627136,0.5210849285164266,[0.77101364 0.43316255 0.35907859],0.5219596720319203,[0.78237571 0.4973262  0.28617711],0.541819471131613,[0.75997687 0.38366337 0.48181818],,0.6637765169143677,0.5534979337292301,[0.78976417 0.46008324 0.41064639],0.5575365295446196,[0.78641019 0.54627134 0.33992806],0.5696836759395115,[0.79314689 0.39738562 0.51851852],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6241379380226135,0.5072631509043305,[0.75298329 0.42336408 0.34544208],0.5024607597309158,[0.7775724  0.45258216 0.27722772],0.5285910881429381,[0.72990168 0.39768977 0.45818182],,0.6583172678947449,0.553785084396787,[0.78229726 0.48392794 0.39513005],0.5507263233537105,[0.79449208 0.52651806 0.33116883],0.5692985012935216,[0.77047115 0.44771242 0.48971193],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
