,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6216475367546082,0.5013484531446112,[0.74660701 0.42470454 0.33273381],0.49826746714963654,[0.77086541 0.39475549 0.32918149],0.5065877987451725,[0.7238288  0.45957096 0.33636364],,0.6957289576530457,0.6089803653949795,[0.80010459 0.56071871 0.4661178 ],0.599147630681299,[0.83152174 0.53297998 0.43294118],0.6224264740189628,[0.77097506 0.59150327 0.5048011 ],110,3,5,36,15,4,gaussian_random_projection,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,384,"(512, 512)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6084291338920593,0.4717748938252713,[0.7437201  0.41081487 0.26078972],0.4701337557568112,[0.76996904 0.37698139 0.26345083],0.4762346003252726,[0.71920185 0.45132013 0.25818182],,0.694765567779541,0.6016737741137413,[0.80056396 0.54615139 0.45830598],0.5961181083886608,[0.8147665  0.53404122 0.4395466 ],0.6081365330768795,[0.78684807 0.55882353 0.478738  ],110,3,5,36,15,4,gaussian_random_projection,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,384,"(512, 512)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6068965792655945,0.4829717663762365,[0.73904591 0.39984412 0.31002527],0.4776612678530053,[0.7652524 0.3788774 0.288854 ],0.4907958933545176,[0.7145749  0.42326733 0.33454545],,0.6994219422340393,0.6059679864390796,[0.80630688 0.55131965 0.46027743],0.5987773900824443,[0.82072025 0.5497076  0.42590432],0.6153393593376995,[0.79239103 0.55294118 0.50068587],110,3,5,36,15,4,gaussian_random_projection,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,384,"(512, 512)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64
