,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold
0,focal,0.5824535489082336,0.43840468323100473,[0.71081436 0.32909605 0.27530364],,0.5824535489082336,0.43840468323100473,[0.71081436 0.32909605 0.27530364],1,True,300,0.5,0.0005,0,2,True
0,focal,0.5779925584793091,0.4525219175861784,[0.69959128 0.37702871 0.28094576],,0.5779925584793091,0.4525219175861784,[0.69959128 0.37702871 0.28094576],1,True,300,0.5,0.0005,1,2,True
0,focal,0.5854275226593018,0.4467148487149106,[0.71686482 0.31303698 0.31024275],,0.5854275226593018,0.4467148487149106,[0.71686482 0.31303698 0.31024275],1,True,300,0.5,0.0005,12,2,True
0,focal,0.6086245179176331,0.4318392433058938,[0.73689695 0.30721966 0.25140112],,0.6086245179176331,0.4318392433058938,[0.73689695 0.30721966 0.25140112],1,True,300,0.5,0.0005,123,2,True
0,focal,0.5675836205482483,0.4427516038202623,[0.69384981 0.346905   0.2875    ],,0.5675836205482483,0.4427516038202623,[0.69384981 0.346905   0.2875    ],1,True,300,0.5,0.0005,1234,2,True
