,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6699190139770508,0.5588844851360077,[0.78792796 0.50501367 0.38371182],0.5566469395314183,[0.79268691 0.54527559 0.33197832],0.5693532952616144,[0.78322581 0.47028862 0.45454545],,0.6657232642173767,0.555648487716902,[0.78563522 0.49280449 0.38850575],0.5531776178637527,[0.79235922 0.5338403  0.33333333],0.5674054157266604,[0.77902439 0.45762712 0.46556474],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6576707363128662,0.5494994475505193,[0.77713721 0.5        0.37136113],0.5435919266461542,[0.79400875 0.51436266 0.32240437],0.5617444218002065,[0.76096774 0.48641766 0.43784787],,0.6603773832321167,0.5575291525742938,[0.77849838 0.49177024 0.40231884],0.5504012474405532,[0.79657989 0.50727651 0.34734735],0.5721215926060151,[0.76121951 0.47718383 0.47796143],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.673863410949707,0.5536484970276102,[0.7887726  0.49419124 0.37798165],0.55709893752032,[0.775733   0.52169811 0.3738657 ],0.5512956774004555,[0.80225806 0.46943973 0.38218924],,0.6577044129371643,0.5374605205770416,[0.77170885 0.50135135 0.33932136],0.5383133413482195,[0.76641809 0.52033661 0.32818533],0.5373385260310737,[0.77707317 0.48370274 0.35123967],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6593315601348877,0.53781706832413,[0.77552987 0.49296375 0.34495759],0.53930686567095,[0.77205882 0.49528706 0.35057471],0.5364040075051475,[0.77903226 0.49066214 0.33951763],,0.6597484350204468,0.5383356228752113,[0.77779128 0.48927039 0.34794521],0.5388580441207945,[0.77487291 0.49565217 0.34604905],0.5378816045759561,[0.78073171 0.48305085 0.34986226],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6769773960113525,0.5581592669323254,[0.78947368 0.49211356 0.39289055],0.5641470437149249,[0.77171904 0.52449568 0.39622642],0.5537241196833728,[0.80806452 0.46349745 0.38961039],,0.6666666865348816,0.5478387979951119,[0.78344331 0.47566448 0.3844086 ],0.5505956560884556,[0.77095632 0.50550257 0.37532808],0.5464777999089699,[0.79634146 0.44915254 0.39393939],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6836205124855042,0.5830302288605037,[0.78894807 0.55909641 0.40104621],0.575316591732708,[0.81499312 0.53266718 0.37828947],0.5931724997453837,[0.76451613 0.58828523 0.42671614],,0.6852201223373413,0.5822064532392933,[0.79156792 0.5534869  0.40156454],0.5758794248425646,[0.81005872 0.53639144 0.38118812],0.5899509387768999,[0.77390244 0.57170795 0.42424242],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6755241751670837,0.5875651709027051,[0.77953964 0.5592     0.42395587],0.574666862589985,[0.82676311 0.52874433 0.36849315],0.60995677295459,[0.73741935 0.59337861 0.49907236],,0.6723270416259766,0.5818107474990717,[0.78096716 0.55191424 0.41255084],0.5694441574577848,[0.83104018 0.52050838 0.35678392],0.6043064689161874,[0.73658537 0.58735332 0.48898072],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6744862198829651,0.580257187261748,[0.78218813 0.53777965 0.42080378],0.5701118873547452,[0.80973757 0.53484467 0.36575342],0.5975201409472571,[0.75645161 0.54074703 0.49536178],,0.6683962345123291,0.5709202777032857,[0.78202701 0.51931191 0.41142191],0.5613513142571012,[0.81035836 0.51712993 0.35656566],0.587782679111177,[0.75560976 0.52151239 0.4862259 ],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.66680508852005,0.5563497336405476,[0.78711576 0.5        0.38193344],0.5515337836766409,[0.79807692 0.52319109 0.33333333],0.567451168768171,[0.77645161 0.47877759 0.4471243 ],,0.6687107086181641,0.562164671452635,[0.78817979 0.49831423 0.4       ],0.5559562797008148,[0.80273141 0.51606145 0.34907598],0.574737655728298,[0.77414634 0.48174707 0.46831956],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6699190139770508,0.5633883036984592,[0.78555158 0.50430059 0.40031274],0.5595709672555298,[0.79251477 0.54025218 0.34594595],0.5754995364405988,[0.77870968 0.47283531 0.47495362],,0.6603773832321167,0.5486109758234142,[0.78300493 0.48220516 0.38062284],0.5456485803500729,[0.79079602 0.51876877 0.32738095],0.5601225438472235,[0.77536585 0.45045632 0.45454545],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
