,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold
0,focal,0.7308550477027893,0.6404910052910053,[0.81828571 0.6016     0.5015873 ],0.48099099625559416,0.7490706443786621,0.6667375941178717,[0.82792666 0.61153846 0.56074766],1,True,100,0.5,0.001,0,2,False
0,focal,0.7189590930938721,0.6419275101066279,[0.80492091 0.59212598 0.52873563],0.5102905113907421,0.7416356801986694,0.6623468328018826,[0.82025678 0.61359223 0.55319149],1,True,100,0.5,0.001,1,2,False
0,focal,0.7055761814117432,0.6407609991442178,[0.79174484 0.61064426 0.5198939 ],0.4955618521746467,0.7193308472633362,0.6580602563184869,[0.79210926 0.62608696 0.55598456],1,True,100,0.5,0.001,12,2,False
