,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6392720341682434,0.5180535474919726,[0.76580588 0.44315353 0.34520124],0.5109557847510041,[0.78658537 0.4457429  0.30053908],0.5307148713714633,[0.74609601 0.44059406 0.40545455],,0.6698779463768005,0.5715959967063339,[0.78415791 0.51034023 0.42028986],0.5648636980985898,[0.7980694  0.52111717 0.37540453],0.5826964530668235,[0.7707231  0.5        0.47736626],35,3,5,11,15,3,umap,17,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)",300,"(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6325670480728149,0.5219968591096963,[0.75463667 0.45831747 0.35303644],0.5130675639361254,[0.79551282 0.4254417  0.31824818],0.5369397448709591,[0.71775593 0.49669967 0.39636364],,0.6745343804359436,0.5829584335639152,[0.78642663 0.51996041 0.44248826],0.5736061515335035,[0.80916844 0.52498334 0.38666667],0.5990358832147399,[0.76492819 0.51503268 0.51714678],35,3,5,11,15,3,umap,17,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)",300,"(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6388888955116272,0.5104705085458275,[0.76712329 0.43775763 0.32653061],0.5051468513162704,[0.78174722 0.43739703 0.2962963 ],0.5182638709215052,[0.75303644 0.43811881 0.36363636],,0.6788696050643921,0.5798207143544315,[0.79195491 0.52371542 0.42379182],0.5733021326977172,[0.80557727 0.52788845 0.38644068],0.5891764113052629,[0.77878559 0.51960784 0.4691358 ],35,3,5,11,15,3,umap,17,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(10,)",300,"(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64
