,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6157088279724121,0.5077699549014231,[0.7407293  0.45565749 0.32692308],0.4984503915703897,[0.79528865 0.42450142 0.2755611 ],0.5289142008474995,[0.69317525 0.49174917 0.40181818],,0.6645793318748474,0.5771085119626435,[0.77908982 0.52326322 0.42897249],0.5655199883942889,[0.82286996 0.51057214 0.36311787],0.6001132414557043,[0.73973293 0.53660131 0.52400549],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6262452006340027,0.5080954629813973,[0.75356295 0.42105263 0.34967081],0.5013731953695316,[0.77425259 0.43733333 0.29253366],0.52481210295697,[0.73395026 0.40594059 0.43454545],,0.6639370322227478,0.558588822632493,[0.78678908 0.48570444 0.40327294],0.553779374295014,[0.79654015 0.51347414 0.35132383],0.5704364050146807,[0.77727387 0.46078431 0.47325103],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.5739463567733765,0.43132088129151197,[0.72638436 0.31933472 0.24824356],0.4278744387526325,[0.74423544 0.32187762 0.21751026],0.4384307233499521,[0.70936958 0.31683168 0.28909091],,0.6599229574203491,0.5618189173136839,[0.77590857 0.49932157 0.41022661],0.555379880417545,[0.79125196 0.5190409  0.35584677],0.5754732071154937,[0.7611489  0.48104575 0.48422497],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.5840995907783508,0.4428583034481157,[0.72727273 0.36537725 0.23592493],0.4410837567801253,[0.7503075  0.34095783 0.23198594],0.4463915119100111,[0.70561018 0.39356436 0.24      ],,0.6437058448791504,0.5514686542390791,[0.76076681 0.49867198 0.39496718],0.5431931989620052,[0.79435152 0.50674764 0.32848044],0.5719851177782498,[0.72990678 0.49084967 0.4951989 ],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.5829501748085022,0.44599369028905106,[0.72607852 0.35443987 0.25746269],0.4464643900263103,[0.75038568 0.32463967 0.26436782],0.4481566068694782,[0.7032967  0.39026403 0.25090909],,0.665542721748352,0.5577476144497966,[0.78307692 0.51459737 0.37556855],0.5531090112724828,[0.79718089 0.50535602 0.35679012],0.5633599393118015,[0.76946334 0.52418301 0.39643347],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6111111044883728,0.4873455825475124,[0.74386799 0.3902439  0.32792485],0.482494249361002,[0.76537167 0.37293233 0.30917874],0.49395715048659294,[0.72353962 0.40924092 0.34909091],,0.6881824135780334,0.5967371176888081,[0.79597367 0.54207436 0.45216332],0.587895628829017,[0.81587302 0.54101562 0.40679825],0.6096918328373874,[0.77702192 0.54313725 0.50891632],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.5938697457313538,0.48837227202450967,[0.72655882 0.4189781  0.31957989],0.48093456635298226,[0.7951186  0.37565445 0.27203065],0.5099179449466057,[0.66888375 0.47359736 0.38727273],,0.6703596711158752,0.5895559383237595,[0.77935032 0.54674047 0.44257703],0.5760947357991366,[0.83797101 0.51626016 0.37405303],0.6170929825977031,[0.72839506 0.58104575 0.54183813],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6203064918518066,0.4924033214272226,[0.75388027 0.40401506 0.31931464],0.4866841293858956,[0.77109162 0.40966921 0.27929155],0.5028875328250003,[0.73742047 0.39851485 0.37272727],,0.6856133341789246,0.5884384810686808,[0.79836756 0.52289815 0.44404973],0.5823290126453385,[0.80836777 0.54799427 0.390625  ],0.6010050110579211,[0.78861174 0.5        0.51440329],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6143678426742554,0.5018233045898474,[0.74443266 0.42022379 0.34081346],0.49376088795434603,[0.78173719 0.42214821 0.27739726],0.5235537764302746,[0.71052632 0.41831683 0.44181818],,0.6547848582267761,0.5635902454953469,[0.77074064 0.50350117 0.41652893],0.5546060886966053,[0.8017969  0.51395507 0.3480663 ],0.5846610249037888,[0.7420005  0.49346405 0.51851852],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6233716607093811,0.5051898611512324,[0.75393462 0.436407   0.32522796],0.49705976295950505,[0.79079365 0.42101227 0.27937337],0.5208065983000846,[0.72035859 0.4529703  0.38909091],,0.6710019111633301,0.5754910554475869,[0.78594497 0.51254954 0.42797866],0.5671064904140034,[0.80646872 0.51802403 0.37682672],0.5896094514623408,[0.76643991 0.50718954 0.4951989 ],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6325670480728149,0.517619988814829,[0.75642374 0.4524484  0.34398782],0.5090384299188241,[0.78730059 0.44400318 0.29581152],0.5333358662644748,[0.72787739 0.46122112 0.41090909],,0.6708413362503052,0.5677184725584375,[0.78795611 0.50790447 0.40729483],0.562358367084039,[0.79813905 0.52321552 0.36572052],0.5770091301266734,[0.77802973 0.49346405 0.45953361],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6088122725486755,0.47767391514790597,[0.74368019 0.37640449 0.31293706],0.474626589938872,[0.75612672 0.36640625 0.3013468 ],0.48135167536418183,[0.73163678 0.3869637  0.32545455],,0.6775851249694824,0.5827635141683143,[0.78578785 0.53402128 0.42848141],0.5755641788578862,[0.80336931 0.52705283 0.3962704 ],0.5921760748195025,[0.76895944 0.54117647 0.46639232],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6076628565788269,0.4512704367702351,[0.74781596 0.38058552 0.22540984],0.45607718583730533,[0.75307918 0.35693642 0.25821596],0.4500721847777606,[0.7426258  0.40759076 0.2       ],,0.6748554706573486,0.5754803257926212,[0.78667355 0.52978056 0.40998686],0.5697887282492253,[0.80688742 0.50903614 0.39344262],0.582572946874223,[0.76744772 0.55228758 0.42798354],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,7
