,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim,dimension,sig_depth,method,log_signature
0,,0.5586206912994385,0.45684734537658706,[0.6957349  0.38270188 0.29210526],0.45194956222131216,[0.77009477 0.35688794 0.22886598],0.48354947004243515,[0.63447079 0.41254125 0.40363636],,0.7219011187553406,0.6439962417640155,[0.81513599 0.61626794 0.5005848 ],0.6299628260563594,[0.85172982 0.60186916 0.4362895 ],0.6666784134778739,[0.78155707 0.63137255 0.58710562],"(64, 64)",0.1,0.001,12,focal,2,True,5,64,0.3,790,28,2,gaussian_random_projection,True
0,,0.5565134286880493,0.45157090248280496,[0.69624465 0.37588918 0.28257888],0.4470033749869497,[0.7700666  0.34407128 0.22687225],0.47469173985067675,[0.63533835 0.41419142 0.37454545],,0.7233461737632751,0.6403813527470844,[0.81693423 0.61039795 0.49381188],0.629888543231961,[0.84021305 0.59962169 0.44983089],0.6546014290489858,[0.79491056 0.62156863 0.5473251 ],"(64, 64)",0.1,0.001,123,focal,2,True,5,64,0.3,790,28,2,gaussian_random_projection,True
0,,0.5716475248336792,0.45555427212499583,[0.71038084 0.37265625 0.28362573],0.44946292265996884,[0.75736739 0.35385757 0.23716381],0.47172512566467756,[0.66888375 0.39356436 0.35272727],,0.7217405438423157,0.634368222373081,[0.81964677 0.60103964 0.48241826],0.6250383904935005,[0.83922914 0.59754522 0.43834081],0.6472945831281758,[0.80095742 0.60457516 0.53635117],"(64, 64)",0.1,0.0001,1,focal,2,True,5,64,0.4,790,28,2,gaussian_random_projection,True
0,,0.6003831624984741,0.475726933711754,[0.73782885 0.40449438 0.28485757],0.46974249458972434,[0.77313054 0.39375    0.24234694],0.4889687696357837,[0.70561018 0.41584158 0.34545455],,0.7262363433837891,0.6424115642030762,[0.8208994  0.61562897 0.49070632],0.6313767924897157,[0.84778523 0.59888752 0.44745763],0.6574032081968589,[0.79566641 0.63333333 0.54320988],"(64, 64)",0.1,0.0001,12,focal,2,True,5,64,0.4,790,28,2,gaussian_random_projection,True
0,,0.5634099841117859,0.4530227379211926,[0.70580848 0.3742868  0.27897294],0.4482598893913879,[0.77197802 0.34721242 0.22558923],0.47382729828795483,[0.65008676 0.40594059 0.36545455],,0.7280025482177734,0.64518207950655,[0.82189288 0.61827443 0.49537893],0.6338140400917952,[0.84904647 0.60273122 0.44966443],0.6608343749022243,[0.79642227 0.63464052 0.55144033],"(64, 64)",0.1,0.0001,123,focal,2,True,5,64,0.4,790,28,2,gaussian_random_projection,True
0,,0.565517246723175,0.4569354054706833,[0.70083617 0.37470542 0.29526462],0.45039406669878,[0.75433333 0.35757121 0.23927765],0.4778144749119215,[0.65442452 0.39356436 0.38545455],,0.7246307134628296,0.6404822170481226,[0.81894655 0.6129552  0.4895449 ],0.630071889296479,[0.8419372  0.60457724 0.44370123],0.6549000395768733,[0.79717813 0.62156863 0.54595336],"(64, 64)",0.1,0.0005,1,focal,2,True,5,64,0.5,790,28,2,gaussian_random_projection,True
0,,0.5699234008789062,0.4602588582677165,[0.709375   0.38740157 0.284     ],0.45542547017293833,[0.77158396 0.37048193 0.22421053],0.4832207118918948,[0.65644881 0.40594059 0.38727273],,0.7235067486763,0.645887348923666,[0.81631037 0.62310606 0.49824561],0.6312796578302537,[0.85702411 0.6025641  0.43425076],0.6695832242361965,[0.77928949 0.64509804 0.58436214],"(64, 64)",0.1,0.0005,12,focal,2,True,5,64,0.5,790,28,2,gaussian_random_projection,True
0,,0.5651341080665588,0.45851646335450885,[0.70443815 0.38109756 0.29001368],0.45311794810823613,[0.77279006 0.35410765 0.23245614],0.4817302366442544,[0.64719491 0.41254125 0.38545455],,0.72398841381073,0.6444428362751943,[0.81973235 0.61242793 0.50116822],0.6307030515997337,[0.85518752 0.60050251 0.43641913],0.6668046642525324,[0.78710003 0.6248366  0.58847737],"(64, 64)",0.1,0.0005,123,focal,2,True,5,64,0.5,790,28,2,gaussian_random_projection,True
0,,0.557662844657898,0.45502265427571964,[0.69537782 0.37568627 0.29400387],0.4502604622650446,[0.76501215 0.35799701 0.22777223],0.48237420445341234,[0.63736264 0.39521452 0.41454545],,0.7206165790557861,0.6414886311256095,[0.81518455 0.61617789 0.49310345],0.6278749991579904,[0.85153677 0.60775588 0.42433234],0.6650409958221971,[0.78180902 0.6248366  0.58847737],"(128, 128)",0.5,0.001,1,focal,2,True,5,64,0.6,790,28,2,gaussian_random_projection,True
0,,0.5582375526428223,0.4551882988389165,[0.6949099  0.38586957 0.28478544],0.45080571571112943,[0.76638773 0.3643695  0.22165992],0.4812917850489502,[0.63562753 0.41006601 0.39818182],,0.7231855988502502,0.6456138737832272,[0.81636936 0.61672586 0.5037464 ],0.6317582752196022,[0.85143639 0.6094448  0.43439364],0.6692369677637858,[0.78407659 0.62418301 0.5994513 ],"(128, 128)",0.5,0.001,12,focal,2,True,5,64,0.6,790,28,2,gaussian_random_projection,True
