,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6436781883239746,0.5197923194310188,[0.77186761 0.439413   0.34809635],0.5132588519101147,[0.78912387 0.44671782 0.30393487],0.5316552916136033,[0.75534991 0.43234323 0.40727273],,0.666024386882782,0.5565007005304262,[0.78667505 0.48307155 0.3997555 ],0.55462625611464,[0.78499749 0.51835206 0.36052922],0.5630690136136759,[0.78835979 0.45228758 0.44855967],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6312260627746582,0.49560912858747264,[0.76086957 0.37896567 0.34699215],0.4954629382781875,[0.75268817 0.40036731 0.33333333],0.49692830821543693,[0.76923077 0.35973597 0.36181818],,0.6671483516693115,0.5499266440186067,[0.78852418 0.49028801 0.37096774],0.5501949873367765,[0.78420135 0.50274725 0.36363636],0.5499757104487886,[0.79289494 0.47843137 0.37860082],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6379310488700867,0.5089951039864787,[0.76494142 0.44248466 0.31955923],0.5070758443971819,[0.78508371 0.41332378 0.32282004],0.5127476894595185,[0.74580682 0.47607261 0.31636364],,0.6615285873413086,0.5537424475265098,[0.78349465 0.48244473 0.39528796],0.550030573647425,[0.792171   0.47994825 0.37797247],0.5580799123490274,[0.7750063  0.48496732 0.41426612],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6360152959823608,0.49970724966980584,[0.76502894 0.4421365  0.29195631],0.5030635362951165,[0.78591034 0.40161725 0.32166302],0.5014167859816635,[0.74522846 0.49174917 0.26727273],,0.6608863472938538,0.5347140435916077,[0.78583217 0.4963145  0.32199546],0.5395618243361412,[0.7919652  0.46813441 0.35858586],0.533359681321088,[0.7797934  0.52810458 0.29218107],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6323754787445068,0.4922494870290628,[0.7662037  0.39831579 0.31222897],0.4906205402791157,[0.76664737 0.40670679 0.29850746],0.4944324363032024,[0.76576056 0.39026403 0.32727273],,0.6687540411949158,0.5595420648820317,[0.78780981 0.49699399 0.39382239],0.5566385541454524,[0.79080985 0.50819672 0.37090909],0.5636200159075976,[0.78483245 0.48627451 0.41975309],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6130267977714539,0.5042342775079449,[0.7333742  0.43870066 0.34062797],0.5058826404379659,[0.77998696 0.38037553 0.35728543],0.511874956148015,[0.69201851 0.51815182 0.32545455],,0.6514129638671875,0.5503604059630666,[0.76698901 0.51312447 0.37096774],0.5528830811138326,[0.80865922 0.45156483 0.3984252 ],0.5568570912590002,[0.72940287 0.59411765 0.34705075],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6346743106842041,0.5038148469738826,[0.7634879  0.41404959 0.33390706],0.5005761877966787,[0.77       0.4147351  0.31699346],0.5077262098679504,[0.75708502 0.41336634 0.35272727],,0.6674695014953613,0.5674228785285912,[0.78096696 0.50442188 0.4168798 ],0.562318774660702,[0.79095607 0.50558109 0.39041916],0.573894303949289,[0.77122701 0.50326797 0.44718793],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6431034207344055,0.5043464593543187,[0.77055779 0.41771094 0.32477064],0.505647236338741,[0.76615209 0.42301184 0.32777778],0.5031246317228599,[0.77501446 0.41254125 0.32181818],,0.6705202460289001,0.5528943100588019,[0.78918378 0.49918113 0.37031802],0.5555090642858668,[0.7842747 0.5003283 0.3819242],0.5505301160244619,[0.7941547  0.49803922 0.35939643],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6371647715568542,0.490068365969786,[0.76841072 0.36397926 0.33781513],0.4949410627212045,[0.74611822 0.42464246 0.3140625 ],0.49200424611576254,[0.79207634 0.31848185 0.36545455],,0.6718047261238098,0.5538886042095156,[0.79241071 0.486053   0.3832021 ],0.5561473780189408,[0.78021978 0.52092676 0.3672956 ],0.5536976381773561,[0.80498866 0.45555556 0.4005487 ],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6260536313056946,0.4846610345618619,[0.75628571 0.38257899 0.3151184 ],0.4864905023799657,[0.7473179  0.39646018 0.31569343],0.48321792965878424,[0.76547137 0.36963696 0.31454545],,0.6599229574203491,0.5360086951592746,[0.78136554 0.47066895 0.35599159],0.5413268489696846,[0.76477684 0.49530686 0.36389685],0.531826118650478,[0.79868985 0.44836601 0.3484225 ],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
