,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6122605204582214,0.5061741239085398,[0.74064877 0.44547924 0.33239437],0.49703572385949796,[0.79932998 0.42051282 0.27126437],0.5308941617122961,[0.68999422 0.47359736 0.42909091],,0.6652215719223022,0.5769974757592423,[0.77720753 0.52290932 0.43087558],0.5659279330668402,[0.81349862 0.51288498 0.3714002 ],0.5967936694568088,[0.74401612 0.53333333 0.51303155],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6252873539924622,0.5001863477454892,[0.75790093 0.39748766 0.34517045],0.4965047370817441,[0.77070254 0.43559489 0.28321678],0.5176157910759266,[0.74551764 0.36551155 0.44181818],,0.6732498407363892,0.5661178708986371,[0.79388164 0.48126378 0.42320819],0.5670433246716466,[0.79011729 0.54949664 0.36151603],0.578691558928098,[0.79768204 0.42810458 0.51028807],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6097701191902161,0.4719830756786269,[0.75081578 0.38944422 0.27568922],0.46784729901061217,[0.77070646 0.37781226 0.25502318],0.4779137167620753,[0.73192597 0.40181518 0.3       ],,0.6925176382064819,0.6014875396081399,[0.79772522 0.55580573 0.45093168],0.5927385552720216,[0.81900212 0.54718176 0.41203178],0.6133913647763632,[0.77752583 0.56470588 0.49794239],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.620881199836731,0.48175548658657963,[0.75812065 0.3729097  0.31423611],0.4796521081063776,[0.76032577 0.3779661  0.30066445],0.4843353300049496,[0.75592828 0.3679868  0.32909091],,0.6843288540840149,0.5818327005036549,[0.79588728 0.52923687 0.42037395],0.5778864031627492,[0.8019954  0.53507014 0.39659367],0.5868629481971115,[0.7898715  0.52352941 0.44718793],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6201149225234985,0.4827917031565369,[0.75364883 0.41281139 0.28191489],0.48005455425892024,[0.7687218  0.39635535 0.27508651],0.48631318655289474,[0.73915558 0.43069307 0.28909091],,0.6849710941314697,0.5769473296025788,[0.79807935 0.52844997 0.40431267],0.5755512585816615,[0.80050697 0.52879581 0.39735099],0.5784312078740962,[0.79566641 0.52810458 0.41152263],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6093869805335999,0.48185217567168714,[0.74435303 0.40855874 0.29264476],0.4759542879391036,[0.77099473 0.4        0.25686813],0.49232759481847554,[0.71949104 0.41749175 0.34      ],,0.6963711977005005,0.6043803339948277,[0.80238126 0.5634715  0.44728824],0.5952424539055899,[0.82490687 0.55840822 0.40241228],0.6177033227557142,[0.78105316 0.56862745 0.50342936],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6166666746139526,0.4999493034486613,[0.7484344  0.43052392 0.32088959],0.4922598121050375,[0.79313694 0.39873418 0.28490832],0.5145321779141477,[0.70850202 0.46782178 0.36727273],,0.6851316690444946,0.5900679250380804,[0.79516506 0.54573935 0.42929936],0.5819962929216194,[0.82120805 0.52406739 0.40071344],0.600760413904931,[0.7707231  0.56928105 0.46227709],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6333333253860474,0.4989821853891924,[0.76447426 0.41474654 0.31772575],0.49550113085114367,[0.77110915 0.4212766  0.29411765],0.503940986926917,[0.75795257 0.40841584 0.34545455],,0.6878612637519836,0.5807748473617801,[0.80105369 0.52364633 0.41762452],0.5795883471401352,[0.79765176 0.55043228 0.390681  ],0.5841302776254534,[0.80448476 0.49934641 0.44855967],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6241379380226135,0.5022005368735577,[0.75473951 0.42648896 0.32537313],0.49552316644517713,[0.78000617 0.43061396 0.27594937],0.5166214319523336,[0.73105842 0.42244224 0.39636364],,0.6793513298034668,0.5810583235278896,[0.7924432  0.52114598 0.4295858 ],0.5752573740646578,[0.80310479 0.54493581 0.37773153],0.5931165881990657,[0.78206097 0.49934641 0.49794239],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6141762733459473,0.5113233748533585,[0.74299065 0.44279578 0.34818369],0.5016461580885206,[0.80519919 0.42031134 0.27942794],0.5397816652688983,[0.68970503 0.46782178 0.46181818],,0.6636159420013428,0.5751712698647142,[0.77654223 0.53290113 0.41607045],0.5647249785817989,[0.8181311  0.52861736 0.34742647],0.5982501642632362,[0.73897707 0.5372549  0.51851852],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6304597854614258,0.5067814161290483,[0.75631981 0.42232403 0.3417004 ],0.5011386093223422,[0.76897788 0.42640875 0.3080292 ],0.5153416376918201,[0.74407172 0.41831683 0.38363636],,0.6729286909103394,0.5667236085442962,[0.78850517 0.50219669 0.40946897],0.5641799875789403,[0.7889029  0.51994402 0.38369305],0.5708954089180254,[0.78810784 0.48562092 0.43895748],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6021072864532471,0.4768379943042161,[0.73687396 0.40933435 0.28430567],0.4712461938069981,[0.77277055 0.38159772 0.25937031],0.48670961775182714,[0.70416426 0.44141914 0.31454545],,0.6851316690444946,0.5999524017407774,[0.78892824 0.55555556 0.45537341],0.5886169310302831,[0.82293377 0.53442029 0.40849673],0.6168187439584888,[0.75762157 0.57843137 0.51440329],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.607854425907135,0.4746658371592534,[0.74560237 0.38011928 0.29827586],0.47102567779513493,[0.76262474 0.36684574 0.28360656],0.47941940058667526,[0.72932331 0.39438944 0.31454545],,0.6791907548904419,0.5760466703350137,[0.79306388 0.522705   0.41237113],0.571381164233229,[0.80278782 0.52253429 0.38882139],0.5818019937741901,[0.78357269 0.52287582 0.43895748],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6272030472755432,0.4933819640227821,[0.75854983 0.41841348 0.30318258],0.4893736860593596,[0.77019374 0.41687142 0.2810559 ],0.4987702176811088,[0.74725275 0.419967   0.32909091],,0.6862556338310242,0.5810456450241333,[0.79899244 0.52329507 0.42084942],0.5787853300488129,[0.79879124 0.54120112 0.39636364],0.5847631233563385,[0.79919375 0.50653595 0.44855967],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6262452006340027,0.4911852780407913,[0.7599941  0.41998375 0.29357798],0.4868188065333258,[0.77566998 0.4136     0.27118644],0.49716897600691246,[0.74493927 0.42656766 0.32      ],,0.6950867176055908,0.6014670856375962,[0.80005111 0.55106732 0.45328283],0.5950796048200493,[0.81156039 0.55379538 0.41988304],0.6098950416929461,[0.78886369 0.54836601 0.49245542],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
