,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6615098118782043,0.6419153049448327,[0.72567976 0.55815085],0.6402904247731833,[0.76692209 0.51365876],0.6498641510217846,[0.68864679 0.61108151],,0.8509232997894287,0.8439062950851206,[0.87700178 0.81081081],0.8406105064681215,[0.89593274 0.78528827],0.8484511853183015,[0.85885428 0.83804809],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6754893064498901,0.6564177581388981,[0.73736612 0.5754694 ],0.6543358436460001,[0.77809615 0.53057554],0.6646754165587287,[0.70068807 0.62866276],,0.8534842729568481,0.8461105157918208,[0.87979653 0.8124245 ],0.8434624989893319,[0.893531 0.793394],0.8494341367111164,[0.86647789 0.83239038],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6849953532218933,0.6675495248303217,[0.7437064  0.59139265],0.6654148947602307,[0.78943979 0.54139   ],0.6772766541377271,[0.70298165 0.65157166],,0.8703329563140869,0.8639829903793174,[0.89337176 0.83459422],0.8608751186193657,[0.90950124 0.812249  ],0.8680040387117407,[0.8778044  0.85820368],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6615098118782043,0.634954919957784,[0.73341163 0.53649821],0.633223933432032,[0.75150421 0.51494366],0.6380528964822844,[0.71616972 0.55993607],,0.8644022345542908,0.8569717036959815,[0.8895719  0.82437151],0.8553982419058229,[0.89665855 0.81413793],0.8587310068250501,[0.88259638 0.83486563],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6611369848251343,0.6413219322075184,[0.72562632 0.55701754],0.6396697864409875,[0.76609305 0.51324652],0.6490853181682658,[0.68922018 0.60895045],,0.8604933023452759,0.8536704711526637,[0.88526771 0.82207323],0.8506437448975817,[0.9013544  0.79993309],0.8576094933294556,[0.86974515 0.84547383],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6898415684700012,0.6709656494176619,[0.74977444 0.59215686],0.6683841079225241,[0.78842505 0.54834317],0.6791582098361136,[0.71473624 0.64358018],,0.8650761842727661,0.8580909532927548,[0.88957529 0.82660662],0.8556968654205055,[0.90120697 0.81018676],0.8609729170010694,[0.87824003 0.8437058 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6568499803543091,0.6372193412251598,[0.72160895 0.55282973],0.6357778571428572,[0.76352    0.50803571],0.6451731303123762,[0.68405963 0.60628663],,0.8613020777702332,0.8538992875405905,[0.88678623 0.82101235],0.851948121337811,[0.89595376 0.80794249],0.8561582112718538,[0.8778044  0.83451202],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6898415684700012,0.6696946824727315,[0.75127055 0.58811881],0.6670295784274911,[0.78482199 0.54923717],0.6766975318070511,[0.72047018 0.63292488],,0.8551017642021179,0.8474846257874704,[0.8815688  0.81340045],0.845363322251642,[0.89188587 0.79884078],0.8499942002632911,[0.87148769 0.82850071],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6779124140739441,0.6619158162096843,[0.73545622 0.58837542],0.6605957659058779,[0.7890933  0.53209823],0.6733058132487426,[0.68864679 0.65796484],,0.8188434839248657,0.8106087727114422,[0.85010038 0.77111717],0.8074219635817533,[0.87108571 0.74375821],0.8153340725366061,[0.83010237 0.80056577],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6877912282943726,0.6681889607536647,[0.74883791 0.58754001],0.6656093500442761,[0.78497328 0.54624542],0.6757358664519314,[0.71588303 0.63558871],,0.7945814728736877,0.783409002999406,[0.83260105 0.73421695],0.7820797652846279,[0.83979614 0.72436339],0.7849352493671125,[0.82552821 0.74434229],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,6
