,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6972972750663757,0.675616661781981,[0.75947867 0.59175465],0.672874319885022,[0.78553922 0.56020942],0.6810781038451951,[0.73509174 0.62706446],,0.834479033946991,0.8234157303788924,[0.86761535 0.77921611],0.8257614887901199,[0.85891142 0.79261156],0.8213817037023116,[0.8764975  0.76626591],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6864864826202393,0.6626896077390609,[0.75228277 0.57309645],0.6603659469297387,[0.77347062 0.54726127],0.6668582563919587,[0.73222477 0.60149174],,0.7992991209030151,0.7873017568601539,[0.83781723 0.73678628],0.787282279472411,[0.8379085  0.73665606],0.787321267210892,[0.83772599 0.73691655],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6853681206703186,0.6616303462145247,[0.75125258 0.57200811],0.6593055473652062,[0.77289266 0.54571843],0.6658751307473862,[0.73079128 0.60095898],,0.8738374710083008,0.8648316544665414,[0.89972145 0.82994186],0.8694086825144254,[0.88530466 0.85351271],0.8611267294075458,[0.91461555 0.80763791],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7002795934677124,0.6786129720711449,[0.76205978 0.59516616],0.6758311255136373,[0.78746177 0.56420048],0.6839868513341121,[0.73824541 0.62972829],,0.8815204501152039,0.8751648113101088,[0.90333223 0.84699739],0.8731686614123582,[0.91226122 0.83407611],0.8774508316344907,[0.89457635 0.86032532],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6570363640785217,0.6236927061128321,[0.73570813 0.51167728],0.6234868709674375,[0.73719056 0.50978318],0.623908580083385,[0.73423165 0.51358551],,0.8634586930274963,0.8548983434623969,[0.89014207 0.81965462],0.8558892656819796,[0.88639309 0.82538544],0.8539628607351508,[0.89392289 0.81400283],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7101584076881409,0.6851511681607494,[0.77388396 0.59641838],0.6833325518496971,[0.78518737 0.58147773],0.6875242096503791,[0.76290138 0.61214704],,0.8739722371101379,0.8662561205514892,[0.89838061 0.83413163],0.8667409681771251,[0.89652928 0.83695265],0.8657845803717192,[0.9002396  0.83132956],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.681267499923706,0.6520356378863046,[0.75289017 0.5511811 ],0.6511148684907091,[0.75903263 0.5431971 ],0.6531248167092716,[0.74684633 0.5594033 ],,0.866828441619873,0.8575545873117147,[0.89390034 0.82120883],0.8612931056276005,[0.88159288 0.84099333],0.8544450553123895,[0.90655631 0.8023338 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.680894672870636,0.6566733700649656,[0.74786451 0.56548223],0.6544591139258717,[0.76892792 0.53999031],0.6607122891545654,[0.72792431 0.59350027],,0.8693894147872925,0.8610454948801364,[0.89509581 0.82699518],0.8624971067325771,[0.88979768 0.83519654],0.8597053702943185,[0.90045742 0.81895332],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.687045693397522,0.6583034447687358,[0.757405   0.55920189],0.6573572088950324,[0.76347218 0.55124224],0.6594141325705181,[0.75143349 0.56739478],,0.8428359627723694,0.8331330930089365,[0.87337098 0.7928952 ],0.8337428616615163,[0.87091185 0.79657388],0.8325471981495066,[0.87584404 0.78925035],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6831313967704773,0.657750710878848,[0.75095224 0.56454918],0.6557428135390917,[0.76782504 0.54366058],0.6609560658233664,[0.73480505 0.58710709],,0.8224828243255615,0.8129362542558443,[0.85519516 0.77067735],0.8113156896556977,[0.86345471 0.75917667],0.8148119807002014,[0.84709214 0.78253182],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6730661988258362,0.6471878991074391,[0.74273981 0.55163599],0.6452907452907453,[0.76036036 0.53022113],0.6503854604018711,[0.72591743 0.57485349],,0.7816417217254639,0.7702356176601753,[0.82142857 0.71904266],0.7685464260338903,[0.83151082 0.70558203],0.7723073817323544,[0.81158789 0.73302687],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6874184608459473,0.6582244494417979,[0.75811337 0.55833553],0.6574640179003386,[0.7628447  0.55208333],0.6590856603109588,[0.75344037 0.56473095],,0.8726243376731873,0.8650467670524205,[0.89702517 0.83306836],0.8649236946220861,[0.89751417 0.83233322],0.8651707556479269,[0.8965367  0.83380481],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6795899271965027,0.654190359340464,[0.74791025 0.56047047],0.6521877998965058,[0.76553588 0.53883972],0.6574942385614366,[0.73107798 0.5839105 ],,0.875859260559082,0.8681496146749159,[0.90003256 0.83626667],0.8689576224263278,[0.89701428 0.84090097],0.867377197314591,[0.90307123 0.83168317],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6821994185447693,0.6543045864067809,[0.75250399 0.55610518],0.652958486511994,[0.76212879 0.54378819],0.656056170054694,[0.74311927 0.56899307],,0.8572583794593811,0.8487256954431854,[0.88465309 0.8127983 ],0.8487020518116519,[0.88474946 0.81265465],0.8487493749686137,[0.88455674 0.81294201],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6846225261688232,0.6623123101674365,[0.74911032 0.5755143 ],0.6598290874606665,[0.77579853 0.54385965],0.6676393803795828,[0.72419725 0.61108151],,0.8658849000930786,0.8569515938078349,[0.89269923 0.82120395],0.8594398014020532,[0.88402392 0.83485568],0.8547690087333406,[0.9015465  0.80799151],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6825722455978394,0.6590919563813877,[0.74856046 0.56962345],0.656758210396909,[0.7716895  0.54182692],0.663601867488135,[0.72677752 0.60042621],,0.8679067492485046,0.8602272622412791,[0.89298974 0.82746479],0.8596596382794921,[0.89533611 0.82398317],0.8608157926599518,[0.89065563 0.83097595],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6900279521942139,0.6708818309810889,[0.7502628  0.59150086],0.6682667416396371,[0.78776411 0.54876937],0.6788094228541544,[0.71616972 0.64144912],,0.8358269333839417,0.8263056683103571,[0.86697248 0.78563886],0.8257508341322224,[0.8694414  0.78206027],0.8268839439565203,[0.86451753 0.78925035],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6959925293922424,0.670878715800687,[0.76179349 0.57996395],0.6688688029392027,[0.77642155 0.56131605],0.673799934504113,[0.74770642 0.59989345],,0.8149346113204956,0.8014415645792335,[0.85320218 0.74968095],0.8058441428085251,[0.83788324 0.77380504],0.7980536299265798,[0.8690917  0.72701556],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.704380214214325,0.6774959535812548,[0.77061036 0.58438155],0.6763109335611817,[0.77758319 0.57503868],0.6788972496615231,[0.76376147 0.59403303],,0.7784067988395691,0.762730145321521,[0.82371864 0.70174165],0.7658797803716182,[0.81119324 0.72056632],0.7602562143447129,[0.8366369  0.68387553],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.704753041267395,0.6825451376603009,[0.76650943 0.59858084],0.679821052335212,[0.78883495 0.57080715],0.6873041844051361,[0.74541284 0.62919552],,0.802803635597229,0.7915198054798959,[0.84002187 0.74301774],0.7908271193611507,[0.84343434 0.7382199 ],0.7922576287718699,[0.8366369  0.74787836],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.7068033814430237,0.6855756908097094,[0.76727327 0.60387812],0.682656142646866,[0.79272394 0.57258835],0.6910956294936776,[0.74340596 0.6387853 ],,0.8697937726974487,0.8615823776710864,[0.8952959  0.82786885],0.8627286528661235,[0.89104639 0.83441092],0.8605073591187727,[0.89958615 0.82142857],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6917055249214172,0.6662002947945707,[0.75846963 0.57393096],0.6642638196176226,[0.77291667 0.55561097],0.6690265093380516,[0.74455275 0.59350027],,0.8773419857025146,0.8705363717530973,[0.9002193  0.84085345],0.8691075048075416,[0.9063811  0.83183391],0.8721057157213994,[0.89414071 0.85007072],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.67940354347229,0.6501656100640452,[0.75130133 0.54902989],0.6492014501126199,[0.75787631 0.54052659],0.6513222287663801,[0.74483945 0.55780501],,0.8599541783332825,0.8511326348966322,[0.88737127 0.814894  ],0.8522195636188379,[0.88325421 0.82118492],0.8501128137364877,[0.8915269  0.80869873],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,10
