,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6896551847457886,0.6697865827049271,[0.75078581 0.58878735],0.6671355791530622,[0.78546821 0.54880295],0.6770463187890103,[0.7190367  0.63505594],,0.8370400071144104,0.8282542770894972,[0.86709904 0.78940951],0.8265848076234776,[0.87527741 0.77789221],0.8301725410117637,[0.8590721  0.80127298],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.7148182392120361,0.6906000492117971,[0.77716283 0.60403727],0.6885670118052718,[0.78981646 0.58731756],0.6933225354728656,[0.76490826 0.62173681],,0.8289526700973511,0.8190689673959572,[0.86135693 0.776781  ],0.8184666686205858,[0.8640947  0.77283864],0.8197001266545424,[0.85863646 0.78076379],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.7069897651672363,0.6771519604285317,[0.77530017 0.57900375],0.6776058907434594,[0.77309008 0.5821217 ],0.6767209777460617,[0.77752294 0.57591902],,0.8227524161338806,0.8109732264554109,[0.85815985 0.7637866 ],0.8130978459291712,[0.85       0.77619569],0.8091229627365761,[0.86647789 0.75176803],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6907735466957092,0.6653031409788167,[0.75763331 0.57297297],0.663349358004384,[0.77241585 0.55428287],0.6681867323173325,[0.74340596 0.5929675 ],,0.812238872051239,0.7987909624228895,[0.85080861 0.74677331],0.8026701438697506,[0.8369153  0.76842499],0.7957396659166804,[0.86517099 0.72630835],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7166821956634521,0.688450811843362,[0.78223496 0.59466667],0.688544298339764,[0.78178694 0.59530166],0.688358258835835,[0.78268349 0.59403303],,0.8172260522842407,0.8050656224451611,[0.85375324 0.75637801],0.8071775867162045,[0.84554582 0.76880935],0.8032319167598373,[0.86212154 0.74434229],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6956197619438171,0.6701061156348753,[0.76184921 0.57836303],0.6682132445359701,[0.77530424 0.56112224],0.6727750338476879,[0.74885321 0.59669686],,0.8363660573959351,0.8261192911844405,[0.86832972 0.78390886],0.8270064599753308,[0.86476561 0.78924731],0.8252827390901022,[0.87192333 0.77864215],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.7017707228660583,0.6781645601892261,[0.76532708 0.59100204],0.6757712257712258,[0.78348348 0.56805897],0.6819347588871565,[0.74799312 0.6158764 ],,0.819652259349823,0.8081713423856254,[0.85510071 0.76124197],0.8093420280041039,[0.8503123  0.76837176],0.8070933244645372,[0.85994337 0.75424328],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.727306604385376,0.6998740954012492,[0.79061113 0.60913706],0.7001504334265463,[0.78936839 0.61093248],0.6996049779317963,[0.7918578  0.60735216],,0.8147998452186584,0.8027877111184198,[0.85145946 0.75411596],0.8043257789971724,[0.84524576 0.7634058 ],0.8014073488594775,[0.85776519 0.7450495 ],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6904007196426392,0.6686011513117831,[0.75359739 0.58360491],0.6659770351843054,[0.78081771 0.55113636],0.6741747640437357,[0.72821101 0.62013852],,0.8352877497673035,0.8258511990772321,[0.86638968 0.78531272],0.8250952434245626,[0.86981339 0.78037709],0.8266519929990324,[0.86299281 0.79031117],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7066169381141663,0.679177799532731,[0.7730026 0.585353 ],0.6783303295964811,[0.77771329 0.57894737],0.6801252975419492,[0.76834862 0.59190197],,0.8230219483375549,0.810003714243579,[0.85973721 0.76027022],0.8147814174566883,[0.84360587 0.78595696],0.8063534151591716,[0.8764975  0.73620934],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7243243455886841,0.6978527220151826,[0.78728606 0.60841938],0.6973179160021266,[0.78989899 0.60473684],0.6984187050632231,[0.78469037 0.61214704],,0.8154737949371338,0.8042566415709714,[0.85111474 0.75739855],0.8045302717692392,[0.84991312 0.75914742],0.8039887323362203,[0.85231976 0.75565771],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7122087478637695,0.6825845701850304,[0.77955454 0.5856146 ],0.683249593452415,[0.77645051 0.59004867],0.681965078228483,[0.78268349 0.58124667],,0.8129127621650696,0.7997366479974621,[0.85110491 0.74836838],0.8031845426820062,[0.83851194 0.76785714],0.7969631561905296,[0.8640819  0.72984441],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6993476152420044,0.673852500025911,[0.76504006 0.58266494],0.6720058282773336,[0.77761327 0.56639839],0.6763802097334708,[0.75286697 0.59989345],,0.7916161417961121,0.777137424396219,[0.833942   0.72033285],0.7800196604742059,[0.82263191 0.73740741],0.7747992659520487,[0.84556741 0.70403112],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.7243243455886841,0.6949821384975949,[0.789586   0.60037828],0.6963889023073073,[0.78367693 0.60910088],0.6937434168080041,[0.79558486 0.59190197],,0.8019948601722717,0.7885310831053086,[0.84189    0.73517217],0.7910178570031223,[0.83212766 0.74990805],0.7864441821939919,[0.85188412 0.72100424],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.7025163173675537,0.6787587137112532,[0.76611958 0.59139785],0.6764095377222126,[0.78357314 0.56924593],0.6823851194811161,[0.74942661 0.61534363],,0.8195174336433411,0.8093913093732636,[0.85332457 0.76545805],0.8083624203742732,[0.85830762 0.75841722],0.8105149380575796,[0.84839904 0.77263083],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6928238868713379,0.6687256101819538,[0.75807399 0.57937723],0.6664374604600869,[0.77677497 0.55609995],0.6724703130116866,[0.74025229 0.60468833],,0.7951206564903259,0.7817702002015081,[0.8357467 0.7277937],0.7832974405247499,[0.82929445 0.73730044],0.7804145741144735,[0.84230015 0.718529  ],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.7243243455886841,0.6977795763684234,[0.78734723 0.60821192],0.6972894820744013,[0.78973176 0.60484721],0.69829567116177,[0.78497706 0.61161428],,0.8053646087646484,0.7942409793612468,[0.84208224 0.74639972],0.7935239052370553,[0.84559631 0.7414515 ],0.7950058413284462,[0.83859726 0.75141443],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6954333782196045,0.6711820568472102,[0.7604808  0.58188332],0.6689335692684211,[0.77804439 0.55982275],0.6747232615485378,[0.74369266 0.60575386],,0.8373095989227295,0.8272297571437802,[0.86896102 0.78549849],0.8279007344923743,[0.86623377 0.7895677 ],0.8265882575126231,[0.87170551 0.781471  ],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6976701021194458,0.6634386748858202,[0.77077445 0.5561029 ],0.665891792751302,[0.76003344 0.57175014],0.6615563429589477,[0.78182339 0.54128929],,0.8170912265777588,0.8032466122687855,[0.85543837 0.75105485],0.8087800403627754,[0.83715596 0.78040412],0.7991851177369659,[0.87453714 0.7238331 ],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.7252562642097473,0.6981023842398955,[0.78864353 0.60756124],0.6980538286346939,[0.78886976 0.60723789],0.6981511769708642,[0.78841743 0.60788492],,0.8188434839248657,0.806928976856423,[0.85489095 0.758967  ],0.8087923347534121,[0.84757011 0.77001456],0.8052856628351948,[0.86233936 0.74823197],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.7030754685401917,0.6763379741789018,[0.76936441 0.58331154],0.6750490052114912,[0.77712782 0.5729702 ],0.6778938092945507,[0.76175459 0.59403303],,0.8170912265777588,0.8054882184214344,[0.85299534 0.7579811 ],0.8065774636746039,[0.84849138 0.76466355],0.8044809012282502,[0.85754738 0.75141443],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6982292532920837,0.6745903473543633,[0.76229629 0.58688441],0.6721975734964483,[0.78122179 0.56317336],0.6784729316252267,[0.74426606 0.61267981],,0.7914813160896301,0.7772053777994181,[0.83360224 0.72080852],0.7797512143840342,[0.82341691 0.73608551],0.7750977251784363,[0.84404269 0.70615276],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.724883496761322,0.6963347291887166,[0.78944365 0.60322581],0.697211589626695,[0.78563316 0.60879002],0.6955268355955482,[0.79329128 0.59776239],,0.8075212240219116,0.7940262885299141,[0.84674823 0.74130435],0.7972985482846322,[0.83456738 0.76002972],0.7913847029287053,[0.85928992 0.72347949],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6997203826904297,0.6745504912968672,[0.76505761 0.58404338],0.6726012874665924,[0.77856931 0.56663327],0.6772820764884429,[0.75200688 0.60255727],,0.8292222619056702,0.8191360214970903,[0.86184713 0.77642492],0.8189014214058398,[0.8628821  0.77492075],0.819374786842346,[0.86081464 0.77793494],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6958061456680298,0.6679076965090346,[0.76416185 0.57165354],0.6668846328701477,[0.77039627 0.563373  ],0.6691043315264941,[0.75802752 0.58018114],,0.8046906590461731,0.7918898266165255,[0.84350362 0.74027604],0.7935914166290547,[0.8365467  0.75063613],0.7903876180473635,[0.85057722 0.73019802],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.7323392629623413,0.7052298859018578,[0.79462243 0.61583735],0.7056464524154785,[0.79280822 0.61848469],0.7048287636918174,[0.79644495 0.61321257],,0.8116996884346008,0.8001983530558319,[0.84813567 0.75226104],0.8005534664784182,[0.84657118 0.75453575],0.7998529732084514,[0.84970595 0.75      ],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.7116495966911316,0.6901244030493175,[0.77179525 0.60845356],0.6872257906853881,[0.79489517 0.57955641],0.6951917954182205,[0.75       0.64038359],,0.8511928915977478,0.8432003592316217,[0.87860128 0.80779944],0.841398372735506,[0.88718632 0.79561043],0.8452742697800291,[0.87018079 0.82036775],80,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,12
