,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size
0,,0.6630009412765503,0.6374985910911517,[0.73364761 0.54134957],0.6356262381686111,[0.75454545 0.51670702],0.6411682278963601,[0.71387615 0.56846031],,0.7769241333007812,0.7630701544918412,[0.82036253 0.70577778],0.7636501880375942,[0.81761142 0.70968895],0.7625208459328057,[0.82313222 0.70190948],1,True,300,0.2,0.0001,1,focal,2,True,5,64
0,,0.6553587913513184,0.634488051286932,[0.7218294  0.54714671],0.6328819326955724,[0.75941754 0.50634633],0.6414426293910349,[0.6877867  0.59509856],,0.7732847929000854,0.7625279361928221,[0.81306957 0.7119863 ],0.7601410785268277,[0.83004311 0.69023904],0.765962408155431,[0.7967763  0.73514851],1,True,300,0.2,0.0001,12,focal,2,True,5,64
0,,0.6568499803543091,0.6337268901226097,[0.725756   0.54169778],0.6318800260812867,[0.75534884 0.50841121],0.6390214352397199,[0.6983945  0.57964838],,0.7777328491210938,0.7657797139467633,[0.81869159 0.71286784],0.7644142123334623,[0.82659858 0.70222985],0.7673837672686583,[0.81093444 0.7238331 ],1,True,300,0.2,0.0001,123,focal,2,True,5,64
