,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6684063076972961,0.6466239162270384,[0.73435867 0.55888916],0.644504801835746,[0.76628233 0.52272727],0.652707372075291,[0.70498853 0.60042621],,0.8133171796798706,0.8037998835437639,[0.84701204 0.76058773],0.8016266167980407,[0.85925594 0.74399729],0.8065235561736463,[0.83511218 0.77793494],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6721342206001282,0.6518162950181284,[0.73592554 0.56770705],0.6496855741072599,[0.77245509 0.52691606],0.6590192937930428,[0.70269495 0.61534363],,0.7746326923370361,0.7639397796161704,[0.81418093 0.71369863],0.7615383711353814,[0.83117767 0.69189907],0.7673909688009595,[0.79786539 0.73691655],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.7107176184654236,0.6917450180040741,[0.76821983 0.6152702 ],0.688540875442363,[0.80174564 0.57533611],0.6992733744556265,[0.73738532 0.66116143],,0.7863593697547913,0.7741943994959547,[0.8266054  0.72178339],0.7734778362104957,[0.83032967 0.716626  ],0.7749649782167127,[0.8229144  0.72701556],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6777260303497314,0.6590387767793714,[0.7388612  0.57921635],0.6569377375996303,[0.78072135 0.53315412],0.6676259390594986,[0.70126147 0.63399041],,0.7835288047790527,0.7721924229448454,[0.8230108  0.72137405],0.7705153240124212,[0.83292438 0.70810627],0.7742394719759496,[0.81333043 0.73514851],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6849953532218933,0.6591627090242668,[0.7529962  0.56532922],0.6572662224195073,[0.76803816 0.54649428],0.6620204503575391,[0.73853211 0.58550879],,0.7682976126670837,0.7528641103072043,[0.8146231  0.69110512],0.7546503083896114,[0.80670654 0.70259408],0.7513412179970836,[0.82269658 0.67998586],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7032619118690491,0.6810094185185949,[0.76526098 0.59675785],0.6783016660817833,[0.78779599 0.56880734],0.685788293709951,[0.74397936 0.62759723],,0.7873028516769409,0.7737308521719877,[0.82914682 0.71831489],0.7748168251556239,[0.82432723 0.72530642],0.7727399743117107,[0.83402309 0.71145686],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6633737087249756,0.637356944255643,[0.73448986 0.54022403],0.6355402534112774,[0.75377188 0.51730863],0.6407167217353478,[0.71616972 0.56526372],,0.8160129189491272,0.8057918843115904,[0.85034536 0.76123841],0.8046362200536861,[0.85607064 0.7532018 ],0.8070722590197844,[0.84469614 0.76944837],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6930102705955505,0.6687467228112878,[0.75839812 0.57909532],0.6664963814451912,[0.77650946 0.5564833 ],0.6723675938326336,[0.74111239 0.6036228 ],,0.7672193050384521,0.7533711816926247,[0.81181214 0.69493022],0.7532858333247384,[0.81225469 0.69431698],0.7534573131676051,[0.81137007 0.69554455],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6902143359184265,0.6540321266441627,[0.76591549 0.54214876],0.6570459974010698,[0.75276855 0.56132345],0.6518853131583192,[0.77952982 0.52424081],,0.7730152606964111,0.7541129839942726,[0.82228789 0.68593808],0.7616367857728545,[0.7975435  0.72573007],0.749449872251749,[0.84861686 0.65028289],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6726933717727661,0.6543161985210025,[0.73401999 0.5746124 ],0.6524879258686713,[0.77809891 0.52687694],0.6632633906096495,[0.69466743 0.63185935],,0.7917509078979492,0.7823484888489904,[0.82758621 0.73711077],0.7794547186195271,[0.84851259 0.71039685],0.7867897402118467,[0.80766717 0.76591231],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
