,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.39181527320076437,0.599618673324585,0.5928758353539536,[0.64527027 0.5404814 ],0.5990965803187644,[0.6015748  0.59661836],0.5949052823315119,[0.69581056 0.494     ],0.21263505518436432,0.7259786128997803,0.6513591466460418,[0.81265207 0.49006623],0.7374648135116115,[0.71982759 0.75510204],0.6478529959469821,[0.93296089 0.3627451 ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,3
0,0.5020292892175562,0.6034318804740906,0.600290175790839,[0.56485356 0.6357268 ],0.6144056120691634,[0.66339066 0.56542056],0.6089016393442623,[0.49180328 0.726     ],0.1897646367549896,0.7437722086906433,0.729287090558767,[0.79190751 0.66666667],0.7259691144027733,[0.82035928 0.63157895],0.7356227407163983,[0.76536313 0.70588235],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,3
0,0.24928935573381536,0.599618673324585,0.5686677631578948,[0.453125   0.68421053],0.6713566595147714,[0.79452055 0.54819277],0.6134699453551913,[0.31693989 0.91      ],0.2424798309803009,0.6441280841827393,0.6355949787322337,[0.69135802 0.57983193],0.6398833671399594,[0.77241379 0.50735294],0.6510844561288203,[0.62569832 0.67647059],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,4
0,0.3445041994838154,0.6081982851028442,0.608025878316273,[0.59980526 0.6162465 ],0.6111424572613561,[0.64435146 0.57793345],0.6105100182149363,[0.56102004 0.66      ],0.20640038847923278,0.7117437720298767,0.6718283662788183,[0.78627968 0.55737705],0.6873148148148148,[0.745      0.62962963],0.6662011173184357,[0.83240223 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,4
0,0.5145384476465338,0.5986654162406921,0.5986289206317179,[0.60245515 0.59480269],0.599387027538288,[0.6254902  0.57328386],0.599528233151184,[0.58105647 0.618     ],0.25913851857185366,0.7046263217926025,0.6799676166691824,[0.76880223 0.591133  ],0.6803630363036304,[0.76666667 0.59405941],0.679592507394019,[0.77094972 0.58823529],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,4
0,0.32273421568029065,0.6244041919708252,0.6243465014651456,[0.62900188 0.61969112],0.6249763608856302,[0.65107212 0.5988806 ],0.6251894353369764,[0.60837887 0.642     ],0.20578885674476624,0.7259786128997803,0.6946557344660673,[0.79245283 0.59685864],0.7030372191011236,[0.765625   0.64044944],0.6900262898455471,[0.82122905 0.55882353],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,5
0,0.4673847082783194,0.5795996189117432,0.5728358035304535,[0.62658764 0.51908397],0.5780932216252315,[0.58544304 0.57074341],0.574976320582878,[0.67395264 0.476     ],0.2280862361192703,0.7188612222671509,0.6392576823699564,[0.80871671 0.46979866],0.7291780323695217,[0.71367521 0.74468085],0.6380490743783547,[0.93296089 0.34313725],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,5
0,0.6382981608895695,0.5729265809059143,0.5673589630284284,[0.51827957 0.61643836],0.5857340437235765,[0.63254593 0.53892216],0.5794899817850637,[0.43897996 0.72      ],0.23063008785247802,0.7259786128997803,0.7146455654467524,[0.77151335 0.65777778],0.7122054131933725,[0.82278481 0.60162602],0.7258735896593274,[0.72625698 0.7254902 ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,5
0,0.34802282207152424,0.6081982851028442,0.6038421355856515,[0.64538395 0.56230032],0.6072407483475858,[0.61311475 0.60136674],0.6046193078324227,[0.68123862 0.528     ],0.1942894071340561,0.77224200963974,0.7384525887143688,[0.83246073 0.64444444],0.7634204875584186,[0.78325123 0.74358974],0.7284478037024866,[0.88826816 0.56862745],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,6
0,0.8259323484757367,0.5633937120437622,0.5633742656895249,[0.56628788 0.56046065],0.5642444885987321,[0.58974359 0.53874539],0.5643132969034608,[0.54462659 0.584     ],0.38047597706317904,0.6797152757644653,0.6638755980861244,[0.73684211 0.59090909],0.6619267962982218,[0.77300613 0.55084746],0.670582758242962,[0.70391061 0.6372549 ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,6
0,0.4585872537949506,0.5757864713668823,0.5691697561885039,[0.51577802 0.62256149],0.5905206384587828,[0.64054054 0.54050074],0.5828469945355191,[0.43169399 0.734     ],0.20386412739753723,0.7153024673461914,0.708475982985787,[0.75308642 0.66386555],0.7111308316430021,[0.84137931 0.58088235],0.7280370248658122,[0.68156425 0.7745098 ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,6
0,0.25251471908653483,0.58913254737854,0.5613497557497052,[0.45095541 0.6717441 ],0.6462177121771218,[0.75       0.54243542],0.6022021857923497,[0.32240437 0.882     ],0.24510735273361206,0.5444839596748352,0.5444320599858141,[0.54929577 0.53956835],0.5844967532467533,[0.74285714 0.42613636],0.5855241537955964,[0.43575419 0.73529412],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,7
