,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6885368227958679,0.6713167447356376,[0.74654937 0.59608412],0.6690839069157654,[0.79259259 0.54557522],0.6812306170054694,[0.70556193 0.65689931],,0.772745668888092,0.7647832756557106,[0.80806011 0.72150644],0.7617050322556607,[0.84641068 0.67699938],0.7726557125326996,[0.7730342  0.77227723],11,3,5,3,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6965517401695251,0.6788670579874863,[0.75422705 0.60350706],0.6762053828933996,[0.79655612 0.55585464],0.6881328112398762,[0.71616972 0.6600959 ],,0.7833939790725708,0.774642623748923,[0.81905191 0.73023334],0.771447903327098,[0.84778555 0.69511026],0.7806484506153575,[0.79220213 0.76909477],11,3,5,3,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6790307760238647,0.661799241958327,[0.73813869 0.5854598 ],0.6599908040759022,[0.7859456  0.53403601],0.6718282608642525,[0.69581422 0.6478423 ],,0.7802938222885132,0.7717299368747617,[0.81594399 0.72751588],0.768522674643784,[0.84712778 0.68991756],0.7782114443824506,[0.78697452 0.76944837],11,3,5,3,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64
