,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3141835016362807,0.6510962843894958,0.6504530324770388,[0.63545817 0.6654479 ],0.6569467569467569,[0.7010989  0.61279461],0.6545282331511839,[0.58105647 0.728     ],0.20465987920761108,0.6298932433128357,0.5614645858343338,[0.73469388 0.38823529],0.5806752278376139,[0.67605634 0.48529412],0.5639993427538613,[0.80446927 0.32352941],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.001,12,focal,2,False,,Conv1d,,concatenation,64,3
0,0.2957821698749767,0.6120114326477051,0.6078547895405411,[0.64822818 0.5674814 ],0.611109246330111,[0.61677632 0.60544218],0.6085300546448087,[0.68306011 0.534     ],0.20197726488113404,0.7437722086906433,0.6507870753935376,[0.83098592 0.47058824],0.828887830435818,[0.71659919 0.94117647],0.6512761529192683,[0.98882682 0.31372549],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.001,123,focal,2,False,,Conv1d,,concatenation,64,3
0,0.2725653551957187,0.6482364535331726,0.6416703001285828,[0.59316428 0.69017632],0.6730934036171365,[0.75139665 0.59479016],0.6559908925318761,[0.48998179 0.822     ],0.2318619132041931,0.6832740306854248,0.6635726488827906,[0.74498567 0.58215962],0.6616322204557499,[0.76470588 0.55855856],0.6670500602475626,[0.72625698 0.60784314],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,4
0,0.2868228125221589,0.6396568417549133,0.6394520338687151,[0.63085938 0.64804469],0.6431358885017422,[0.68       0.60627178],0.6421712204007286,[0.58834244 0.696     ],0.23647361397743225,0.6832740306854248,0.6208747062836353,[0.77468354 0.46706587],0.6541666666666667,[0.70833333 0.6       ],0.618550772264213,[0.8547486  0.38235294],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,4
0,0.4476311908048742,0.5681601762771606,0.5681209050977868,[0.57223796 0.56400385],0.5688584524718978,[0.59411765 0.54359926],0.5689562841530054,[0.55191257 0.586     ],0.19518292546272278,0.7508896589279175,0.7349056603773584,[0.8        0.66981132],0.7320839978734716,[0.81871345 0.64545455],0.739100668200241,[0.78212291 0.69607843],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,4
0,0.4067858019295861,0.6196377873420715,0.6196031813112958,[0.62322946 0.6159769 ],0.6203754228964313,[0.64705882 0.59369202],0.6205464480874316,[0.6010929 0.64     ],0.21916888058185577,0.6939501762390137,0.6730790043290042,[0.75568182 0.59047619],0.6714301006208521,[0.76878613 0.57407407],0.6754299485157191,[0.74301676 0.60784314],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,5
0,0.3032429823104073,0.6005719900131226,0.5952756949579235,[0.5489774  0.64157399],0.6157953740854378,[0.67105263 0.56053812],0.60724043715847,[0.46448087 0.75      ],0.21057888269424438,0.7188612222671509,0.6912732077046102,[0.78356164 0.59898477],0.6949349179400113,[0.7688172  0.62105263],0.6886570270566328,[0.79888268 0.57843137],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,5
0,0.3610372648519628,0.631077229976654,0.630850439882698,[0.62170088 0.64      ],0.6345734727572923,[0.67088608 0.59826087],0.6336174863387978,[0.57923497 0.688     ],0.2224487692117691,0.6370106935501099,0.6246464117338921,[0.69277108 0.55652174],0.6258169934640523,[0.75163399 0.5       ],0.634954540475408,[0.6424581  0.62745098],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,5
0,0.39298199380145354,0.628217339515686,0.6279329913783696,[0.61764706 0.63821892],0.6319727591298789,[0.66878981 0.59515571],0.6308852459016393,[0.57377049 0.688     ],0.18207830488681792,0.7259786128997803,0.7043519846963175,[0.78431373 0.62439024],0.7039380386167775,[0.78651685 0.62135922],0.7047869427100448,[0.78212291 0.62745098],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3260352190803079,0.6072450280189514,0.6014026000855874,[0.55314534 0.64965986],0.6243674349984929,[0.68364611 0.56508876],0.61424043715847,[0.46448087 0.764     ],0.21068759858608246,0.6227757930755615,0.5785795132993774,[0.71505376 0.44210526],0.5831959491285916,[0.68911917 0.47727273],0.5773907328294446,[0.74301676 0.41176471],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,6
