,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6594594717025757,0.638286858116198,[0.72579919 0.55077453],0.6364951641318808,[0.7615748  0.51141553],0.644965400820165,[0.69323394 0.59669686],,0.8766680359840393,0.8709321231402745,[0.89814093 0.84372331],0.8672387943842395,[0.91848816 0.81598943],0.8760422196185452,[0.87867567 0.87340877],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6780987977981567,0.6583460933935,[0.74049587 0.57619632],0.6560726474939327,[0.77802337 0.53412193],0.6659440938839549,[0.70642202 0.62546617],,0.8693894147872925,0.8632334035682347,[0.89224953 0.83421728],0.8597457057290228,[0.91140391 0.8080875 ],0.8679885188319685,[0.87388369 0.86209335],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6859273314476013,0.6595246638483874,[0.75433737 0.56471196],0.657786248094625,[0.76742806 0.54814443],0.6619989900680864,[0.74168578 0.5823122 ],,0.896481990814209,0.8896737010608131,[0.91708054 0.86226686],0.8920225978559522,[0.90922715 0.87481805],0.8875707560176312,[0.92507079 0.85007072],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.699533998966217,0.6752530571733777,[0.76405152 0.58645459],0.6730319977556234,[0.78050239 0.5655616 ],0.6786151346820273,[0.74827982 0.60895045],,0.8815204501152039,0.8738625937880011,[0.90494214 0.84278304],0.8756608870531434,[0.89862543 0.85269634],0.8722229428033509,[0.91134829 0.8330976 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6648648381233215,0.6365687778292513,[0.73797727 0.53516029],0.6351419264580357,[0.75044458 0.51983928],0.6386646292883921,[0.72591743 0.55141183],,0.8763984441757202,0.8680512971346463,[0.90123856 0.83486404],0.8709964311262084,[0.89135066 0.8506422 ],0.8655044138075942,[0.91134829 0.81966054],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6747437119483948,0.6453720780131615,[0.74743089 0.54331327],0.644350345180999,[0.75475007 0.53395062],0.6466312080569716,[0.74025229 0.55301012],,0.8901469111442566,0.8829303146414607,[0.91199654 0.85386408],0.8852078972848215,[0.90428266 0.86613314],0.88089046831372,[0.91984317 0.84193777],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6971108913421631,0.6690582351597163,[0.76541071 0.57270576],0.6681420919469635,[0.77086362 0.56542056],0.6701077718934665,[0.7600344  0.58018114],,0.8869119882583618,0.8795343353912708,[0.9093463  0.84972237],0.8816049409618563,[0.90222985 0.86098004],0.8776656067448858,[0.91657591 0.8387553 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.658341109752655,0.6250786467711448,[0.7367514  0.51340589],0.6248848540215447,[0.7381295  0.51164021],0.625281122154717,[0.73537844 0.5151838 ],,0.8786898255348206,0.8707298109589742,[0.90280778 0.83865185],0.8729060534667731,[0.89526665 0.85054545],0.8687816501568009,[0.91047702 0.82708628],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6764212250709534,0.6554026254643401,[0.74050822 0.57029703],0.6530863165445313,[0.77357901 0.53259362],0.6619472104373072,[0.71014908 0.61374534],,0.8633239269256592,0.8552809634615918,[0.88939791 0.82116402],0.8549497941010009,[0.89075814 0.81914145],0.8556192131644318,[0.88804182 0.82319661],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.679962694644928,0.6549676270837212,[0.74783375 0.5621015 ],0.6528877492514868,[0.76663656 0.53913894],0.6585191392178618,[0.72993119 0.58710709],,0.8622455596923828,0.8542759309505334,[0.88835482 0.82019704],0.8536284500651017,[0.89108043 0.81617647],0.8549516272690219,[0.88564583 0.82425743],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
