,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.6620689630508423,0.6401533334006653,[0.72895799 0.55134868],0.6382122095625153,[0.76163699 0.51478743],0.646234078145391,[0.69896789 0.59350027],,0.7676236629486084,0.7560343481869374,[0.80920761 0.70286108],0.7540528978934795,[0.82249719 0.68560861],0.7586724549014631,[0.79634067 0.72100424],5,1,True,300,0.1,0.0001,12,focal,2,True,5,64,5
0,,0.6611369848251343,0.6388414185471143,[0.72857569 0.54910714],0.6369068528597552,[0.76012461 0.5136891 ],0.6446560977159531,[0.69954128 0.58977091],,0.7726108431816101,0.7608084882718242,[0.81394066 0.70767631],0.7591232979788456,[0.82439678 0.69384981],0.7629057620576758,[0.80374646 0.72206506],5,1,True,300,0.1,0.0001,123,focal,2,True,5,64,5
0,,0.656477153301239,0.6400535946442341,[0.71694056 0.56316663],0.6396697338621946,[0.77208071 0.50725875],0.6510381281373263,[0.66915138 0.63292488],,0.7583232522010803,0.7485311285729315,[0.79815378 0.69890848],0.7457246746984074,[0.82595527 0.66549408],0.7540093279483844,[0.77216293 0.73585573],5,1,True,400,0.1,0.001,1,focal,2,True,5,64,6
0,,0.659832239151001,0.641601808257036,[0.72243346 0.56077016],0.6403844409121147,[0.76935536 0.51141352],0.6507886236332622,[0.68090596 0.62067128],,0.7548187375068665,0.7441644842549289,[0.796373   0.69195597],0.7415830697046946,[0.81920774 0.6639584 ],0.7485977037663937,[0.77477674 0.72241867],5,1,True,400,0.1,0.001,12,focal,2,True,5,64,6
0,,0.6622553467750549,0.6374623640900612,[0.7322695  0.54265522],0.635537667427034,[0.7554878  0.51558753],0.6415791046125723,[0.71043578 0.57272243],,0.7647930979728699,0.7506313933287704,[0.81005769 0.6912051 ],0.7507171370197621,[0.80961706 0.69181722],0.7505464307049305,[0.8104988  0.69059406],5,1,True,400,0.1,0.001,123,focal,2,True,5,64,6
0,,0.6575955152511597,0.6396263919791492,[0.72009752 0.55915527],0.6385944545034969,[0.76845528 0.50873362],0.6490684401470237,[0.6774656  0.62067128],,0.7637147903442383,0.7541411424363351,[0.80265676 0.70562552],0.7512525441313086,[0.8306151  0.67188999],0.759723570530498,[0.77651928 0.74292786],5,1,True,400,0.1,0.0005,1,focal,2,True,5,64,7
0,,0.6536812782287598,0.6348941342904452,[0.71771498 0.55207329],0.6337981183734545,[0.76341306 0.50418318],0.6435974410170435,[0.6771789  0.61001598],,0.7583232522010803,0.7478502160261571,[0.79923861 0.69646182],0.7452121402154928,[0.82235023 0.66807405],0.7523798561049122,[0.77739055 0.72736917],5,1,True,400,0.1,0.0005,12,focal,2,True,5,64,7
0,,0.6540540456771851,0.6320135335576116,[0.72207248 0.54195459],0.6303134796238246,[0.75579937 0.50482759],0.638101544896453,[0.69122706 0.58497603],,0.7631756067276001,0.7515020475200338,[0.80536169 0.6976424 ],0.74947459257403,[0.81943192 0.67951726],0.7542637307418703,[0.7917665  0.71676096],5,1,True,400,0.1,0.0005,123,focal,2,True,5,64,7
0,,0.6618825793266296,0.6390625315241862,[0.72981829 0.54830677],0.6370904702239605,[0.75945443 0.51472651],0.6444912888026473,[0.70240826 0.58657432],,0.7749022841453552,0.7628728948051382,[0.81628163 0.70946416],0.7614576831381099,[0.8246277  0.69828767],0.7645535265634102,[0.80810281 0.72100424],5,1,True,400,0.1,0.0001,1,focal,2,True,5,64,8
0,,0.6568499803543091,0.630999754360108,[0.72866618 0.53333333],0.6292382911843544,[0.74977252 0.50870406],0.6345922147874072,[0.7087156  0.56046883],,0.772476077079773,0.7593449682572089,[0.81555944 0.7031305 ],0.7588408908154127,[0.81824161 0.69944017],0.7598773829369744,[0.81289479 0.70685997],5,1,True,400,0.1,0.0001,12,focal,2,True,5,64,8
0,,0.6637464761734009,0.6414808367687008,[0.73082662 0.55213505],0.6394738471303343,[0.76197884 0.51696885],0.6472781479571637,[0.70212156 0.59243474],,0.7736891508102417,0.7615797097640647,[0.81531185 0.70784757],0.7601847664725363,[0.82355556 0.69681398],0.7632338746523624,[0.80723154 0.71923621],5,1,True,400,0.1,0.0001,123,focal,2,True,5,64,8
