,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,0.36083873931099386,0.628217339515686,0.6264081265889366,[0.60040984 0.65240642],0.6373035535441313,[0.68618267 0.58842444],0.6328488160291439,[0.53369763 0.732     ],0.2137520730495453,0.7010676264762878,0.6503732669747602,[0.78350515 0.51724138],0.6761363636363636,[0.72727273 0.625     ],0.6451692408807098,[0.84916201 0.44117647],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0005,1,focal,2,False,,Conv1d,,concatenation,64
0,0.6483807493658627,0.6043851375579834,0.6037499192180856,[0.58788481 0.61961503],0.609100111571683,[0.64628821 0.57191201],0.6075810564663024,[0.53916211 0.676     ],0.24366523921489716,0.77224200963974,0.7617382087970324,[0.81176471 0.71171171],0.7577380952380952,[0.85714286 0.65833333],0.7727297622959799,[0.77094972 0.7745098 ],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0005,12,focal,2,False,,Conv1d,,concatenation,64
0,0.8316837444024927,0.58913254737854,0.5891086094532856,[0.58597502 0.59224219],0.5909288289471764,[0.6199187  0.56193896],0.5907777777777778,[0.55555556 0.626     ],0.6397074460983276,0.6975088715553284,0.6708286820743925,[0.76454294 0.57711443],0.672050172050172,[0.75824176 0.58585859],0.6697885858253916,[0.77094972 0.56862745],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0005,123,focal,2,False,,Conv1d,,concatenation,64
