,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,0.35486545282251697,0.6301239132881165,0.6296119685497962,[0.61584158 0.64338235],0.6349292428468134,[0.67462039 0.5952381 ],0.6332422586520947,[0.56648452 0.7       ],0.4502416104078293,0.6120996475219727,0.5505319539217844,[0.71688312 0.38418079],0.5616181229773463,[0.66990291 0.45333333],0.5521415270018621,[0.77094972 0.33333333],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,1,focal,2,False,,Conv1d,,concatenation,64
0,0.29724757899256316,0.6234509348869324,0.621668582573134,[0.59570113 0.64763604],0.6322238024290037,[0.67990654 0.58454106],0.6280273224043715,[0.53005464 0.726     ],0.2167976349592209,0.6370106935501099,0.5901681537405628,[0.7287234 0.4516129],0.5977157360406091,[0.69543147 0.5       ],0.5885639171869865,[0.76536313 0.41176471],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,12,focal,2,False,,Conv1d,,concatenation,64
0,0.4200325064799365,0.5786463022232056,0.5769204096679296,[0.54989817 0.60394265],0.5853172520320327,[0.62355658 0.54707792],0.5829016393442623,[0.49180328 0.674     ],0.25518701076507566,0.6832740306854248,0.6610190167667429,[0.74787535 0.57416268],0.659684176603287,[0.75862069 0.56074766],0.6628327308577062,[0.73743017 0.58823529],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,123,focal,2,False,,Conv1d,,concatenation,64
