,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6959925293922424,0.6816699147899237,[0.74919268 0.61414715],0.680150312268445,[0.8079602  0.55234043],0.6949617655540512,[0.6983945  0.69152904],,0.7673540711402893,0.7593992757849422,[0.80314781 0.71565074],0.7564531510281399,[0.84294949 0.66995682],0.7674846272317433,[0.76693531 0.76803395],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6900279521942139,0.6727722801509503,[0.74791572 0.59762884],0.6704659060061273,[0.79350273 0.54742908],0.6826234737992014,[0.70728211 0.65796484],,0.7708585858345032,0.760386245448929,[0.81047938 0.71029312],0.7578122558623093,[0.8300982  0.68552632],0.7643415242355054,[0.7917665  0.73691655],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6997203826904297,0.6789695799411717,[0.7605885  0.59735066],0.6760944112364473,[0.78957112 0.5626177 ],0.6851562461814431,[0.73365826 0.63665424],,0.7595363259315491,0.7462935130094508,[0.80425719 0.68832984],0.7452757575461453,[0.8103029  0.68024862],0.7474531992826503,[0.79830102 0.69660537],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.705312192440033,0.6832470136401037,[0.76684855 0.59964548],0.6804910849854671,[0.7895536  0.57142857],0.6881033319810551,[0.74541284 0.63079382],,0.7620972990989685,0.748114480003744,[0.80746155 0.68876741],0.7478676847686256,[0.80878497 0.6869504 ],0.7483682560153205,[0.80614245 0.69059406],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7021435499191284,0.6831668246902279,[0.7607068  0.60562685],0.6801880877742947,[0.79623824 0.56413793],0.690956863138035,[0.72821101 0.65370272],,0.7568405270576477,0.744713436269858,[0.80035414 0.68907273],0.7428285107602975,[0.81349831 0.67215871],0.7472439697372357,[0.78762797 0.70685997],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6846225261688232,0.6653655698249734,[0.74564041 0.58509073],0.662922151808941,[0.78381795 0.54202635],0.6732989398464269,[0.71100917 0.63558871],,0.7622321248054504,0.7517426988301981,[0.80277281 0.70071259],0.749117283309574,[0.82471858 0.67351598],0.7560813666860042,[0.78196471 0.73019802],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6917055249214172,0.6760613881175698,[0.74724939 0.60487339],0.674177373877316,[0.80006545 0.5482893 ],0.6877276623589272,[0.70097477 0.67448055],,0.7602102756500244,0.7503837983089744,[0.79991002 0.70085758],0.7475698084508302,[0.82697674 0.66816287],0.7557377342115454,[0.77455892 0.73691655],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.701957106590271,0.6826283398277241,[0.76095081 0.60430586],0.6796484722599974,[0.79506404 0.5642329 ],0.690075311105463,[0.7296445  0.65050613],,0.7661409974098206,0.7540955702370545,[0.80852003 0.69967111],0.7523900719388441,[0.81946309 0.68531706],0.7562523549395734,[0.79786539 0.71463932],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6829450130462646,0.6693464996678742,[0.73640167 0.60229133],0.6690078695896571,[0.80134907 0.53666667],0.6836970228697952,[0.68119266 0.68620139],,0.7494271397590637,0.7405274723662151,[0.78858183 0.69247312],0.7378447242361461,[0.82508329 0.65060615],0.747636087394407,[0.75517316 0.74009901],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6840633749961853,0.6688479637737168,[0.73983116 0.59786477],0.6675449893078066,[0.79616782 0.53892216],0.6811121653722267,[0.69094037 0.67128396],,0.7587276101112366,0.7511454048808746,[0.79458343 0.70770738],0.7485717185031165,[0.83967984 0.65746359],0.7601749949242675,[0.75408408 0.76626591],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6900279521942139,0.6756916664234293,[0.74387802 0.60750531],0.6744997743873206,[0.80366057 0.54533898],0.6890212366747641,[0.69237385 0.68566862],,0.7553578615188599,0.7470312941921962,[0.79292641 0.70113618],0.7443105127271841,[0.83253474 0.65608629],0.7548722794767575,[0.7569157  0.75282885],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6922646760940552,0.6696400109368903,[0.75609396 0.58318606],0.6670838937148159,[0.77994514 0.55422265],0.6745009451691896,[0.73365826 0.61534363],,0.7451139092445374,0.7300965286771918,[0.79376159 0.66643147],0.729897660312878,[0.7948886  0.66490672],0.7303004972215179,[0.79263777 0.66796322],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
