,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.6801491379737854,0.6588342002859076,[0.74410975 0.57355865],0.6564102337717828,[0.77532629 0.53749418],0.6650602507172777,[0.71530963 0.61481087],,0.8723547458648682,0.8639499159828219,[0.8977653  0.83013453],0.8661781875370891,[0.88998288 0.8423735 ],0.8619655731326004,[0.90568504 0.81824611],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6848089694976807,0.660485341019835,[0.75136009 0.56961059],0.6582629919703171,[0.77120435 0.54532164],0.6643377797627485,[0.73251147 0.59616409],,0.870198130607605,0.862382826232439,[0.89517797 0.82958768],0.8625066938954449,[0.89469104 0.83032235],0.8622598731852524,[0.89566543 0.82885431],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6894688010215759,0.6502275806667728,[0.76738341 0.53307175],0.6551738735313632,[0.74795863 0.56238912],0.6472517999149531,[0.78784404 0.50665956],,0.8625151515007019,0.8514715647590714,[0.89197204 0.81097109],0.8600466808076955,[0.86806844 0.85202492],0.8454605083372948,[0.91722936 0.77369165],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64
