,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.704753041267395,0.6712365142968029,[0.77620797 0.56626506],0.6738581348817136,[0.76518106 0.58253521],0.6692182008915262,[0.78755734 0.55087906],,0.7333872318267822,0.7073483206190658,[0.79464286 0.62005378],0.718948190856841,[0.75917477 0.67872161],0.7021544057819293,[0.83358745 0.57072136],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6993476152420044,0.671579956071481,[0.76707581 0.5760841 ],0.6706158391050769,[0.77276695 0.56846473],0.672689192689877,[0.76146789 0.5839105 ],,0.7308262586593628,0.7112878602916117,[0.78639427 0.63618145],0.7143689166717611,[0.77259353 0.65614431],0.7090472349658963,[0.80069702 0.61739745],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.698602020740509,0.6674518068555135,[0.76923077 0.56567284],0.6681325520614452,[0.76584257 0.57042254],0.6668253404319796,[0.77264908 0.5610016 ],,0.732982873916626,0.709773864934364,[0.79184617 0.62770156],0.7173982400416661,[0.76492083 0.66987565],0.7056297805465894,[0.82073622 0.59052334],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.686113715171814,0.6640466150539553,[0.75014837 0.57794486],0.6615187188312962,[0.77736777 0.54566966],0.6695243727791274,[0.72477064 0.6142781 ],,0.729208767414093,0.7132929123668679,[0.78084433 0.64574149],0.7130810569574639,[0.78212413 0.64403799],0.7135113762644273,[0.77956872 0.64745403],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6952469944953918,0.6711602257416245,[0.76015843 0.58216202],0.6688710303748507,[0.77831181 0.55943026],0.6748259807275909,[0.74283257 0.60681939],,0.7344655394554138,0.7179552128757,[0.78619492 0.6497155 ],0.7184537055346518,[0.78347393 0.65343348],0.7174872382685884,[0.78893487 0.6460396 ],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6876048445701599,0.666786783029826,[0.75007456 0.58349901],0.6641754158244133,[0.78154133 0.5468095 ],0.6732548737004688,[0.72104358 0.62546617],,0.7242215871810913,0.7099988246557571,[0.77422203 0.64577562],0.7086221183584123,[0.78461194 0.63263229],0.7117901715335675,[0.76410368 0.65947666],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6920782923698425,0.6688467606317505,[0.75655762 0.5811359 ],0.6663886104170096,[0.77835052 0.55442671],0.6732502914322582,[0.73595183 0.61054875],,0.7251651287078857,0.7088939112820936,[0.77771721 0.64007061],0.7087681764031357,[0.77848101 0.63905534],0.7090220103474081,[0.77695491 0.64108911],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6881640553474426,0.6641714747806786,[0.7539344  0.57440855],0.6618727901477386,[0.77408638 0.5496592 ],0.6681483940066375,[0.73480505 0.60149174],,0.7242215871810913,0.7084218930540238,[0.77629565 0.64054814],0.7079428416805156,[0.77936334 0.63652235],0.7089385958074912,[0.77325201 0.64462518],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6904007196426392,0.6609988083383975,[0.76083513 0.56116248],0.6604251150250244,[0.76424646 0.55660377],0.6616253060955164,[0.75745413 0.56579648],,0.7142472267150879,0.6932043795153433,[0.77355266 0.6128561 ],0.6963230931338062,[0.75896039 0.6336858 ],0.6910346237349565,[0.78871706 0.59335219],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6866728663444519,0.6630693031392405,[0.75224761 0.573891  ],0.6607128923838506,[0.774037   0.54738878],0.6673707067201713,[0.73165138 0.60309004],,0.7339264154434204,0.7174607418931401,[0.78566775 0.64925373],0.7178932128166269,[0.78328643 0.6525    ],0.7170516033306663,[0.7880636 0.6460396],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
