,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6976701021194458,0.6719213114536542,[0.76383227 0.58001036],0.6701336204969222,[0.7760355  0.56423174],0.6743518687100731,[0.75200688 0.59669686],,0.7608842253684998,0.7443077995478815,[0.80941126 0.67920434],0.7468207580907649,[0.79860081 0.69504071],0.7422959778941456,[0.82051841 0.66407355],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.7066169381141663,0.6771431293600632,[0.77469224 0.57959402],0.6773655647744843,[0.77358491 0.58114622],0.6769264161041677,[0.77580275 0.57805008],,0.7665453553199768,0.7487780757144171,[0.81558773 0.68196842],0.7535352801626984,[0.79775047 0.70932009],0.7454443568792888,[0.83424091 0.65664781],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6941286325454712,0.6715721390150684,[0.75764289 0.58550139],0.6689869332394663,[0.78129759 0.55667627],0.6764265670135342,[0.73537844 0.61747469],,0.8396010398864746,0.8318281071324947,[0.86798314 0.79567308],0.8289160209694016,[0.88446756 0.77336449],0.8357044346342715,[0.85210194 0.81930693],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6982292532920837,0.6807898316798728,[0.75540112 0.60617855],0.6781054502481467,[0.79846694 0.55774396],0.6902841861647271,[0.71674312 0.66382525],,0.8494406342506409,0.8434095135967576,[0.87414085 0.81267818],0.8391744736171981,[0.90546218 0.77288676],0.8508516062266835,[0.84491396 0.85678925],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6684063076972961,0.646132702475045,[0.73491283 0.55735258],0.6440007381585378,[0.76512566 0.52287582],0.651846134765119,[0.70699541 0.59669686],,0.8386574983596802,0.8311135986945728,[0.86680761 0.79541959],0.82789894551237,[0.88603276 0.76976513],0.8356210200943548,[0.84839904 0.822843  ],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6671015620231628,0.646029530238631,[0.73239437 0.55966469],0.6439936136383737,[0.76710609 0.52088114],0.6526882029199434,[0.70068807 0.60468833],,0.8160129189491272,0.8052251988703489,[0.85106383 0.75938657],0.8048815687045985,[0.85264539 0.75711775],0.8055785764966017,[0.84948813 0.76166902],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6846225261688232,0.6667331909449443,[0.74394673 0.58951965],0.6645115927131517,[0.78782051 0.54120267],0.6760056856783956,[0.70470183 0.64730954],,0.8274700045585632,0.8189988948173521,[0.85815603 0.77984176],0.8163293882618472,[0.87344913 0.75920965],0.8225079155237924,[0.84338924 0.80162659],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.680894672870636,0.6630391077848705,[0.74060606 0.58547215],0.6609824432889824,[0.78534704 0.53661784],0.6724005097926127,[0.70068807 0.64411295],,0.791346549987793,0.7819641319354266,[0.82719357 0.73673469],0.7790535383780595,[0.84840852 0.70969856],0.7864630140084052,[0.80701372 0.76591231],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6863000988960266,0.6673658791316577,[0.74672686 0.5880049 ],0.6649019116708671,[0.78587266 0.54393116],0.6755733486727307,[0.71129587 0.63985083],,0.7651974558830261,0.7558051713481249,[0.80369619 0.70791415],0.7528722431944994,[0.83259398 0.67315051],0.7616005132112302,[0.77673709 0.74646393],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.68369060754776,0.6650387084932199,[0.74408083 0.58599658],0.6627114588646266,[0.78491887 0.54050405],0.6735664679387858,[0.70728211 0.63985083],,0.7394527792930603,0.727847936115275,[0.78404648 0.6716494 ],0.7255530754488935,[0.80481651 0.64628964],0.7317010604660678,[0.7643215  0.69908062],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6928238868713379,0.6738815469934097,[0.75247822 0.59528487],0.6711924146504459,[0.79022082 0.55216401],0.6819439234235776,[0.71817661 0.64571124],,0.757244884967804,0.7462250276321951,[0.79910764 0.69334241],0.7437835755843418,[0.81893004 0.66863711],0.7500827983660301,[0.78022217 0.71994342],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6917055249214172,0.6649913168227122,[0.75959302 0.57038961],0.6634274528062811,[0.77034198 0.55651292],0.6670579669148016,[0.74913991 0.58497603],,0.8413532972335815,0.8337760021152618,[0.8692658 0.7982862],0.8307127355602114,[0.88689937 0.77452611],0.8379349841042542,[0.85231976 0.82355021],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.7105312347412109,0.6895089062703039,[0.77030025 0.60871756],0.6865191125723589,[0.79560037 0.57743786],0.69506990708382,[0.74655963 0.64358018],,0.8440490365028381,0.8378376187960623,[0.86957502 0.80610022],0.8336678967943241,[0.90116822 0.76616757],0.8452731529648594,[0.84012198 0.85042433],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6723206043243408,0.6510356080451094,[0.73721973 0.56485149],0.6488258754136269,[0.77014366 0.52750809],0.6574401677965522,[0.70699541 0.60788492],,0.8440490365028381,0.8355776825540429,[0.87289904 0.79825632],0.8339752404321191,[0.88054078 0.7874097 ],0.8373973723880774,[0.8653888  0.80940594],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6913326978683472,0.6658711755727671,[0.75810692 0.57363543],0.6639193584811706,[0.77278142 0.5550573 ],0.6687398120903452,[0.74397936 0.59350027],,0.8296266198158264,0.8179755160250219,[0.86402754 0.77192349],0.8208478178641546,[0.85356004 0.78813559],0.8155599387769626,[0.87475496 0.75636492],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6881640553474426,0.6645302046697104,[0.75357195 0.57548845],0.6621676482813523,[0.77491669 0.5494186 ],0.6687635635139032,[0.73337156 0.60415557],,0.8220784664154053,0.811249870672621,[0.85645933 0.76604041],0.8115517109658779,[0.85515744 0.76794598],0.8109547321692372,[0.85776519 0.76414427],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6924510598182678,0.665571505985844,[0.76038339 0.57075963],0.6640776460808759,[0.77045321 0.55770208],0.6675083275087612,[0.75057339 0.58444326],,0.7901334166526794,0.7767577138127236,[0.83140227 0.72211315],0.7778335312056242,[0.82665805 0.72900901],0.7757738989973926,[0.83620126 0.71534653],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6840633749961853,0.6564112294747586,[0.75388413 0.55893833],0.6550204611074348,[0.76375405 0.54628688],0.6582278597019449,[0.74426606 0.57218966],,0.7863593697547913,0.7724864403999145,[0.82866717 0.71630571],0.7738974826047256,[0.82253219 0.72526278],0.7712307719087557,[0.83489436 0.70756719],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,9
