,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.5274258606574115,0.5815061926841736,0.5736944763047368,[0.51598677 0.63140218],0.5988851070022395,[0.65363128 0.54413893],0.5891147540983607,[0.42622951 0.752     ],0.29847519397735595,0.6192170977592468,0.573499581542477,[0.71313673 0.43386243],0.5784156890626851,[0.68556701 0.47126437],0.5724887720451309,[0.74301676 0.40196078],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,3
0,0.5739464163780212,0.5586272478103638,0.5412789187606549,[0.45207101 0.63048683],0.5849193316822798,[0.64527027 0.52456839],0.568952641165756,[0.34790528 0.79      ],0.22826378643512726,0.7295373678207397,0.7230521838364976,[0.7654321  0.68067227],0.7253803245436106,[0.85517241 0.59558824],0.7434275386132106,[0.69273743 0.79411765],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,3
0,0.28727852333994475,0.6301239132881165,0.6279053609303006,[0.59917355 0.65663717],0.6405064969504111,[0.69212411 0.58888889],0.6351165755919854,[0.52823315 0.742     ],0.2441311150789261,0.5693950057029724,0.4845599939361783,[0.69367089 0.2754491 ],0.4940527065527066,[0.63425926 0.35384615],0.49542666228502574,[0.76536313 0.2254902 ],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,4
0,0.24687536937348983,0.605338454246521,0.5969877505567929,[0.5389755 0.655    ],0.6274191567744576,[0.69340974 0.56142857],0.6134007285974499,[0.44080146 0.786     ],0.23873477280139924,0.5978647470474243,0.5495836702271019,[0.69705094 0.4021164 ],0.5534423509894537,[0.67010309 0.43678161],0.5494030014240333,[0.72625698 0.37254902],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,4
0,0.3960043384748347,0.6196377873420715,0.617630695443645,[0.64533333 0.58992806],0.6184868305144469,[0.63020833 0.60676533],0.6176010928961748,[0.66120219 0.574     ],0.20090131759643554,0.7473309636116028,0.7089866826144668,[0.81462141 0.60335196],0.7330022918258212,[0.76470588 0.7012987 ],0.7004600722970753,[0.87150838 0.52941176],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,4
0,0.29955771653091207,0.6301239132881165,0.6205058777897123,[0.5600907  0.68092105],0.6599770161222676,[0.74174174 0.57821229],0.6389544626593806,[0.44990893 0.828     ],0.22606141865253448,0.6370106935501099,0.5944821731748726,[0.72580645 0.46315789],0.5997409326424871,[0.69948187 0.5       ],0.5927812465768431,[0.75418994 0.43137255],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,5
0,0.4476449437001172,0.6367969512939453,0.6305877133389716,[0.58269441 0.67848101],0.658815272318922,[0.73076923 0.58686131],0.6442586520947177,[0.4845173 0.804    ],0.1927885442972183,0.708185076713562,0.6817403314917128,[0.77348066 0.59      ],0.683534069365451,[0.76502732 0.60204082],0.6802771387884763,[0.78212291 0.57843137],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,5
0,0.32485604461501627,0.5719733238220215,0.5715746281757759,[0.55850541 0.58464385],0.5753637259661356,[0.60683761 0.54388985],0.5746520947176685,[0.51730419 0.632     ],0.17875115275382997,0.8078292012214661,0.781832298136646,[0.85714286 0.70652174],0.8033766392940311,[0.81407035 0.79268293],0.7711414174608391,[0.90502793 0.6372549 ],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,5
0,0.32216962470727806,0.6167778968811035,0.6002983795752167,[0.51913876 0.681458  ],0.6602010114589335,[0.75609756 0.56430446],0.627632058287796,[0.39526412 0.86      ],0.2146188348531723,0.6654804348945618,0.6521544458491362,[0.7202381 0.5840708],0.6514793507294021,[0.77070064 0.53225806],0.6615182385803484,[0.67597765 0.64705882],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,6
0,0.5231142938137054,0.5681601762771606,0.5681601525262154,[0.56816015 0.56816015],0.5694025500910747,[0.596     0.5428051],0.5694025500910747,[0.5428051 0.596    ],0.17019449770450593,0.7651245594024658,0.7389358108108108,[0.82162162 0.65625   ],0.7479057591623036,[0.79581152 0.7       ],0.7334045349983569,[0.84916201 0.61764706],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,6
0,0.6088756726068609,0.5586272478103638,0.5584330454025168,[0.56769374 0.54917235],0.5587399216267894,[0.58237548 0.53510436],0.5588670309653916,[0.55373406 0.564     ],0.1859605371952057,0.7330960631370544,0.7143418680618621,[0.78753541 0.64114833],0.7125093995058545,[0.79885057 0.62616822],0.7166995289736007,[0.77653631 0.65686275],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,6
0,0.2826140522956848,0.602478563785553,0.5970279599490381,[0.55016181 0.64389411],0.6182255813403355,[0.67460317 0.56184799],0.60924043715847,[0.46448087 0.754     ],0.24570683538913726,0.6156583428382874,0.5586387434554975,[0.71727749 0.4       ],0.5682076544145509,[0.67487685 0.46153846],0.5591521524811042,[0.76536313 0.35294118],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,7
