,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size
0,,0.687045693397522,0.6617927587406942,[0.75420875 0.56937676],0.6597633923935128,[0.77056536 0.54896142],0.6649506581359088,[0.73853211 0.59136921],,0.7379700541496277,0.7195573752385871,[0.79141631 0.64769844],0.7220905808579665,[0.77986889 0.66431227],0.7176030789592946,[0.80331083 0.63189533],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64
0,,0.6937558054924011,0.6650738601335762,[0.7630858  0.56706192],0.664312531820298,[0.76762402 0.56100104],0.6659280559452181,[0.75860092 0.57325519],,0.7360830307006836,0.7170324896774065,[0.79045377 0.64361121],0.7200743747897841,[0.77698296 0.66316579],0.7147883581338188,[0.80439991 0.6251768 ],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64
0,,0.7012115716934204,0.6755802644979976,[0.76676851 0.58439201],0.6738130940125031,[0.77843427 0.56919192],0.6779367298734561,[0.75544725 0.60042621],,0.7383744716644287,0.7189589598451074,[0.79282741 0.64509051],0.7226207489869398,[0.77731268 0.66792881],0.7163682279794087,[0.80897408 0.62376238],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64
