,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.535547335358227,0.5948522686958313,0.5942622913521193,[0.57879088 0.6097337 ],0.5992249206466376,[0.63478261 0.56366723],0.5979380692167577,[0.53187614 0.664     ],0.2844828188419342,0.6441280841827393,0.6135863586358636,[0.72222222 0.5049505 ],0.6141160220994475,[0.71823204 0.51      ],0.6131284916201117,[0.72625698 0.5       ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.8298691546215731,0.5595805644989014,0.5585370741482967,[0.58       0.53707415],0.5585499894314099,[0.57894737 0.53815261],0.558528233151184,[0.58105647 0.536     ],0.35324602723121645,0.7153024673461914,0.6970350404312669,[0.77142857 0.62264151],0.6947368421052631,[0.78947368 0.6       ],0.700624383831745,[0.75418994 0.64705882],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.28661032108699575,0.5938989520072937,0.5889589174153955,[0.54389722 0.63402062],0.6077315756532624,[0.65974026 0.55572289],0.6003296903460837,[0.46265938 0.738     ],0.22390234768390654,0.6192170977592468,0.5639999419962007,[0.7191601  0.40883978],0.5732861260809625,[0.67821782 0.46835443],0.5640541132654179,[0.76536313 0.3627451 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.36941656996222105,0.6158245801925659,0.6158190088014649,[0.61435407 0.61728395],0.6174404275797702,[0.64717742 0.58770344],0.6173497267759562,[0.58469945 0.65      ],0.21852897405624389,0.6690391302108765,0.5981825729969095,[0.76691729 0.42944785],0.634612518628912,[0.69545455 0.57377049],0.5989429291269581,[0.8547486  0.34313725],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.28454991736832785,0.5900858044624329,0.5886019379222788,[0.56389452 0.61330935],0.5966725744454914,[0.63615561 0.55718954],0.5941876138433515,[0.50637523 0.682     ],0.22953494489192963,0.5978647470474243,0.5117702231037717,[0.71679198 0.30674847],0.5299180327868853,[0.65       0.40983607],0.521990360389966,[0.79888268 0.24509804],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.45987388842246113,0.5967588424682617,0.5848040220189255,[0.51435132 0.65525672],0.624304766461336,[0.69565217 0.55295736],0.6060072859744992,[0.40801457 0.804     ],0.2240694671869278,0.6405693888664246,0.6182116577209196,[0.71060172 0.5258216 ],0.6169581346051933,[0.72941176 0.5045045 ],0.6208785190053676,[0.69273743 0.54901961],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.4151783042094287,0.586272656917572,0.5836662057663747,[0.61660777 0.55072464],0.5847216189754048,[0.59862779 0.57081545],0.5838506375227687,[0.63570128 0.532     ],0.21271797120571137,0.6975088715553284,0.664616594352472,[0.7696477  0.55958549],0.6703875072296125,[0.74736842 0.59340659],0.6613539270456786,[0.79329609 0.52941176],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.39192433567608104,0.6177311539649963,0.6158193483571934,[0.64292075 0.58871795],0.6165651934714835,[0.62891986 0.60421053],0.6157795992714026,[0.6575592 0.574    ],0.22839360535144806,0.6832740306854248,0.5661549136958973,[0.79156909 0.34074074],0.6892106549364614,[0.68145161 0.6969697 ],0.584812137145361,[0.94413408 0.2254902 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.3442879003636977,0.5872259140014648,0.579520975489638,[0.52260198 0.63643997],0.6052458181406593,[0.66201117 0.54848046],0.5948469945355191,[0.43169399 0.758     ],0.22179327607154847,0.6512455344200134,0.6457497169908408,[0.68987342 0.60162602],0.6547546634225466,[0.79562044 0.51388889],0.6672143717822324,[0.60893855 0.7254902 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3268514976781957,0.5805529356002808,0.5614381817490783,[0.46987952 0.65299685],0.6165063389679715,[0.69395018 0.5390625 ],0.5915956284153006,[0.35519126 0.828     ],0.2221064507961273,0.6120996475219727,0.6117849854874076,[0.62283737 0.6007326 ],0.6488569909622541,[0.81818182 0.47953216],0.6533574323584183,[0.5027933  0.80392157],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3597422382410835,0.6091516017913818,0.6063177357937903,[0.57291667 0.6397188 ],0.6198163360257496,[0.66909976 0.57053292],0.614455373406193,[0.50091075 0.728     ],0.22182411849498748,0.6797152757644653,0.6659710481825867,[0.73372781 0.59821429],0.6645272708526653,[0.77987421 0.54918033],0.6748000876328185,[0.69273743 0.65686275],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.33056460408603444,0.5872259140014648,0.5807876504036453,[0.52883569 0.63273961],0.6030470087171118,[0.65675676 0.54933726],0.5943114754098361,[0.44262295 0.746     ],0.23170404732227326,0.626334547996521,0.5896669216327098,[0.71232877 0.46700508],0.5915676287492926,[0.69892473 0.48421053],0.5886186876985431,[0.72625698 0.45098039],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.36497867195045247,0.6215443015098572,0.6213116915592536,[0.61192571 0.63069767],0.6249513850669601,[0.66033755 0.58956522],0.6240637522768671,[0.5701275 0.678    ],0.21151531338691712,0.6832740306854248,0.6066839663442636,[0.78024691 0.43312102],0.6586484312148029,[0.69911504 0.61818182],0.6080074487895717,[0.88268156 0.33333333],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.30697957820752086,0.583412766456604,0.5823865784456002,[0.56168506 0.6030881 ],0.5887063227953411,[0.625      0.55241265],0.5870091074681238,[0.51001821 0.664     ],0.23568954765796662,0.5907473564147949,0.5066788794748492,[0.71032746 0.3030303 ],0.5218071938255424,[0.64678899 0.3968254 ],0.516403768211195,[0.7877095  0.24509804],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.4158820141764248,0.564346969127655,0.5639412139784623,[0.57724329 0.55063913],0.5640261194572505,[0.58646617 0.54158607],0.5641530054644809,[0.56830601 0.56      ],0.2254304587841034,0.6797152757644653,0.6578733766233766,[0.74431818 0.57142857],0.6563904945407836,[0.75722543 0.55555556],0.6600394347683207,[0.73184358 0.58823529],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.43471989210914164,0.5967588424682617,0.5945169452727135,[0.62466726 0.56436663],0.5953687582189113,[0.60899654 0.58174098],0.5945828779599271,[0.64116576 0.548     ],0.2014990746974945,0.7188612222671509,0.6882907171040622,[0.78590786 0.59067358],0.6947657605552342,[0.76315789 0.62637363],0.6844396976667761,[0.81005587 0.55882353],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.3858967107885024,0.6005719900131226,0.5989845307446318,[0.62421525 0.57375381],0.5993459605381559,[0.61484099 0.58385093],0.5989398907103824,[0.63387978 0.564     ],0.25914407074451445,0.690391480922699,0.6293943758053513,[0.77974684 0.47904192],0.6641737891737891,[0.71296296 0.61538462],0.6262460291379122,[0.8603352  0.39215686],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.39298945840667276,0.6053383946418762,0.601189033125427,[0.56050955 0.64186851],0.6186522528393223,[0.67175573 0.56554878],0.6114371584699454,[0.48087432 0.742     ],0.20791237354278563,0.626334547996521,0.5951397560272789,[0.70752089 0.48275862],0.5953520352035204,[0.70555556 0.48514851],0.5949446817833278,[0.70949721 0.48039216],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.35959601226974935,0.6101048588752747,0.6095925500269801,[0.59545005 0.62373505],0.6145139641732487,[0.65151515 0.57751278],0.6131347905282332,[0.54826958 0.678     ],0.2708869695663452,0.5871886014938354,0.5753074838440693,[0.64634146 0.5042735 ],0.5791895464714256,[0.7114094 0.4469697],0.5853050717493702,[0.59217877 0.57843137],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.34275126457214355,0.602478563785553,0.6002684779638807,[0.62999113 0.57054583],0.60114862730405,[0.61418685 0.5881104 ],0.6003151183970856,[0.64663024 0.554     ],0.23342543840408325,0.6690391302108765,0.5597614595441451,[0.77909739 0.34042553],0.6465352828989193,[0.67768595 0.61538462],0.5757476174827473,[0.91620112 0.23529412],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.30133335730608773,0.5891324877738953,0.5878726059376302,[0.56508577 0.61065944],0.5951605328482933,[0.63348416 0.5568369 ],0.5930091074681239,[0.51001821 0.676     ],0.23565400540828704,0.6227757930755615,0.5740963166323496,[0.71808511 0.43010753],0.5807348320038674,[0.68527919 0.47619048],0.5731734034395881,[0.75418994 0.39215686],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,10
0,0.36584338195183697,0.6148713231086731,0.614615994587477,[0.60469667 0.62453532],0.6183051444679352,[0.65327696 0.58333333],0.6174207650273225,[0.56284153 0.672     ],0.21369070410728455,0.6619216799736023,0.6151073431665153,[0.74934037 0.48087432],0.6266049382716049,[0.71       0.54320988],0.6123343192025414,[0.79329609 0.43137255],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,10
0,0.37945230743464303,0.6062917113304138,0.6028252736301989,[0.63993025 0.56572029],0.6050823513707926,[0.61371237 0.59645233],0.6032440801457195,[0.66848816 0.538     ],0.24063401520252228,0.6441280841827393,0.510043241735249,[0.76635514 0.25373134],0.5949422690763052,[0.65863454 0.53125   ],0.5414338919925512,[0.91620112 0.16666667],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,10
0,0.4195340608849245,0.602478563785553,0.6014223429021809,[0.58090452 0.62194016],0.6084023083387249,[0.64798206 0.56882255],0.6062058287795993,[0.52641166 0.686     ],0.23416959047317504,0.6654804348945618,0.6558526162184699,[0.71341463 0.5982906 ],0.6577689648159446,[0.7852349  0.53030303],0.6699528973600614,[0.65363128 0.68627451],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,11
0,0.35239988740752726,0.599618673324585,0.5986700674075424,[0.57915832 0.61818182],0.6051596139569413,[0.64365256 0.56666667],0.6032058287795993,[0.52641166 0.68      ],0.20429487526416779,0.6441280841827393,0.5863754121526142,[0.74093264 0.43181818],0.6021673847760804,[0.69082126 0.51351351],0.5857158505860445,[0.79888268 0.37254902],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,11
0,0.263482746832511,0.6139180064201355,0.6078960702389753,[0.65648855 0.55930359],0.6138254347084896,[0.61428571 0.61336516],0.6094590163934426,[0.70491803 0.514     ],0.21547861397266388,0.6548042893409729,0.4829561621488324,[0.78103837 0.18487395],0.651180926916221,[0.65530303 0.64705882],0.5371617920911381,[0.96648045 0.10784314],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,11
0,0.40491384618422566,0.5977120995521545,0.5861956147829077,[0.51716247 0.65522876],0.6246260093497662,[0.69538462 0.5538674 ],0.6068287795992714,[0.41165756 0.802     ],0.21742228269577027,0.6512455344200134,0.632787497333049,[0.71511628 0.55045872],0.6313479623824452,[0.74545455 0.51724138],0.637693066053237,[0.68715084 0.58823529],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,12
0,0.3198782880516613,0.628217339515686,0.628068293392487,[0.63551402 0.62062257],0.6283789187460013,[0.65259117 0.60416667],0.6286539162112932,[0.61930783 0.638     ],0.21459617614746093,0.6441280841827393,0.6320062860136197,[0.69879518 0.56521739],0.6329912173202614,[0.75816993 0.5078125 ],0.6426497973491072,[0.64804469 0.6372549 ],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,12
0,0.40357374969650717,0.6339370608329773,0.6321556938721837,[0.65775401 0.60655738],0.6329138985437106,[0.64397906 0.62184874],0.6320655737704918,[0.67213115 0.592     ],0.21813357770442962,0.6583629846572876,0.5247357293868922,[0.77674419 0.27272727],0.6326693227091633,[0.66533865 0.6       ],0.5547157410450213,[0.93296089 0.17647059],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,12
0,0.30364353253560905,0.6263107657432556,0.6262533720160839,[0.63088512 0.62162162],0.6268838555759215,[0.65302144 0.60074627],0.6271001821493625,[0.61020036 0.644     ],0.2161194622516632,0.6654804348945618,0.5761553273427471,[0.77073171 0.38157895],0.631991341991342,[0.68398268 0.58      ],0.583497644868003,[0.88268156 0.28431373],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,13
0,0.43977025677176085,0.6253575086593628,0.6243620641739978,[0.60502513 0.643699  ],0.6318054718931501,[0.67488789 0.58872305],0.6291347905282332,[0.54826958 0.71      ],0.20931766629219056,0.7508896589279175,0.6843709884467266,[0.82926829 0.53947368],0.777965367965368,[0.73593074 0.82      ],0.6758407273523934,[0.94972067 0.40196078],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,13
0,0.36807065150317025,0.6148713231086731,0.6148121487104538,[0.61003861 0.61958569],0.6171399446096735,[0.64887064 0.58540925],0.6167959927140255,[0.57559199 0.658     ],0.1899299442768097,0.708185076713562,0.6668305378831694,[0.78421053 0.54945055],0.6831467661691542,[0.74129353 0.625     ],0.661299156534122,[0.83240223 0.49019608],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,13
0,0.4129382161533131,0.5805529356002808,0.5652190295330033,[0.48356808 0.64686998],0.6100412320052381,[0.67986799 0.54021448],0.5906138433515483,[0.37522769 0.806     ],0.23191461861133575,0.6441280841827393,0.6226769792673756,[0.71264368 0.53271028],0.6213281910397295,[0.73372781 0.50892857],0.6257804797896813,[0.69273743 0.55882353],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,14
0,0.3098183125257492,0.6263107657432556,0.6252806695243928,[0.6056338  0.64492754],0.6329042339459781,[0.67640449 0.58940397],0.6301347905282331,[0.54826958 0.712     ],0.20756325125694275,0.6654804348945618,0.6223118279569894,[0.75       0.49462366],0.6316775441140924,[0.71573604 0.54761905],0.6193449446817834,[0.7877095  0.45098039],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,14
0,0.4232073811923756,0.602478563785553,0.6024265239848507,[0.5978785  0.60697455],0.604610473101312,[0.6352459  0.57397504],0.6043315118397086,[0.56466302 0.644     ],0.30122064650058744,0.7117437720298767,0.6617828432173797,[0.79177378 0.53179191],0.6906103286384977,[0.73333333 0.64788732],0.6556577938437945,[0.8603352  0.45098039],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,14
0,0.4157947319395402,0.5977120995521545,0.5917279059129075,[0.54229935 0.64115646],0.6139667972777892,[0.67024129 0.55769231],0.6046867030965392,[0.45537341 0.754     ],0.21861794888973235,0.6227757930755615,0.5885911602209944,[0.70718232 0.47      ],0.5895226943236311,[0.69945355 0.47959184],0.5879340563040859,[0.7150838  0.46078431],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,15
0,0.44510383641018586,0.6043851375579834,0.6042412688715738,[0.61178672 0.59669582],0.6045932092482187,[0.62884615 0.58034026],0.6048142076502732,[0.59562842 0.614     ],0.4714592158794403,0.6120996475219727,0.574035185313956,[0.70136986 0.44670051],0.5756649688737974,[0.68817204 0.46315789],0.5732281739511447,[0.7150838  0.43137255],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,15
0,0.2827400389839621,0.5738798975944519,0.5674394405253792,[0.6202209  0.51465798],0.572077779626912,[0.58121019 0.56294537],0.5694225865209472,[0.66484517 0.474     ],0.2121819704771042,0.6690391302108765,0.6165089148139996,[0.75844156 0.47457627],0.634368932038835,[0.70873786 0.56      ],0.6137035819914558,[0.81564246 0.41176471],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,15
0,0.27587081754908843,0.6053383946418762,0.6026049749641298,[0.56964657 0.63556338],0.6155241597758387,[0.66343826 0.56761006],0.6105446265938069,[0.49908925 0.722     ],0.22152694463729858,0.6192170977592468,0.5664893233559698,[0.7176781  0.41530055],0.5745679012345679,[0.68      0.4691358],0.5661627779603462,[0.75977654 0.37254902],35,3,5,11,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(10,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,16
