,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6779124140739441,0.6477885880511814,[0.75079319 0.54478398],0.6470954232607486,[0.75536854 0.5388223 ],0.6485759990566637,[0.74627294 0.55087906],,0.8858336806297302,0.8795697600497766,[0.90703545 0.85210407],0.8779144166282544,[0.91415929 0.84166954],0.8814111737588795,[0.90002178 0.86280057],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.680335521697998,0.6408946925605675,[0.7599048  0.52188458],0.6449564403484772,[0.74254446 0.54736842],0.6383822088243488,[0.77809633 0.49866809],,0.8630543351173401,0.8541513130612338,[0.89018591 0.81811672],0.8560001534028916,[0.88350139 0.82849891],0.8524819253092499,[0.89697234 0.80799151],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.659273087978363,0.6301702227149655,[0.73391557 0.52642487],0.6288859653596075,[0.74541691 0.51235502],0.6320265264451863,[0.72276376 0.54128929],,0.8850249648094177,0.8775589486820992,[0.90779375 0.84732415],0.8794962487185909,[0.90107296 0.85791954],0.8758014111614354,[0.91461555 0.83698727],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6652376651763916,0.6386609265662149,[0.73665689 0.54066496],0.6369114295988931,[0.75390156 0.5199213 ],0.6416580723680674,[0.72018349 0.56313266],,0.8909556269645691,0.8850471009426355,[0.91110867 0.85898553],0.8831584676045516,[0.91929047 0.84702647],0.8871791775126108,[0.90307123 0.87128713],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7041938304901123,0.675945792995394,[0.77162182 0.58026977],0.6753935357731651,[0.77463161 0.57615546],0.6765392908115135,[0.76863532 0.58444326],,0.8871815800666809,0.8809606874475284,[0.90817334 0.85374803],0.8793835296381303,[0.91489832 0.84386874],0.8827039450841185,[0.9015465  0.86386139],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6581547260284424,0.6314165093350115,[0.73069016 0.53214286],0.6297350787096098,[0.74894642 0.51052374],0.6344883500413014,[0.71330275 0.55567395],,0.8873163461685181,0.8803760794590484,[0.90918966 0.8515625 ],0.8810162080791564,[0.90682557 0.85520685],0.8797575941120888,[0.91156611 0.84794908],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6639329195022583,0.636654762497265,[0.73621068 0.53709884],0.6350264707563213,[0.75171796 0.51833499],0.6393012590851104,[0.72133028 0.55727224],,0.8875859379768372,0.8810505476624764,[0.90893208 0.85316901],0.8804497921088263,[0.91132034 0.84957924],0.8816727780846666,[0.90655631 0.85678925],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6577818989753723,0.6327373497152767,[0.72864322 0.53683148],0.6309028142196398,[0.75198292 0.50982271],0.6367853647241108,[0.70670872 0.56686201],,0.8737026453018188,0.8664934682827539,[0.89751723 0.83546971],0.8655746363534382,[0.90136204 0.82978723],0.867467813386809,[0.89370508 0.84123055],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6788443326950073,0.6485979167519618,[0.75169333 0.54550251],0.6479764319520912,[0.75572298 0.54022989],0.6492927421759298,[0.74770642 0.55087906],,0.8794986009597778,0.8713701146101176,[0.9037053  0.83903493],0.8743083586034304,[0.89388451 0.85473221],0.8688240506223819,[0.91374428 0.82390382],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6697111129760742,0.6431771428708695,[0.74048037 0.54587391],0.641406076735418,[0.75688623 0.52592593],0.6460827105521694,[0.72477064 0.56739478],,0.8765332102775574,0.870859989340131,[0.89792735 0.84379263],0.8670607061598937,[0.9192334  0.81488801],0.8762048895246434,[0.87758658 0.8748232 ],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
