,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6956197619438171,0.6662301508250237,[0.76527239 0.56718791],0.6658570545871633,[0.76736812 0.56434599],0.6666233387750314,[0.76318807 0.5700586 ],,0.7142472267150879,0.6939406464026601,[0.77277599 0.6151053 ],0.6963992812892701,[0.76070901 0.63208955],0.6921209382972713,[0.78523198 0.5990099 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.68369060754776,0.6580161574918795,[0.75171909 0.56431322],0.6560758225270444,[0.76755303 0.54459861],0.6610170099905667,[0.73652523 0.58550879],,0.7220649719238281,0.7037006979952335,[0.777466   0.62993539],0.7050292714488393,[0.77048128 0.63957726],0.7025792191659656,[0.78457852 0.62057992],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6872320771217346,0.6623277181087018,[0.75403108 0.57062436],0.6602181779301451,[0.77144571 0.54899065],0.6657091762670277,[0.73738532 0.59403303],,0.8400053977966309,0.8306471391119523,[0.87045727 0.790837  ],0.830232035010376,[0.87226597 0.7881981 ],0.831074850647152,[0.86865607 0.79349364],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6920782923698425,0.6512834435001573,[0.77055556 0.53201133],0.657682055353902,[0.74730603 0.56805808],0.6477822738314605,[0.79529817 0.50026638],,0.7856854200363159,0.7704896056756312,[0.82954545 0.71143376],0.7737797877530357,[0.81676166 0.73079791],0.7679025471704217,[0.84273579 0.69306931],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6810810565948486,0.6601312651289841,[0.74451247 0.57575006],0.6576873745050302,[0.77687753 0.53849722],0.6666382311467156,[0.71473624 0.61854022],,0.8168216943740845,0.8080727161211901,[0.84905032 0.76709512],0.8052685920823609,[0.8662738  0.74426339],0.811935180355637,[0.83249837 0.79137199],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7084808945655823,0.684009776842633,[0.77194517 0.59607438],0.6819530279705197,[0.78545994 0.57844612],0.6868492415429658,[0.75888761 0.61481087],,0.8474187850952148,0.8374992976233431,[0.87764808 0.79735052],0.8392634467513826,[0.87105771 0.80746918],0.8359106218211204,[0.88433892 0.78748232],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.680335521697998,0.6611689045377898,[0.74175576 0.58058205],0.6588896220425566,[0.7811608  0.53661844],0.6692637180890841,[0.70613532 0.63239212],,0.8501145839691162,0.8431716929468847,[0.87616927 0.81017412],0.8397500276343424,[0.89633174 0.78316832],0.8480014168918526,[0.85689392 0.83910891],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6710158586502075,0.6504275819927932,[0.73526324 0.56559193],0.6483073676261214,[0.77099717 0.52561757],0.6574209986412047,[0.70269495 0.61214704],,0.8363660573959351,0.826736774795239,[0.8675829  0.78589065],0.8264323637586396,[0.86890977 0.78395496],0.8270480002538636,[0.86626007 0.78783593],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.705685019493103,0.6701915954935884,[0.77838596 0.56199723],0.6743342122883125,[0.76244157 0.58622685],0.6673512320802765,[0.79501147 0.539691  ],,0.7112818360328674,0.6853724451047458,[0.77565982 0.59508507],0.6931710189350593,[0.74702441 0.63931763],0.6815775869213395,[0.80657809 0.55657709],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7045666575431824,0.6735378803401124,[0.77418436 0.5728914 ],0.6745389102348509,[0.7694704  0.57960742],0.6726428354098136,[0.77895642 0.56632925],,0.7112818360328674,0.6880407144462364,[0.77318933 0.6028921 ],0.692994618558817,[0.75231815 0.63367108],0.6851081092488625,[0.79525158 0.57496464],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6706430315971375,0.6545490548318886,[0.72911237 0.57998574],0.6535653428173456,[0.78352554 0.52360515],0.6658697083966705,[0.68176606 0.64997336],,0.6936244964599609,0.6846730910252894,[0.73780136 0.63154482],0.6836334547265175,[0.78420795 0.58305896],0.6927031455985004,[0.69658027 0.68882603],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7010251879692078,0.6773599715896991,[0.76474039 0.58997955],0.674979524979525,[0.78288288 0.56707617],0.6811152965888374,[0.74741972 0.61481087],,0.7476748824119568,0.7336052247592653,[0.79482683 0.67238362],0.7327694619223408,[0.79991176 0.66562717],0.734542392301277,[0.78980614 0.67927864],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6885368227958679,0.6648598459746295,[0.75393904 0.57578065],0.6625022427661066,[0.77505298 0.5499515 ],0.6690502607616097,[0.73394495 0.60415557],,0.7413398027420044,0.7278456831037395,[0.7884467  0.66724467],0.7264293612987898,[0.79821429 0.65464444],0.7296273657611272,[0.77891527 0.68033946],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6756756901741028,0.6525181462869906,[0.74222222 0.56281407],0.6502531492046777,[0.76793378 0.53257252],0.6574367310953944,[0.71817661 0.59669686],,0.7414745688438416,0.7283116605993807,[0.78811312 0.6685102 ],0.7267083258876911,[0.7995965  0.65382015],0.7304152210970545,[0.77695491 0.68387553],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6928238868713379,0.6652803680858963,[0.7612978  0.56926294],0.6640344595138563,[0.76932084 0.55874808],0.6668107535448426,[0.75344037 0.58018114],,0.810082197189331,0.7971388530708077,[0.8483805 0.7458972],0.7997501278635846,[0.83836665 0.7611336 ],0.7949476514070177,[0.85863646 0.73125884],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6825722455978394,0.6659138516823575,[0.74051501 0.59131269],0.6641175844072851,[0.7902439  0.53799127],0.6765204271407135,[0.69667431 0.65636654],,0.8358269333839417,0.8300397988240914,[0.86140191 0.79867769],0.8258397303385543,[0.90183464 0.74984482],0.8393765614231399,[0.82443912 0.854314  ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6779124140739441,0.6558285712418879,[0.74301011 0.56864703],0.6534668109647165,[0.77194067 0.53499295],0.6614945587092422,[0.71616972 0.60681939],,0.8476883769035339,0.8394870137091046,[0.87576957 0.80320446],0.8377404195902212,[0.88412875 0.79135209],0.8414921174415104,[0.86756698 0.81541726],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,8
