,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.33810714413138,0.5967588424682617,0.5924387616109309,[0.55047821 0.63439931],0.6096569906501413,[0.66071429 0.5585997 ],0.6028834244080146,[0.47176685 0.734     ],0.22207625210285187,0.6334519386291504,0.6011218147489699,[0.71468144 0.48756219],0.6018703518703519,[0.70879121 0.49494949],0.6005312739620988,[0.72067039 0.48039216],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,False,,Conv1d,,concatenation,64,3
0,0.2973354634116678,0.6224976181983948,0.6207602979842244,[0.64642857 0.59509202],0.6213810462449347,[0.63397548 0.60878661],0.6206903460837887,[0.65938069 0.582     ],0.2198111206293106,0.6583629846572876,0.5867140580953548,[0.75879397 0.41463415],0.6189424068345853,[0.68949772 0.5483871 ],0.5884543761638734,[0.84357542 0.33333333],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,False,,Conv1d,,concatenation,64,3
0,0.37619343575309305,0.5776930451393127,0.561094084256955,[0.47573964 0.64644852],0.6084513298158716,[0.67905405 0.53784861],0.5880601092896175,[0.36612022 0.81      ],0.25021964609622954,0.6725978851318359,0.6429281767955801,[0.74585635 0.54      ],0.6443626630980261,[0.73770492 0.55102041],0.6418008544199802,[0.75418994 0.52941176],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,4
0,0.3923926511231591,0.6263107657432556,0.6257935352358766,[0.63970588 0.61188119],0.6257612135763396,[0.64564007 0.60588235],0.6259398907103826,[0.63387978 0.618     ],0.2564677298069,0.6334519386291504,0.5955704604205967,[0.71934605 0.47179487],0.5983756577442233,[0.70212766 0.49462366],0.5942052798773141,[0.73743017 0.45098039],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,4
0,0.6824831156169667,0.5510009527206421,0.5508376810566535,[0.54227405 0.55940131],0.5533666520210896,[0.58125   0.5254833],0.5530983606557377,[0.50819672 0.598     ],0.3629633843898773,0.708185076713562,0.6739954725523486,[0.77956989 0.56842105],0.6824658502119643,[0.75129534 0.61363636],0.669733815313835,[0.81005587 0.52941176],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,4
0,0.4344021572786219,0.5919923782348633,0.582398243916958,[0.51910112 0.64569536],0.6141334062329141,[0.67741935 0.55084746],0.6003825136612022,[0.42076503 0.78      ],0.30847055912017823,0.6370106935501099,0.5879054520358868,[0.73015873 0.44565217],0.5967336683417086,[0.69346734 0.5       ],0.5864552524920583,[0.77094972 0.40196078],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,5
0,0.47314081998432383,0.5653002858161926,0.5634113394910737,[0.53469388 0.5921288 ],0.5717436682960526,[0.60788863 0.53559871],0.5696156648451731,[0.47723133 0.662     ],0.20853390991687776,0.6975088715553284,0.682029367520002,[0.75218659 0.61187215],0.6796174692516156,[0.78658537 0.57264957],0.6887665680797459,[0.72067039 0.65686275],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,5
0,0.3160601380993338,0.5881792306900024,0.5831696063930771,[0.53747323 0.62886598],0.6015764356125801,[0.65194805 0.55120482],0.5945974499089253,[0.4571949 0.732    ],0.21517494618892669,0.6619216799736023,0.63210264467138,[0.73684211 0.52736318],0.633061383061383,[0.73076923 0.53535354],0.6313123014568957,[0.74301676 0.51960784],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,5
0,0.3420775708030252,0.6148713231086731,0.6095025025984269,[0.5637149 0.6552901],0.6318681318681318,[0.69230769 0.57142857],0.6217049180327869,[0.47540984 0.768     ],0.2130948007106781,0.6832740306854248,0.6373457461463727,[0.7664042  0.50828729],0.6525253791201905,[0.72277228 0.58227848],0.6333114251287107,[0.81564246 0.45098039],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,6
0,0.2787107360713622,0.6148713231086731,0.6122038886123393,[0.58004158 0.6443662 ],0.6255082461510347,[0.67554479 0.5754717 ],0.6200983606557378,[0.50819672 0.732     ],0.21727072596549987,0.6120996475219727,0.5655276111040186,[0.7077748  0.42328042],0.5700912430382747,[0.68041237 0.45977011],0.5647935151714317,[0.73743017 0.39215686],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,6
