,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6805219054222107,0.6568538989409038,[0.74697372 0.56673407],0.6545672942508001,[0.76993305 0.53920154],0.6612868292170309,[0.72534404 0.59722962],,0.7951206564903259,0.7841993263931415,[0.83274648 0.73565217],0.7826345786536222,[0.84144986 0.7238193 ],0.7860498309064812,[0.8242213  0.74787836],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6874184608459473,0.6705495014194547,[0.74509804 0.59600096],0.668461320023776,[0.79294727 0.54397537],0.6808626608681627,[0.70269495 0.65903037],,0.7638495564460754,0.7544033640653931,[0.8025693  0.70623742],0.7514913463050408,[0.83142657 0.67155612],0.7601719525657018,[0.77564801 0.7446959 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6900279521942139,0.671442500435186,[0.74958591 0.5932991 ],0.6688897138062491,[0.78940691 0.54837251],0.6799167279672325,[0.71358945 0.64624401],,0.75926673412323,0.7465634099578751,[0.80330396 0.68982286],0.7451230425226016,[0.81243039 0.6778157 ],0.7483216963760041,[0.79438031 0.70226308],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6935694217681885,0.6707987487750213,[0.75737898 0.58421851],0.6682520702351207,[0.78041363 0.55609052],0.675504385536162,[0.73566514 0.61534363],,0.8025340437889099,0.7904728612933382,[0.84074356 0.74020216],0.7908165604989328,[0.83919271 0.74244041],0.7901387608188581,[0.84230015 0.73797737],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6810810565948486,0.6661111743399499,[0.73680972 0.59541263],0.665088965390338,[0.79488882 0.53528912],0.6786955534891224,[0.68663991 0.6707512 ],,0.7771936655044556,0.7667759220067909,[0.81606765 0.71748419],0.7642553962237345,[0.83416742 0.69434337],0.7704786546582592,[0.79873666 0.74222065],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6889095902442932,0.6628335009152522,[0.7565991  0.56906791],0.6610328106494974,[0.76996141 0.55210421],0.6653998731628159,[0.74369266 0.58710709],,0.7623668909072876,0.747363035771538,[0.80893031 0.68579576],0.7481722971684673,[0.80500431 0.69134028],0.7466171283400861,[0.81289479 0.68033946],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.686113715171814,0.6658555175155254,[0.74813042 0.58358061],0.6632914462863702,[0.78205128 0.54453161],0.6728462881183619,[0.71702982 0.62866276],,0.8211349248886108,0.8110249927514888,[0.85473454 0.76731545],0.8100992039191672,[0.85915493 0.76104348],0.8120255268517796,[0.8503594  0.77369165],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6958061456680298,0.6762998463218393,[0.75576175 0.59683794],0.673485190882144,[0.79054477 0.55642561],0.6837453657994164,[0.72391055 0.64358018],,0.7693759202957153,0.757497130072392,[0.81116875 0.70382551],0.7557669418139694,[0.82214765 0.68938623],0.7596809004888416,[0.8004792 0.7188826],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6872320771217346,0.6615828554690648,[0.75475007 0.56841564],0.6596524719291363,[0.76982707 0.54947787],0.6644788372524963,[0.74025229 0.58870538],,0.7437660098075867,0.7276257352632318,[0.79392954 0.66132193],0.7283366484085702,[0.79024601 0.66642729],0.7269708860919387,[0.79764757 0.6562942 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6872320771217346,0.6653802705245517,[0.75089074 0.5798698 ],0.6628167386463324,[0.778633   0.54700047],0.6709996340295123,[0.72505734 0.61694193],,0.7766545414924622,0.7646434117706409,[0.81781198 0.71147484],0.7632840562534084,[0.82571048 0.70085763],0.7662409187522355,[0.81006317 0.72241867],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
