,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.29541585112319274,0.6291706562042236,0.625631079718568,[0.66203301 0.58922914],0.6285257196370042,[0.63289037 0.62416107],0.6259945355191256,[0.69398907 0.558     ],0.2094279021024704,0.6654804348945618,0.6426677489177489,[0.73295455 0.55238095],0.6413508884607151,[0.74566474 0.53703704],0.6446489210209223,[0.72067039 0.56862745],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.4625750709982479,0.6081982851028442,0.6030031279897532,[0.64841745 0.55758881],0.6075099631551244,[0.61129032 0.6037296 ],0.6041730418943534,[0.69034608 0.518     ],0.2128888785839081,0.6868327260017395,0.5998705501618122,[0.78640777 0.41333333],0.6705561516452074,[0.69527897 0.64583333],0.6044747507941725,[0.90502793 0.30392157],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.31393196302301746,0.6253575086593628,0.6246356819951107,[0.64109589 0.60817547],0.6246094859414939,[0.64285714 0.60636183],0.6246721311475409,[0.63934426 0.61      ],0.2053976535797119,0.6797152757644653,0.594191270860077,[0.7804878  0.40789474],0.6563203463203463,[0.69264069 0.62      ],0.5988881586154015,[0.89385475 0.30392157],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.43026487091008353,0.6301239132881165,0.6285166660581942,[0.6529517  0.60408163],0.6290714704159344,[0.64147627 0.61666667],0.6284225865209472,[0.66484517 0.592     ],0.21025070250034333,0.7153024673461914,0.660381919265168,[0.79695431 0.52380952],0.6984496124031008,[0.73023256 0.66666667],0.6542337605433235,[0.87709497 0.43137255],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.4770909530275008,0.6139180064201355,0.6113055292519247,[0.64317181 0.57943925],0.6127293434272698,[0.62286689 0.60259179],0.6114225865209473,[0.66484517 0.558     ],0.19394124150276185,0.7437722086906433,0.6922234392113911,[0.81818182 0.56626506],0.7404593894009217,[0.74654378 0.734375  ],0.682906123343192,[0.90502793 0.46078431],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.35628332635935617,0.621544361114502,0.6213461232468802,[0.63000932 0.61268293],0.6215667030170847,[0.64503817 0.59809524],0.6218324225865209,[0.61566485 0.628     ],0.21947021186351776,0.6654804348945618,0.5981806011926494,[0.76262626 0.43373494],0.629176267281106,[0.69585253 0.5625    ],0.5982582977325008,[0.84357542 0.35294118],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.30119697837268605,0.6320305466651917,0.6171214275988319,[0.69267516 0.5415677 ],0.6409712399811409,[0.61527581 0.66666667],0.6241748633879781,[0.79234973 0.456     ],0.20220062136650085,0.6939501762390137,0.6544555021734157,[0.7712766  0.53763441],0.6656393521875755,[0.73604061 0.5952381 ],0.6501259721765801,[0.81005587 0.49019608],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.45307063881088705,0.6043851375579834,0.6010438193340268,[0.63755459 0.56453305],0.6031175459650059,[0.61241611 0.59381898],0.6014225865209473,[0.66484517 0.538     ],0.2060562252998352,0.6939501762390137,0.6563033337125953,[0.77005348 0.54255319],0.6657423971377461,[0.73846154 0.59302326],0.6522346368715084,[0.80446927 0.5       ],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.43650685338413014,0.6158245801925659,0.6123013460185748,[0.57534247 0.64926023],0.6286151771956856,[0.6825     0.57473035],0.6216338797814207,[0.49726776 0.746     ],0.20756776630878448,0.6654804348945618,0.6281813063063063,[0.74594595 0.51041667],0.63347876672484,[0.72251309 0.54444444],0.6256709387665681,[0.77094972 0.48039216],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.26859380743082834,0.6186844706535339,0.6172147538351506,[0.64093357 0.59349593],0.6175820961018065,[0.63185841 0.60330579],0.6171366120218579,[0.65027322 0.584     ],0.20491293370723723,0.6405693888664246,0.6278243308810993,[0.6966967  0.55895197],0.6285918805603845,[0.75324675 0.50393701],0.6377478365647935,[0.64804469 0.62745098],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,6
