,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id,k,input_dim
3,focal,0.6713754534721375,0.5917512941425649,[0.7727825  0.54211332 0.46035806],0.5753861271909305,0.6739864945411682,0.5928506929098333,[0.77368905 0.5518018  0.45306122],[100],0.5,0.005,1234,2,True,0.0,5,766
4,focal,0.6639405488967896,0.5714558018762458,[0.77948113 0.45746692 0.47741935],0.557547567146165,0.667792797088623,0.5731709513123956,[0.78295606 0.46312684 0.47342995],[100],0.5,0.005,1234,2,True,0.0,5,766
0,focal,0.68104088306427,0.6053086418379524,[0.78192771 0.52721088 0.50678733],0.5411484273416656,0.6807432174682617,0.5980451374418398,[0.78139115 0.54545455 0.46728972],[100],0.5,0.001,0,2,True,0.1,5,766
1,focal,0.6691449880599976,0.5833445487889807,[0.77791262 0.53797468 0.43414634],0.5182980916329792,0.6745495200157166,0.5999622053062763,[0.76915974 0.55899198 0.47173489],[100],0.5,0.001,0,2,True,0.1,5,766
2,focal,0.6892193555831909,0.5743632204739743,[0.79508654 0.51290878 0.41509434],0.5361194376434598,0.6959459185600281,0.5947136821515376,[0.79931242 0.52162516 0.46320346],[100],0.5,0.001,0,2,True,0.1,5,766
3,focal,0.6639405488967896,0.5867407965511832,[0.76761434 0.54656489 0.44604317],0.5704494299633163,0.6655405163764954,0.581283961361668,[0.76972773 0.54298643 0.43113772],[100],0.5,0.001,0,2,True,0.1,5,766
4,focal,0.6631970405578613,0.5828306645854452,[0.77015644 0.49508197 0.48325359],0.5341019140822547,0.684684693813324,0.6077941168331015,[0.78422484 0.53       0.50915751],[100],0.5,0.001,0,2,True,0.1,5,766
0,focal,0.6951673030853271,0.6071692565794965,[0.79883382 0.5202109  0.50246305],0.5432041074548449,0.684684693813324,0.5835511013273139,[0.79298246 0.52791878 0.42975207],[100],0.5,0.001,1,2,True,0.1,5,766
1,focal,0.6907063126564026,0.6042118151097803,[0.78969443 0.56186317 0.46107784],0.5216469104800906,0.6880630850791931,0.6109636977372538,[0.77884177 0.56681034 0.48723898],[100],0.5,0.001,1,2,True,0.1,5,766
2,focal,0.6869888305664062,0.5805394727313135,[0.79221523 0.53642384 0.41297935],0.5289091446569988,0.6987612843513489,0.6135871920347385,[0.79647577 0.53935484 0.50493097],[100],0.5,0.001,1,2,True,0.1,5,766
3,focal,0.6572490930557251,0.5909084758093064,[0.75784191 0.53947368 0.47540984],0.5700610450335911,0.6644144058227539,0.5817588621258689,[0.77428307 0.53531599 0.43567753],[100],0.5,0.001,1,2,True,0.1,5,766
4,focal,0.6654275059700012,0.5849652662152662,[0.77163462 0.4984127  0.48484848],0.5399152657815388,0.6880630850791931,0.6121854744701609,[0.78600636 0.53892216 0.51162791],[100],0.5,0.001,1,2,True,0.1,5,766
0,focal,0.6609665155410767,0.5979655607421094,[0.76232617 0.51875    0.51282051],0.5439990780183247,0.6565315127372742,0.5864996952656938,[0.75624705 0.53658537 0.46666667],[100],0.5,0.001,12,2,True,0.1,5,766
1,focal,0.6654275059700012,0.5851900154649844,[0.7755102  0.53456221 0.44549763],0.525474169424602,0.6739864945411682,0.6040132754536293,[0.76973684 0.55928412 0.48301887],[100],0.5,0.001,12,2,True,0.1,5,766
2,focal,0.6788104176521301,0.58595167985107,[0.7810089  0.56062992 0.41621622],0.5334296907697406,0.6829954981803894,0.6081458418452429,[0.77904328 0.54723926 0.49815498],[100],0.5,0.001,12,2,True,0.1,5,766
3,focal,0.659479558467865,0.5836096650997051,[0.76524954 0.52818035 0.4573991 ],0.5756475052663258,0.667792797088623,0.5802196598620599,[0.77726856 0.5408039  0.42258652],[100],0.5,0.001,12,2,True,0.1,5,766
4,focal,0.6565055847167969,0.5852306988897595,[0.75997545 0.49695122 0.49876543],0.5370183054889951,0.670045018196106,0.6008346459740763,[0.76894294 0.53167421 0.50188679],[100],0.5,0.001,12,2,True,0.1,5,766
0,focal,0.6780669093132019,0.6039710180841804,[0.77898551 0.51633987 0.51658768],0.5363589173981121,0.6835585832595825,0.5978746671233977,[0.782453   0.54901961 0.46215139],[100],0.5,0.001,123,2,True,0.1,5,766
1,focal,0.6869888305664062,0.5970777947174473,[0.79494889 0.54302671 0.45325779],0.5182832702994347,0.6886261105537415,0.6128209895133653,[0.78117862 0.56174863 0.49553571],[100],0.5,0.001,123,2,True,0.1,5,766
2,focal,0.6862453818321228,0.5853734851873149,[0.79125934 0.53819444 0.42666667],0.5290088355541229,0.6852477192878723,0.5968394375740615,[0.78921785 0.51568895 0.48561151],[100],0.5,0.001,123,2,True,0.1,5,766
3,focal,0.6676579713821411,0.5909826850030401,[0.76579926 0.5572843  0.4498645 ],0.5688694843224117,0.6756756901741028,0.5923003318550206,[0.77329624 0.5674814  0.43612335],[100],0.5,0.001,123,2,True,0.1,5,766
4,focal,0.6609665155410767,0.5862756255702062,[0.76574924 0.50539291 0.48768473],0.5337436848453113,0.6790540814399719,0.6109147173479439,[0.77705224 0.5359179  0.51977401],[100],0.5,0.001,123,2,True,0.1,5,766
0,focal,0.6765799522399902,0.6079019311749542,[0.77654321 0.53208138 0.51508121],0.540500171482563,0.6599099040031433,0.580457219603065,[0.76429568 0.53047404 0.44660194],[100],0.5,0.001,1234,2,True,0.1,5,766
1,focal,0.6907063126564026,0.6037594665451286,[0.79737783 0.53697749 0.47692308],0.5177304829869952,0.6869369149208069,0.604588227498696,[0.78475336 0.54241338 0.48659794],[100],0.5,0.001,1234,2,True,0.1,5,766
2,focal,0.692193329334259,0.590305076766896,[0.79190751 0.5645933  0.41441441],0.5296019007052694,0.6953828930854797,0.6079737152891086,[0.79273694 0.5575     0.47368421],[100],0.5,0.001,1234,2,True,0.1,5,766
3,focal,0.6840148568153381,0.5948748351867775,[0.78762641 0.55483871 0.44215938],0.5684077910014561,0.6784909963607788,0.5825003331512559,[0.78501338 0.53948967 0.42299795],[100],0.5,0.001,1234,2,True,0.1,5,766
4,focal,0.6706319451332092,0.5920421063718383,[0.77199282 0.51083591 0.49329759],0.5316288215773446,0.6841216087341309,0.6094804804861421,[0.7810219  0.53802497 0.50939457],[100],0.5,0.001,1234,2,True,0.1,5,766
0,focal,0.6691449880599976,0.5959824625743909,[0.77395577 0.51623377 0.49775785],0.5410031718867165,0.6796171069145203,0.5969451192998381,[0.78126421 0.55147059 0.45810056],[100],0.5,0.0005,0,2,True,0.2,5,766
1,focal,0.6899628043174744,0.6024922461228631,[0.7952381  0.54226475 0.46997389],0.5191864946058818,0.690315306186676,0.6082903235513063,[0.78417266 0.56410256 0.47659574],[100],0.5,0.0005,0,2,True,0.2,5,766
2,focal,0.6617100238800049,0.5618395020566859,[0.77373974 0.52068966 0.39108911],0.5352204378162112,0.681869387626648,0.5978988476255273,[0.78738739 0.52603471 0.48027444],[100],0.5,0.0005,0,2,True,0.2,5,766
3,focal,0.6855018734931946,0.5996383034087952,[0.78809524 0.55081967 0.46      ],0.5747907587460109,0.6779279112815857,0.5805914026420672,[0.7846634  0.54747226 0.40963855],[100],0.5,0.0005,0,2,True,0.2,5,766
4,focal,0.6579925417900085,0.5846323787922395,[0.76080341 0.4969697  0.49612403],0.5372247099876404,0.6796171069145203,0.6036768371388457,[0.7804428  0.53942857 0.49115914],[100],0.5,0.0005,0,2,True,0.2,5,766
0,focal,0.6817843914031982,0.6009710913767147,[0.78755236 0.51186441 0.5034965 ],0.5374334092651095,0.684684693813324,0.5933203443463362,[0.78877005 0.54545455 0.44573643],[100],0.5,0.0005,1,2,True,0.2,5,766
1,focal,0.6840148568153381,0.5953417631551304,[0.79086538 0.54407295 0.45108696],0.5260975360870361,0.6886261105537415,0.6120045534293396,[0.7807971  0.5584563  0.49676026],[100],0.5,0.0005,1,2,True,0.2,5,766
2,focal,0.6698884963989258,0.5678218870554311,[0.77532014 0.52931854 0.39882698],0.5279965624213219,0.6914414167404175,0.6033290901242968,[0.78886926 0.54906832 0.47204969],[100],0.5,0.0005,1,2,True,0.2,5,766
3,focal,0.6847583651542664,0.597871001586377,[0.78900179 0.54746835 0.45714286],0.5626387191670281,0.6807432174682617,0.5860481923625348,[0.78319177 0.55741627 0.41753653],[100],0.5,0.0005,1,2,True,0.2,5,766
4,focal,0.6550185680389404,0.5803629935145483,[0.75963303 0.49851632 0.48293963],0.5363932039056506,0.6807432174682617,0.6103489594369224,[0.77813803 0.53744493 0.51546392],[100],0.5,0.0005,1,2,True,0.2,5,766
0,focal,0.6706319451332092,0.6002016762740362,[0.77359655 0.52045827 0.50655022],0.5459475538560322,0.667792797088623,0.5902509998318383,[0.770152   0.53173653 0.46886447],[100],0.5,0.0005,12,2,True,0.2,5,766
1,focal,0.6832713484764099,0.5971861590862085,[0.79270517 0.54407295 0.45478036],0.5300210043787956,0.6813063025474548,0.609229185671086,[0.77327189 0.56053812 0.49387755],[100],0.5,0.0005,12,2,True,0.2,5,766
2,focal,0.6840148568153381,0.5833082795108111,[0.78596087 0.5472973  0.41666667],0.5304916064654078,0.6891891956329346,0.606528116095728,[0.78795927 0.52026144 0.51136364],[100],0.5,0.0005,12,2,True,0.2,5,766
3,focal,0.6780669093132019,0.6022713791490694,[0.77615572 0.55608215 0.47457627],0.5779513163225991,0.6717342138290405,0.5857099068327819,[0.77343039 0.55147929 0.43222004],[100],0.5,0.0005,12,2,True,0.2,5,766
4,focal,0.659479558467865,0.5853937504275686,[0.76259866 0.49628529 0.4972973 ],0.5375513445053782,0.6745495200157166,0.599265326340289,[0.7736284  0.53724605 0.48692153],[100],0.5,0.0005,12,2,True,0.2,5,766
0,focal,0.6869888305664062,0.606242383159049,[0.79191439 0.50344828 0.52336449],0.5376476837056023,0.6858108043670654,0.5899897497748937,[0.79049296 0.53503185 0.44444444],[100],0.5,0.0005,123,2,True,0.2,5,766
1,focal,0.6944237947463989,0.6074599166594682,[0.80095637 0.55228758 0.4691358 ],0.5235127529927662,0.6841216087341309,0.6048997940138917,[0.7798913  0.55384615 0.48096192],[100],0.5,0.0005,123,2,True,0.2,5,766
2,focal,0.6780669093132019,0.5859286287593971,[0.77797513 0.55727554 0.42253521],0.5305816201227052,0.6852477192878723,0.6044607004399859,[0.78355174 0.54921021 0.48062016],[100],0.5,0.0005,123,2,True,0.2,5,766
3,focal,0.6936802864074707,0.60409790329973,[0.79549496 0.5615142  0.45528455],0.5734876671007701,0.6869369149208069,0.5940745065311069,[0.78725314 0.56546929 0.42950108],[100],0.5,0.0005,123,2,True,0.2,5,766
4,focal,0.6691449880599976,0.5867733541985364,[0.77473182 0.49765258 0.48793566],0.538840226829052,0.6908783912658691,0.6086593657126572,[0.78996865 0.53600945 0.5       ],[100],0.5,0.0005,123,2,True,0.2,5,766
0,focal,0.692193329334259,0.6172926625573232,[0.79181709 0.53691275 0.52314815],0.5406825159277234,0.6829954981803894,0.5979483363607784,[0.78503831 0.54278729 0.46601942],[100],0.5,0.0005,1234,2,True,0.2,5,766
1,focal,0.6780669093132019,0.6019132223175876,[0.78121137 0.55306428 0.47146402],0.5192212643367904,0.6790540814399719,0.6074929582006596,[0.77088194 0.57427938 0.47731755],[100],0.5,0.0005,1234,2,True,0.2,5,766
2,focal,0.6788104176521301,0.5789736262212455,[0.7804878  0.5483871  0.40804598],0.530335799923965,0.6925675868988037,0.6128869104791453,[0.78961504 0.54135338 0.50769231],[100],0.5,0.0005,1234,2,True,0.2,5,766
3,focal,0.6788104176521301,0.5984873108402521,[0.77957958 0.55       0.46588235],0.5668460843818528,0.6784909963607788,0.5866544239438481,[0.7838565  0.55025126 0.42585551],[100],0.5,0.0005,1234,2,True,0.2,5,766
4,focal,0.6438661813735962,0.5712328310577713,[0.74784748 0.49039882 0.4754522 ],0.5452560867582049,0.6728603839874268,0.6035139887893385,[0.77023865 0.53930131 0.501002  ],[100],0.5,0.0005,1234,2,True,0.2,5,766
0,focal,0.6788104176521301,0.6018814738657403,[0.78276699 0.52531646 0.49756098],0.5441054233482906,0.681869387626648,0.5925124380641781,[0.78491244 0.54221165 0.45041322],[100],0.5,0.0001,0,2,True,0.3,5,766
1,focal,0.6907063126564026,0.5976293328481487,[0.79976303 0.53736089 0.45576408],0.5247647719723838,0.690315306186676,0.6066164748200327,[0.78545781 0.55862069 0.47577093],[100],0.5,0.0001,0,2,True,0.3,5,766
2,focal,0.6840148568153381,0.582015503875969,[0.78604651 0.56       0.4       ],0.5364671253732273,0.6880630850791931,0.6048021118147345,[0.78673835 0.54545455 0.48221344],[100],0.5,0.0001,0,2,True,0.3,5,766
3,focal,0.6847583651542664,0.591658193454555,[0.79028436 0.54920635 0.43548387],0.5737942702003888,0.6807432174682617,0.5819687383131853,[0.78801431 0.54104046 0.41685144],[100],0.5,0.0001,0,2,True,0.3,5,766
4,focal,0.6654275059700012,0.5881975983459043,[0.76738609 0.5        0.4972067 ],0.5426255400691714,0.6796171069145203,0.5996245230429018,[0.7785357  0.53846154 0.48187633],[100],0.5,0.0001,0,2,True,0.3,5,766
0,focal,0.6795539259910583,0.6022902662061513,[0.78355502 0.52090032 0.50241546],0.5417071570243154,0.6734234094619751,0.5827193957961222,[0.77797834 0.540732   0.42944785],[100],0.5,0.0001,1,2,True,0.3,5,766
1,focal,0.6951673030853271,0.6068805712600321,[0.79904875 0.55259027 0.4690027 ],0.5245076471141407,0.6948198080062866,0.6159099934042046,[0.78719567 0.56492027 0.49561404],[100],0.5,0.0001,1,2,True,0.3,5,766
