,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.7075489163398743,0.6964022537187518,[0.75457532 0.63822919],0.696447112491779,[0.8302926  0.56260163],0.7144302957579194,[0.69151376 0.73734683],,0.8354225754737854,0.8286973190444802,[0.86263922 0.79475542],0.8247461730074523,[0.89204281 0.75744954],0.8355193128921754,[0.83511218 0.83592645],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6999068260192871,0.6795246146051279,[0.76034534 0.59870389],0.6766206741540448,[0.79071207 0.56252927],0.6860377982140151,[0.73222477 0.63985083],,0.8536190986633301,0.8456775098396692,[0.88068556 0.81066946],0.8440066799878152,[0.88849479 0.79951857],0.8475741003014015,[0.87301242 0.82213579],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6762348413467407,0.6577131970168943,[0.73733555 0.57809084],0.655705,[0.78016 0.53125],0.6664791500686729,[0.69896789 0.63399041],,0.8262569308280945,0.8154667245558812,[0.860089   0.77084444],0.8161604346129028,[0.85720467 0.7751162 ],0.8148061655591454,[0.86299281 0.76661952],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6863000988960266,0.6720057975594673,[0.74047803 0.60353357],0.6710486528194861,[0.80113447 0.54096284],0.685416060788981,[0.68836009 0.68247203],,0.8354225754737854,0.8277889103886096,[0.86404632 0.7915315 ],0.8245479724846605,[0.88382688 0.76526907],0.8323961585255206,[0.84513178 0.81966054],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7097856402397156,0.6897931947204307,[0.76854467 0.61104172],0.6866722653734747,[0.79808583 0.5752587 ],0.6963420211102042,[0.74111239 0.65157166],,0.8526755571365356,0.8442041189109553,[0.88053339 0.80787485],0.8434682945465481,[0.88372093 0.80321566],0.8449785833361318,[0.87736876 0.8125884 ],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6900279521942139,0.6668887409638107,[0.75468358 0.5790939 ],0.6644312371749961,[0.77727135 0.55159113],0.6714273887669666,[0.73337156 0.60948322],,0.8111605048179626,0.7991812778249296,[0.84822879 0.75013376],0.8002485156531126,[0.84375    0.75674703],0.7981952343879252,[0.85275539 0.74363508],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6965517401695251,0.6767137294081382,[0.75679713 0.59663033],0.6738733419303835,[0.7900811  0.55766559],0.6838266246890168,[0.72620413 0.64144912],,0.8173608183860779,0.8082874993813955,[0.84999446 0.76658053],0.8058235228905626,[0.86425034 0.74739671],0.8114881847116784,[0.83620126 0.78677511],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.7200372815132141,0.695498693757667,[0.78193961 0.60905778],0.693739335428828,[0.79205882 0.59541985],0.6977053986451149,[0.77207569 0.62333511],,0.8367704749107361,0.8264400852143479,[0.86878318 0.78409699],0.8275519801945654,[0.8643812  0.79072276],0.8254057813131097,[0.87323023 0.77758133],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6749300956726074,0.6570502811315637,[0.7353566  0.57874396],0.6552473665301676,[0.78110896 0.52938577],0.6664599809133255,[0.69466743 0.63825253],,0.8108909726142883,0.8013242382395799,[0.84492097 0.75772751],0.7990928361824561,[0.85771993 0.74046574],0.8041558309921293,[0.83249837 0.7758133 ],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6712022423744202,0.6591460141535733,[0.72325071 0.59504132],0.6607373734239406,[0.7986833  0.52279145],0.6756503307786679,[0.66083716 0.69046351],,0.8147998452186584,0.807560046244311,[0.84488598 0.77023411],0.8038049727039884,[0.87696274 0.73064721],0.8147147022478332,[0.81507297 0.81435644],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
