,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size
0,,0.6141659021377563,0.5788792683714822,[0.70078057 0.45697796],0.5784173691625044,[0.70670554 0.4501292 ],0.5794962437620055,[0.69495413 0.46403836],,0.6472570300102234,0.6269736314638334,[0.71395781 0.53998945],0.6267087807940194,[0.71654234 0.53687522],0.627265940957602,[0.71139185 0.54314003],"(512, 512)",0.1,0.0001,1,focal,2,True,5,64
0,,0.6197577118873596,0.582074227857258,[0.70756881 0.45657965],0.582074227857258,[0.70756881 0.45657965],0.582074227857258,[0.70756881 0.45657965],,0.6504919528961182,0.6281117530593624,[0.71934192 0.53688159],0.6286673088187156,[0.71493115 0.54240346],0.6276392268003599,[0.72380745 0.531471  ],"(512, 512)",0.1,0.0001,12,focal,2,True,5,64
0,,0.6164026260375977,0.580725677830941,[0.7030303  0.45842105],0.5803330913015718,[0.70772807 0.45293812],0.5812164272482441,[0.6983945  0.46403836],,0.6491441130638123,0.6291168601280772,[0.71530132 0.5429324 ],0.6288025884512141,[0.71836555 0.53923962],0.6294696098417758,[0.71226312 0.5466761 ],"(512, 512)",0.1,0.0001,123,focal,2,True,5,64
